Date,IWF,IWM,MTUM,PFG,SPY,VLUE,VXX
2018-09-24,-0.1739251641680089,-0.5024470325858009,-0.10751455829513071,1.0,-0.5817742535001857,-0.7318795688266633,0.0
2018-09-25,-0.17285138070121006,-0.5055538318336954,-0.10456096804219672,1.0,-0.5844244492708657,-0.7353087185851692,0.0
2018-09-26,-0.17282035370772572,-0.5055848588271797,-0.10456096804219672,1.0,-0.5844244492708657,-0.7352776915916848,0.0
2018-09-27,-0.1742581625375957,-0.5014728225481381,-0.10573315556106787,1.0,-0.5842609531487395,-0.7349229481256395,0.0
2018-09-28,-0.1771735419188627,-0.5007294285625601,-0.10562746376136821,1.0,-0.5850948257131328,-0.735326070087221,0.0
2018-10-01,-0.17751497656516743,-0.5004500729428563,-0.10575162181456996,1.0,-0.5850948257131328,-0.7351398330074184,0.0
2018-10-02,-0.1781757239067689,-0.49666366655286925,-0.10738338350765028,1.0,-0.5857049750162937,-0.7356692840073245,0.0
2018-10-03,-0.17806051202482545,-0.48856477889837086,-0.1061287820015516,1.0,-0.5891078355314198,-0.7413188518231187,0.0
2018-10-04,-0.1770758852239873,-0.493766903969907,-0.10616470295644605,1.0,-0.5874343271054185,-0.7443653433643174,0.0
2018-10-05,-0.1605322059189256,-0.48657050484953984,-0.09033822432230787,1.0,-0.6048557572743098,-0.7664138274061179,0.0
2018-10-08,-0.15914312325364793,-0.48453896305495187,-0.08845079167960261,1.0,-0.6062402980440856,-0.7662837628065818,0.0
2018-10-09,-0.15650551842064356,-0.4866469765272812,-0.0801803202238458,1.0,-0.6118762630188094,-0.7737292087672937,0.0
2018-10-10,-0.15629954303832883,-0.48643103609064636,-0.08004600702539712,1.0,-0.6120488669215706,-0.7737262581988872,0.0
2018-10-11,-0.11858164662912798,-0.4809922386242581,-0.03774159184294628,1.0,-0.6096180185664282,-0.7967737026327805,0.0
2018-10-12,-0.11173235563703025,-0.48518179040635506,-0.030400244424075774,1.0,-0.6188817598533456,-0.809104796822487,0.0
2018-10-15,-0.09272393763375114,-0.5205747477835524,-0.0025068786303882604,1.0,-0.6228370528890247,-0.8185264445123814,0.0
2018-10-16,-0.0933190643632472,-0.5189420577893289,-0.0038831982877235898,1.0,-0.6228711206237578,-0.8186210059623912,0.0
2018-10-17,-0.07491689332124508,-0.48621940163191296,-0.0,1.0,-0.6255666364460561,-0.8353581142339075,0.0
2018-10-18,-0.07390265299331458,-0.484254469552591,-0.0,1.0,-0.6300934749069789,-0.8368272983029313,0.0
2018-10-19,-0.062340009034783914,-0.47715705466044267,-0.0,1.0,-0.6315313958741153,-0.8405661797922,0.0
2018-10-22,-0.06296296296296297,-0.4753989762119843,-0.0,1.0,-0.6320686540198736,-0.8406805179162903,0.0
2018-10-23,-0.05954930767142297,-0.47699779782195545,-0.0,1.0,-0.6365501221756312,-0.8436151920118254,0.0
2018-10-24,-0.05788471420366956,-0.4813650515370432,-0.0,1.0,-0.6382734334854758,-0.8451772813831878,0.0
2018-10-25,-0.039738251041046994,-0.4596371207614515,-0.0,1.0,-0.6395895300416419,-0.8354848304580605,0.0
2018-10-26,-0.027273532276631544,-0.45104637090823224,-0.0,1.0,-0.6445880929189174,-0.8287729862156498,0.0
2018-10-29,-0.0526028725531786,-0.4592448942488334,-0.0,1.0,-0.679292164111266,-0.8389794557905582,0.0
2018-10-30,-0.048803392911239016,-0.45922447743108147,-0.0,1.0,-0.6793395940624053,-0.842017570433202,0.0
2018-10-31,-0.05222081600674984,-0.44443440004821316,-0.0,1.0,-0.6779967456156211,-0.8386669077321763,0.0
2018-11-01,-0.05453887666194338,-0.4430944556664355,-0.0,1.0,-0.6783743857216075,-0.8388254092676897,0.0
