Date,AFG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1588163327725952,-0.4731100576030993,-0.08767905388183718,-0.41489524392108884,-0.41433450578579806,0.0
2018-09-25,1.0,-0.15777374779699113,-0.4762330464100534,-0.08472325100252866,-0.4176138540522592,-0.4178692753697223,0.0
2018-09-26,1.0,-0.15743887171363602,-0.4760213597690283,-0.08359947878075576,-0.4181762436444467,-0.419760341347505,0.0
2018-09-27,1.0,-0.15740385843873772,-0.4763255397981347,-0.0835824709339466,-0.4181678804139517,-0.41977769260252973,0.0
2018-09-28,1.0,-0.15576515093423304,-0.47813306750504814,-0.08399151394320475,-0.41819390128568873,-0.41993200930398994,0.0
2018-10-01,1.0,-0.1552690152736204,-0.48008289201013127,-0.08435029549466574,-0.4181441399953949,-0.4205490316473508,0.0
2018-10-02,1.0,-0.15522938599861677,-0.48792233407618024,-0.08222546684085144,-0.41699326314710927,-0.41914495760649606,0.0
2018-10-03,1.0,-0.15509336338720833,-0.48069977715734746,-0.08104300607054124,-0.42014804948643736,-0.42442560385236033,0.0
2018-10-04,1.0,-0.1569285129045473,-0.4774170421958213,-0.081421548545678,-0.42231667349446944,-0.42231667349446944,0.0
2018-10-05,1.0,-0.14570144986726566,-0.4717939554829487,-0.07177863998366346,-0.43074841739840725,-0.4325607514804983,0.0
2018-10-08,1.0,-0.14439006983738592,-0.4697711168884131,-0.06953152877606157,-0.43283886425039503,-0.43227812611510424,0.0
2018-10-09,1.0,-0.1419377904898105,-0.47211297819091885,-0.06141784565095255,-0.43860769191480675,-0.4397058072424537,0.0
2018-10-10,1.0,-0.14287537978400183,-0.4710342890698802,-0.0626547859167156,-0.4392217938570735,-0.4373835116296882,0.0
2018-10-11,1.0,-0.12019761259905708,-0.46817634667469155,-0.03846925468953757,-0.436051760457418,-0.444879125288394,0.0
2018-10-12,1.0,-0.11480485205298685,-0.4800284220677054,-0.031162767091305887,-0.45163173120844535,-0.46005684413541087,0.0
2018-10-15,1.0,-0.09307961125424076,-0.5266943856337525,-0.0,-0.4585108282529398,-0.4725403668086626,0.0
2018-10-16,1.0,-0.09323503902862099,-0.5265292587112903,-0.0,-0.45854803326360905,-0.4725779296974645,0.0
2018-10-17,1.0,-0.0797842850662769,-0.503049241469684,-0.0,-0.45720981805352556,-0.4799909278766191,0.0
2018-10-18,1.0,-0.07937107869075516,-0.5023559351928844,-0.0,-0.4579333282938998,-0.48008163882379623,0.0
2018-10-19,1.0,-0.06712232737469331,-0.49456712232737465,-0.0,-0.460642932251765,-0.48129788192879674,0.0
2018-10-22,1.0,-0.06713931407670917,-0.486058571535937,-0.0,-0.4659418292957887,-0.486058571535937,0.0
2018-10-23,1.0,-0.06560377027399664,-0.48647564613571986,-0.0,-0.46762427615251567,-0.48712742222556465,0.0
2018-10-24,1.0,-0.06393586371038457,-0.48262557935613176,-0.0,-0.4688964048603282,-0.489865965175999,0.0
2018-10-25,1.0,-0.04854392831647097,-0.46421977697363564,-0.0,-0.4706693252590897,-0.4782266203874653,0.0
2018-10-26,1.0,-0.041059375917049785,-0.4578890736574391,-0.0,-0.47280641690306174,-0.4737112393622224,0.0
2018-10-29,1.0,-0.02650038971161341,-0.4636106780982074,-0.0,-0.4672885814497272,-0.47827357755261113,0.0
2018-10-30,1.0,-0.01598284767566514,-0.46442841828281844,-0.0,-0.46839976610466816,-0.48759867459311956,0.0
2018-10-31,1.0,-0.016002922908293752,-0.46401169163317496,-0.0,-0.46829862379734494,-0.48746803069053707,0.0
2018-11-01,1.0,-0.0,-0.4934628498540486,-0.0,-0.4687614982706601,-0.49071552971766386,0.0
2018-11-02,1.0,-0.0,-0.47689978511428016,-0.0,-0.47604512600117216,-0.4889138503613987,0.0
2018-11-05,1.0,-0.0,-0.48043451727084097,-0.0,-0.47562553399243257,-0.4850482118881972,0.0
2018-11-06,1.0,-0.0,-0.4774541003671971,-0.0,-0.47943696450428397,-0.4911138310893513,0.0
2018-11-07,1.0,-0.0,-0.478029653228771,-0.0,-0.48077441490013473,-0.49185148878813867,0.0
2018-11-08,1.0,-0.0,-0.47673906662753157,-0.0,-0.47803541727815285,-0.4911701399080325,0.0
