Date,IWF,IWM,MTUM,SPY,TPC,VLUE,VXX
2018-09-24,-0.5679185849285195,-1.22306760358614,-0.0816089168887812,-0.9988369275502785,1.0,-0.9747031742185607,0.0
2018-09-25,-0.5686882387134277,-1.2215655880643286,-0.08331718659174578,-0.9975295485371052,1.0,-0.9729219143576826,0.0
2018-09-26,-0.5683526502109499,-1.2222006692206973,-0.08040347218854565,-0.9999030114931381,1.0,-0.9785655399835119,0.0
2018-09-27,-0.5682271158426911,-1.2302756307423073,-0.07948082251713577,-1.0022847698215935,1.0,-0.9809926595692966,0.0
2018-09-28,-0.5644114921223354,-1.2413053021803815,-0.08097165991902834,-1.0060972635481196,1.0,-0.9850251207258183,0.0
2018-10-01,-0.5641088262589752,-1.2451033067943147,-0.0819127631514678,-1.006691740340937,1.0,-0.9866653641381332,0.0
2018-10-02,-0.5656590320847781,-1.2311862089173218,-0.0872198075890023,-1.0095228793280264,1.0,-0.9898910973287102,0.0
2018-10-03,-0.5652280050776292,-1.2187286397812713,-0.0855385216287472,-1.014500537056928,1.0,-0.9983888292158969,0.0
2018-10-04,-0.5658369936554417,-1.216495851634944,-0.08643240605173255,-1.0146412884333822,1.0,-0.9969741337237676,0.0
2018-10-05,-0.5463075501968983,-1.2072050172589819,-0.06495211240215859,-1.0289270261072487,1.0,-1.0142933540765229,0.0
2018-10-08,-0.5433296154405702,-1.2021725425537073,-0.06071480529557247,-1.0307453566752338,1.0,-1.0124630231317588,0.0
2018-10-09,-0.540882037271929,-1.213093960386379,-0.04297980290760074,-1.0481998243731097,1.0,-1.0333203239340423,0.0
2018-10-10,-0.5436755807144251,-1.2114971696271717,-0.04572516103845403,-1.0503123170017568,1.0,-1.0287429240679289,0.0
2018-10-11,-0.44652961146737086,-1.1968596755941154,-0.0,-1.0228687287815919,1.0,-1.0489437947944171,0.0
2018-10-12,-0.44008937715296526,-1.1838283213853458,-0.0,-1.0031654408341868,1.0,-1.0279769109021506,0.0
2018-10-15,-0.4022395688133073,-1.2186599758386767,-0.0,-0.9961434810891181,1.0,-1.029318836539355,0.0
2018-10-16,-0.3933594113812052,-1.2388935456831518,-0.0,-0.9957623172208252,1.0,-1.0287789885442862,0.0
2018-10-17,-0.36167107543555593,-1.1807443218097236,-0.0,-0.9837179604122959,1.0,-1.0346164371066313,0.0
2018-10-18,-0.36234596074851666,-1.183295298950251,-0.0,-0.9831583751711547,1.0,-1.0352806937471475,0.0
2018-10-19,-0.3420981173062998,-1.169804489500362,-0.0,-0.9814446053584359,1.0,-1.0323587979724838,0.0
2018-10-22,-0.3436113374988681,-1.171873585076519,-0.0,-0.9806664855564611,1.0,-1.0316037308702344,0.0
2018-10-23,-0.34014161220043576,-1.1751089324618738,-0.0,-0.9872458242556282,1.0,-1.0364015976761074,0.0
2018-10-24,-0.33907103825136614,-1.1845628415300546,-0.0,-0.9912112932604736,1.0,-1.038888888888889,0.0
