Date,IWF,IWM,MTUM,SPXC,SPY,VLUE,VXX
2018-09-24,-0.31487138754811506,-0.7092930897537728,-0.08184151035620456,1.0,-0.47849330970855986,-0.470458850125252,0.0
2018-09-25,-0.31375130104696014,-0.7128206698095879,-0.07861384926222985,1.0,-0.48160166534010895,-0.4744994795812159,0.0
2018-09-26,-0.31377230844583215,-0.7128906847889307,-0.0787032785379741,1.0,-0.4815563106498913,-0.4742706707074418,0.0
2018-09-27,-0.3145269856810672,-0.7102557826459429,-0.0794578386978338,1.0,-0.48133643372904167,-0.4739933912617794,0.0
2018-09-28,-0.31118398872099795,-0.7155729916939958,-0.08020964232077726,1.0,-0.4825451313329451,-0.47540380666319304,0.0
2018-10-01,-0.31316911561704347,-0.714531120586521,-0.07984907512500383,1.0,-0.4841559557041627,-0.47587349305193405,0.0
2018-10-02,-0.31304294440863184,-0.7198023145163766,-0.07861374589434264,1.0,-0.48328575375264754,-0.474874911747552,0.0
2018-10-03,-0.31321380326660936,-0.7203733267837406,-0.07890212452413116,1.0,-0.48308363011175237,-0.4745486921282083,0.0
2018-10-04,-0.31244429418815506,-0.7232381596336479,-0.07907920213910317,1.0,-0.48203583612502693,-0.47659587546485543,0.0
2018-10-05,-0.3101860379443728,-0.725056793761896,-0.07450727574138884,1.0,-0.4829311721004483,-0.47725179591084915,0.0
2018-10-08,-0.30893262215682665,-0.7231009748022806,-0.07237447121574397,1.0,-0.4843357243577953,-0.47667218441542514,0.0
2018-10-09,-0.3067435724366448,-0.7246425722525618,-0.0658403387126465,1.0,-0.4885561759833098,-0.4822666748481315,0.0
2018-10-10,-0.30605594835536426,-0.7282815862280972,-0.06338764217645251,1.0,-0.4895481094374424,-0.48681217337842,0.0
2018-10-11,-0.28347027549540843,-0.7286128564523925,-0.0332588206863219,1.0,-0.48299299178347027,-0.4924480425326245,0.0
2018-10-12,-0.2836511034379222,-0.7283591052394535,-0.02843416904368713,1.0,-0.476805284491818,-0.485272481609368,0.0
2018-10-15,-0.2725065203705369,-0.747219474173337,-0.01244116677159217,1.0,-0.47726114458734303,-0.4884432053242198,0.0
