Date,CRK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.5322057787174064,-3.217618040873855,-1.8283298097251586,-2.8349541930937283,-2.6813248766737137,0.0
2018-09-25,1.0,-2.5314833075081,-3.2148189885899425,-1.8288491336808002,-2.8326524862656712,-2.678687139033667,0.0
2018-09-26,1.0,-2.5378969654199013,-3.2244177840508117,-1.834015525758645,-2.8382498235709246,-2.6798870853916728,0.0
2018-09-27,1.0,-2.540853830930167,-3.233531241164829,-1.833474696070116,-2.843652813118462,-2.6847610969748374,0.0
2018-09-28,1.0,-2.5386572438162545,-3.234770318021202,-1.8334982332155478,-2.842968197879859,-2.6843816254416963,0.0
2018-10-01,1.0,-2.540223384702389,-3.234271172062774,-1.8344408313304115,-2.844196239219567,-2.685140675809416,0.0
2018-10-02,1.0,-2.5731236597569693,-3.245889921372409,-1.8587562544674767,-2.8897784131522517,-2.7283774124374554,0.0
2018-10-03,1.0,-2.5701842067685283,-3.238040839640154,-1.8560616878480654,-2.887905183492789,-2.7275453377124093,0.0
2018-10-04,1.0,-2.5707756034852163,-3.241536923296672,-1.8527353235252104,-2.890301385516355,-2.7286101985430653,0.0
2018-10-05,1.0,-2.537664917009505,-3.2137891899560223,-1.8189814158036601,-2.8867924528301887,-2.729181444176479,0.0
2018-10-08,1.0,-2.525141242937853,-3.1968926553672317,-1.805367231638418,-2.879519774011299,-2.7173728813559324,0.0
2018-10-09,1.0,-2.522457627118644,-3.19774011299435,-1.7987288135593218,-2.882768361581921,-2.7225988700564967,0.0
2018-10-10,1.0,-2.5428571428571427,-3.2184790334044067,-1.812082444918266,-2.9060412224591334,-2.735323383084577,0.0
2018-10-11,1.0,-2.364598886928193,-3.1343830595900637,-1.5922356454459075,-2.8000542961856927,-2.6827745350889103,0.0
2018-10-12,1.0,-2.358606831882117,-3.102076356329538,-1.5659745478901543,-2.747622237106497,-2.6215673141326192,0.0
2018-10-15,1.0,-2.3202832709780865,-3.1598075895243185,-1.5082843399251735,-2.744388027792624,-2.628941742383752,0.0
2018-10-16,1.0,-2.320160750167448,-3.1906229068988616,-1.495244474212994,-2.7525787006028133,-2.6373744139316813,0.0
2018-10-17,1.0,-2.2663766969816788,-3.1042572821932253,-1.4296823513905363,-2.7361275866613943,-2.6439963094767363,0.0
2018-10-18,1.0,-2.2663766969816788,-3.104652695400026,-1.4292869381837352,-2.7361275866613943,-2.6439963094767363,0.0
2018-10-19,1.0,-2.24474513925381,-3.089595375722544,-1.4001576458223857,-2.749474513925381,-2.6531791907514455,0.0
2018-10-22,1.0,-2.2545765836955094,-3.0850783616488875,-1.3877255366785197,-2.769787962597129,-2.672724878177269,0.0
2018-10-23,1.0,-2.2576217500329943,-3.09357265408473,-1.3856407549161938,-2.779464167876468,-2.681536228058598,0.0
2018-10-24,1.0,-2.2564001055687517,-3.0973871733966747,-1.376616521509633,-2.782264449722882,-2.6834257059910267,0.0
