Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WDAY
2018-09-24,-0.6391239603385028,-0.8737514982021574,-0.42076780590564045,-0.4703446772963353,-0.2280172883448952,0.0,1.0
2018-09-25,-0.645998689288575,-0.872788174470254,-0.42882108789048273,-0.469271098813078,-0.22398601907813295,0.0,1.0
2018-09-26,-0.6481501731365046,-0.8758884636413342,-0.432513213049025,-0.4692546017860397,-0.21917258975760892,0.0,1.0
2018-09-27,-0.6516686097347713,-0.8674220343923055,-0.43496793937627515,-0.46983386767706203,-0.21939667735354124,0.0,1.0
2018-09-28,-0.6524781341107873,-0.8667638483965016,-0.43491253644314876,-0.47018950437317786,-0.21997084548104956,0.0,1.0
2018-10-01,-0.6529028025802689,-0.8659572141841902,-0.43481905317249164,-0.470607529428915,-0.22016108458763073,0.0,1.0
2018-10-02,-0.6531355901322742,-0.8608023904092118,-0.43650475531100824,-0.4717049885216631,-0.22180519622490252,0.0,1.0
2018-10-03,-0.6539429989417217,-0.8669123818560012,-0.43728788818742476,-0.4711163011349122,-0.21997591504579792,0.0,1.0
2018-10-04,-0.6526935165558074,-0.8712813390834004,-0.43706600394707995,-0.4700679774870259,-0.2235582194284044,0.0,1.0
2018-10-05,-0.6582088459285297,-0.878990919742238,-0.4379027533684828,-0.46862185120093736,-0.21766988869361456,0.0,1.0
2018-10-08,-0.6567666422823702,-0.8761887344550111,-0.43328456474030724,-0.47392099487929773,-0.2174835405998537,0.0,1.0
2018-10-09,-0.6770806181344255,-0.8957363619437722,-0.45686091975423565,-0.4792403649227332,-0.21482033140942094,0.0,1.0
2018-10-10,-0.677180308333954,-0.8962165785357861,-0.45665450212258885,-0.47914649586653757,-0.21464213897370968,0.0,1.0
2018-10-11,-0.6526963550959473,-0.8934930633943852,-0.4245348286785858,-0.46254961220551294,-0.20802534318901797,0.0,1.0
2018-10-12,-0.6724604233529263,-0.8919981248422343,-0.4268508167754499,-0.43889509934730087,-0.1759042227110454,0.0,1.0
2018-10-15,-0.6694155353091578,-0.8992401598905254,-0.4213331412726422,-0.4374662393316288,-0.17368288379127805,0.0,1.0
2018-10-16,-0.6694155353091578,-0.8990240916129497,-0.42147718679102597,-0.4375022507112248,-0.17375490655046996,0.0,1.0
2018-10-17,-0.6640214477211797,-0.8851474530831099,-0.4181948168007149,-0.433887399463807,-0.17336907953529937,0.0,1.0
2018-10-18,-0.6620607974733518,-0.8838962064386463,-0.4203782794386821,-0.4443527258371317,-0.1783368625058321,0.0,1.0
2018-10-19,-0.6661038261181965,-0.890749056942698,-0.4193281839410814,-0.44339859888629424,-0.1730195796658883,0.0,1.0
2018-10-22,-0.6650129421915444,-0.8932988208225482,-0.42231090020132295,-0.44190394017831464,-0.17256255392579808,0.0,1.0
2018-10-23,-0.668537304842075,-0.8933376501906611,-0.42938340887833654,-0.4363263544139866,-0.16976041441830347,0.0,1.0
2018-10-24,-0.6704043126684637,-0.8914285714285715,-0.42530098831985624,-0.43690925426774485,-0.16984725965858044,0.0,1.0
2018-10-25,-0.6514109223641723,-0.8589779587252563,-0.4257335392390847,-0.4341569563386214,-0.13947774813982872,0.0,1.0
2018-10-26,-0.6421283560260473,-0.8499843298394679,-0.4143190444684334,-0.4405056238465021,-0.13532054183932862,0.0,1.0
2018-10-29,-0.6441303439632363,-0.8525623172260131,-0.4137654922712714,-0.4400153182008077,-0.13093580281297867,0.0,1.0
2018-10-30,-0.6212492989343803,-0.8657108805384185,-0.3924915872125631,-0.4558328659562535,-0.17000841278743692,0.0,1.0
2018-10-31,-0.6213650059561349,-0.8647607035246304,-0.3926494289117791,-0.4554340971200336,-0.16943451755307967,0.0,1.0
2018-11-01,-0.6276685393258427,-0.8590941011235955,-0.39838483146067416,-0.4561446629213483,-0.16997893258426966,0.0,1.0
2018-11-02,-0.6290209545167846,-0.8520569065806993,-0.39761020393860813,-0.4571448594855981,-0.16823183124255375,0.0,1.0
2018-11-05,-0.6395960594611771,-0.838388474983228,-0.39451290561773944,-0.4644610006708802,-0.19399032520038134,0.0,1.0
2018-11-06,-0.6526755379388449,-0.8505096262740658,-0.3869620611551529,-0.4620611551528879,-0.1868629671574179,0.0,1.0
2018-11-07,-0.6587640609426171,-0.857041150505482,-0.3777587925388011,-0.4722340879965827,-0.19393421614694575,0.0,1.0
2018-11-08,-0.6645936092644221,-0.8599256558724713,-0.3802988062048753,-0.47633855171920797,-0.19308027736078348,0.0,1.0
2018-11-09,-0.6623497424155695,-0.8607970807097882,-0.38129650829994277,-0.4793216943331425,-0.19379650829994277,0.0,1.0
2018-11-12,-0.6630824372759856,-0.8664516129032258,-0.38046594982078846,-0.4792831541218638,-0.19494623655913976,0.0,1.0
2018-11-13,-0.6634501983488796,-0.8691612165397948,-0.37679139416032303,-0.4777170222651085,-0.18680533218970014,0.0,1.0
2018-11-14,-0.666058394160584,-0.8688636038356948,-0.37612709317303566,-0.4796765421497066,-0.1873121511378274,0.0,1.0
2018-11-15,-0.6665116279069767,-0.8695885509838996,-0.375778175313059,-0.4795348837209302,-0.18640429338103756,0.0,1.0
2018-11-16,-0.6654871684895275,-0.8665379941382515,-0.37533061691328906,-0.4789477446565159,-0.18793337622417616,0.0,1.0
2018-11-19,-0.6662256864988558,-0.8639159038901603,-0.38422482837528604,-0.4747568649885584,-0.18642734553775744,0.0,1.0
2018-11-20,-0.6812376326677461,-0.873214606943695,-0.3933081489476525,-0.4745098039215687,-0.17549919050188884,0.0,1.0
