Date,CSTM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6029925956396545,-1.2473262032085561,-0.10561497326203209,-1.0899321266968327,-1.0960510078157137,0.0
2018-09-25,1.0,-0.6028284906145539,-1.2477243507328362,-0.10521985086140395,-1.0903059912573927,-1.096580097711494,0.0
2018-09-26,1.0,-0.6038987758461063,-1.2490998868429173,-0.10749922847443677,-1.0898055755580702,-1.0932002880362102,0.0
2018-09-27,1.0,-0.608141447368421,-1.237972861842105,-0.11076274671052631,-1.0899979440789473,-1.0928762335526316,0.0
2018-09-28,1.0,-0.6072768384809085,-1.238244514106583,-0.11151652191787861,-1.0894701680456342,-1.0925021840793463,0.0
2018-10-01,1.0,-0.6078421296058378,-1.237422272470322,-0.11182486253147644,-1.0895729482501668,-1.092296623670281,0.0
2018-10-02,1.0,-0.6097836699039103,-1.221468578182005,-0.11792816402034839,-1.0930579106931813,-1.0962951544113868,0.0
2018-10-03,1.0,-0.6091310599835661,-1.2112263763352507,-0.11678307313064913,-1.096240755957272,-1.1021980279375514,0.0
2018-10-04,1.0,-0.6192828111334054,-1.2010598343365746,-0.11838246643000463,-1.1098420538148892,-1.0963111591294954,0.0
2018-10-05,1.0,-0.6138232271325796,-1.2023638232271325,-0.10688591983556012,-1.1149023638232272,-1.100770811921891,0.0
2018-10-08,1.0,-0.6110769230769231,-1.1978461538461538,-0.10241025641025642,-1.1173846153846154,-1.0994871794871794,0.0
2018-10-09,1.0,-0.6111595466434177,-1.1981640084106877,-0.10221036976255192,-1.1174932047797324,-1.0994409969742038,0.0
2018-10-10,1.0,-0.6108024691358025,-1.2059156378600824,-0.09794238683127574,-1.1209362139917696,-1.1084362139917696,0.0
2018-10-11,1.0,-0.5561395604945688,-1.1930720328377633,-0.027631776543024476,-1.1065225008760073,-1.122390749361766,0.0
2018-10-12,1.0,-0.5680019782393669,-1.1835311572700298,-0.01904055390702275,-1.081899109792285,-1.0930761622156282,0.0
2018-10-15,1.0,-0.545871786013917,-1.2116665844149435,-0.0,-1.080688940433302,-1.0968760795538668,0.0
2018-10-16,1.0,-0.5450283740439181,-1.2127806563039722,-0.0,-1.0802862077473476,-1.0964717493214904,0.0
2018-10-17,1.0,-0.5110517367014816,-1.15409278600923,-0.0,-1.0773378673791596,-1.1153752732572262,0.0
2018-10-18,1.0,-0.5098916055023575,-1.1515578671073738,-0.0,-1.0823895396879404,-1.1169493996986342,0.0
2018-10-19,1.0,-0.4962962962962963,-1.1454853546356814,-0.0,-1.0829339143064631,-1.1166787702735415,0.0
2018-10-22,1.0,-0.49794099123104496,-1.1496536020541641,-0.0,-1.0816336417809214,-1.1155467273872388,0.0
2018-10-23,1.0,-0.5072520009701673,-1.152413291292748,-0.0,-1.0771768130002426,-1.1139946640795537,0.0
2018-10-24,1.0,-0.5056125176150444,-1.158511103552165,-0.0,-1.0797414840371253,-1.1154089119976676,0.0
2018-10-25,1.0,-0.4709500378501136,-1.1072577592732777,-0.0,-1.0728614685844058,-1.0801949280847845,0.0
2018-10-26,1.0,-0.4638758231420508,-1.0970366886171212,-0.0,-1.0703668861712134,-1.0723894637817497,0.0
2018-10-29,1.0,-0.4332021735057148,-1.1108768971332208,-0.0,-1.0577571669477235,-1.0824901630129284,0.0
2018-10-30,1.0,-0.4443714513631458,-1.112993289850312,-0.0,-1.0594059405940595,-1.075594763267796,0.0
2018-10-31,1.0,-0.45385405001866364,-1.0807670772676372,-0.0,-1.0605169839492348,-1.0707820082120194,0.0
2018-11-01,1.0,-0.4503823913448984,-1.082727103152397,-0.0,-1.0598768886401793,-1.0703693340794629,0.0
