Date,EVRI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8656187482137754,-1.5779937124892827,-0.25424406973420977,-1.0663618176621892,-0.9516433266647614,0.0
2018-09-25,1.0,-0.870020005715919,-1.5749071163189483,-0.2608173763932552,-1.063618176621892,-0.9466133180908832,0.0
2018-09-26,1.0,-0.8738475634198019,-1.5805989807020557,-0.2662200080169501,-1.0647655042088988,-0.940960888736185,0.0
2018-09-27,1.0,-0.8747926557227019,-1.5741005548246867,-0.2678030086369616,-1.0634330492478408,-0.9396556655036321,0.0
2018-09-28,1.0,-0.8813251245968924,-1.633890354734682,-0.27229551451187334,-1.1004397537379067,-0.9754324245089416,0.0
2018-10-01,1.0,-0.8828903164967289,-1.647256438969765,-0.2741792892084635,-1.1062651028467025,-0.9832026875699889,0.0
2018-10-02,1.0,-0.8873038516405135,-1.6947812648597242,-0.2653352353780314,-1.1104374702805517,-0.9860318592486924,0.0
2018-10-03,1.0,-0.8882741388541853,-1.6987923136415017,-0.2666428698911298,-1.1102980546135999,-0.9851270152894283,0.0
2018-10-04,1.0,-0.8910020206822774,-1.690597884226792,-0.26774040175918223,-1.1134553666944016,-0.9803280637109237,0.0
2018-10-05,1.0,-0.8783488083269266,-1.6856703530664146,-0.2512862972381572,-1.1159737417943107,-0.9827310899520967,0.0
2018-10-08,1.0,-0.8745944670559784,-1.6792308146050847,-0.24473544505397277,-1.1197428183802278,-0.9804164454668791,0.0
2018-10-09,1.0,-0.8779306679265338,-1.6815685348136773,-0.24974901080729936,-1.1187621803578809,-0.9775586133585307,0.0
2018-10-10,1.0,-0.8789917950534206,-1.679948055014462,-0.25092969718434566,-1.118942211203589,-0.974027507230978,0.0
2018-10-11,1.0,-0.7903705397987192,-1.6939043915827996,-0.1171088746569076,-1.1041285452881977,-1.0126372369624885,0.0
2018-10-12,1.0,-0.8116637497882911,-1.6893806808558685,-0.10811268559814825,-1.068311409699091,-0.968102523570259,0.0
2018-10-15,1.0,-0.791298474700287,-1.721956436089379,-0.07755952045927844,-1.066921821354196,-0.970732256430461,0.0
2018-10-16,1.0,-0.792454954954955,-1.719313063063063,-0.08006756756756757,-1.0673986486486486,-0.9713963963963964,0.0
2018-10-17,1.0,-0.7644310060472788,-1.6541506322155028,-0.06366135239142386,-1.0478834524463991,-0.9673996701484331,0.0
