Date,ENVA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.2001638001638002,-2.4322686322686327,-0.3675675675675676,-1.6936117936117936,-1.4963144963144963,0.0
2018-09-25,1.0,-1.2002946713595808,-2.429729066055496,-0.36915773103053123,-1.6918228697716298,-1.4943930588524188,0.0
2018-09-26,1.0,-1.2027525190464488,-2.433439829605964,-0.3725731137871713,-1.6924715327271238,-1.4908658966166954,0.0
2018-09-27,1.0,-1.205341002465078,-2.4428923582580113,-0.3747740345110928,-1.6974527526705012,-1.496466721446179,0.0
2018-09-28,1.0,-1.204920739762219,-2.4601221928665784,-0.3788804491413474,-1.7064068692206076,-1.5060270805812417,0.0
2018-10-01,1.0,-1.2066402378592667,-2.458870168483647,-0.37933597621407333,-1.7075487281136439,-1.5065246118268913,0.0
2018-10-02,1.0,-1.2107314645878255,-2.4849892187759166,-0.37775750539061204,-1.7103997346160225,-1.5093713717034334,0.0
2018-10-03,1.0,-1.209044227265198,-2.475650157362929,-0.3778366738446248,-1.7094583402352161,-1.5103528242504556,0.0
2018-10-04,1.0,-1.2094119593085766,-2.4680340749317673,-0.37838061367959636,-1.7092051939459103,-1.5056653709370604,0.0
2018-10-05,1.0,-1.1878280839895012,-2.4541502624671914,-0.3554790026246719,-1.7041502624671916,-1.5004921259842519,0.0
2018-10-08,1.0,-1.1815877687842369,-2.4444444444444446,-0.3460060502003107,-1.7075463984956258,-1.4964434633308805,0.0
2018-10-09,1.0,-1.1797596664759258,-2.4451074961170605,-0.34169868388784436,-1.7092291343088368,-1.4988146815989538,0.0
2018-10-10,1.0,-1.180377420145413,-2.442855975818969,-0.3426190670696838,-1.7088473163957192,-1.4946491299730416,0.0
2018-10-11,1.0,-1.0381697119851347,-2.4131310003096935,-0.16142768659027562,-1.644549396097863,-1.4849798699287706,0.0
2018-10-12,1.0,-1.0368520620507,-2.385092697692017,-0.1402951191827469,-1.587665531592887,-1.4172531214528947,0.0
2018-10-15,1.0,-1.0012166375180596,-2.4809520188578817,-0.07330241046308265,-1.6041365675614023,-1.4443768534712191,0.0
2018-10-16,1.0,-0.9987839173063768,-2.486965113627727,-0.06810063084289732,-1.6032530212054419,-1.4434141521623471,0.0
2018-10-17,1.0,-0.9470310888463238,-2.383822012671283,-0.02600559893914837,-1.573449241196405,-1.4367909238249597,0.0
2018-10-18,1.0,-0.946523276370065,-2.383176193282263,-0.026001767825574545,-1.5735857395403654,-1.4365792575132588,0.0
2018-10-19,1.0,-0.9145987519953562,-2.355100856189232,-0.0,-1.5650848933391381,-1.4210564504426062,0.0
2018-10-22,1.0,-0.915148435798795,-2.3399869347463165,-0.0,-1.5738549756841111,-1.4294113377368076,0.0
2018-10-23,1.0,-0.9167875798026699,-2.3389437028438773,-0.0,-1.5714596633778295,-1.4276697620429484,0.0
2018-10-24,1.0,-0.9119223526003188,-2.332319281471824,-0.0,-1.5706939012023757,-1.4283644792119368,0.0
2018-10-25,1.0,-0.8092765899310063,-2.1876494296058473,-0.0,-1.521620329257463,-1.3125213470865498,0.0
2018-10-26,1.0,-0.7659014179608372,-2.1586765698852126,-0.0,-1.5336934503713706,-1.2939230249831193,0.0
2018-10-29,1.0,-0.7296293701394241,-2.29068871295453,-0.0,-1.5876830379037343,-1.398234428641491,0.0
2018-10-30,1.0,-0.7044033991151064,-2.2976332607626944,-0.0,-1.5947749139686778,-1.4261535220169956,0.0
2018-10-31,1.0,-0.710575785003133,-2.249599665807979,-0.0,-1.5892223073174125,-1.4128663928148715,0.0
2018-11-01,1.0,-0.6651490360674397,-2.3534893647293162,-0.0,-1.6341324606957388,-1.4612648502525434,0.0
2018-11-02,1.0,-0.6648409521803244,-2.2915525595112705,-0.0,-1.6285373218172878,-1.4371181799030968,0.0
2018-11-05,1.0,-0.6596058076734236,-2.30188679245283,-0.0,-1.626920109419934,-1.425685628112506,0.0
2018-11-06,1.0,-0.6644699943914751,-2.304683118339877,-0.0,-1.6222658440830062,-1.4191671340437466,0.0
2018-11-07,1.0,-0.6615330766538327,-2.303745187259363,-0.0,-1.6183409170458523,-1.416730836541827,0.0
2018-11-08,1.0,-0.5977407356385177,-2.2946686871469897,-0.0,-1.5849979335996693,-1.4105937456949993,0.0
2018-11-09,1.0,-0.599696739954511,-2.2951271624508927,-0.0,-1.5854986560066167,-1.4119512027017713,0.0
2018-11-12,1.0,-0.5957548784662786,-2.273125641903458,-0.0,-1.5780896953098251,-1.4,0.0
