Date,IWF,IWM,MTUM,OGE,SPY,VLUE,VXX
2018-09-24,-0.2499228712464007,-0.5104895104895105,-0.0,1.0,-0.47457322089675036,-0.3359471410942,0.0
2018-09-25,-0.2499550070703175,-0.510502635300167,-0.0,1.0,-0.47455971204525,-0.3359814886232163,0.0
2018-09-26,-0.24838684599238126,-0.5137733551011946,-0.0,1.0,-0.480318225401021,-0.34895954805773666,0.0
2018-09-27,-0.24741545015325472,-0.5188581224998702,-0.0,1.0,-0.48124577900150656,-0.35001818276274094,0.0
2018-09-28,-0.2500520345509418,-0.5184202310334062,-0.0,1.0,-0.4822822354043085,-0.35097304610261215,0.0
2018-10-01,-0.2501307804980122,-0.5260776313036201,-0.0,1.0,-0.4846725256329776,-0.35472902280811885,0.0
2018-10-02,-0.25149074170938385,-0.5209749973846637,-0.0,1.0,-0.48626948425567534,-0.3566011089026049,0.0
2018-10-03,-0.25111990150106095,-0.5108322636418411,-0.0,1.0,-0.49197076467660383,-0.365703507714877,0.0
2018-10-04,-0.25861570410872475,-0.5050866170710548,-0.0,1.0,-0.5024841618253988,-0.3625561893746221,0.0
2018-10-05,-0.2410473017288874,-0.49655009575779835,-0.0,1.0,-0.5123173387202561,-0.37358658866122724,0.0
2018-10-08,-0.23822023887649296,-0.49431683948024674,-0.0,1.0,-0.5183094894343089,-0.37419608872555454,0.0
2018-10-09,-0.23201960061120186,-0.4965751620211813,-0.0,1.0,-0.5237631065914958,-0.38213288371357823,0.0
2018-10-10,-0.2349405530804313,-0.4959533915060765,-0.0,1.0,-0.526111828750692,-0.3792476208051037,0.0
2018-10-11,-0.18179029701957977,-0.4825929144726752,-0.0,1.0,-0.5094064720617555,-0.382316854966515,0.0
2018-10-12,-0.17814835527988204,-0.4797396919009609,-0.0,1.0,-0.5073211652854746,-0.3768620672123646,0.0
2018-10-15,-0.16269931807235025,-0.49202727710599037,-0.0,1.0,-0.5042208532968286,-0.37612492711739803,0.0
2018-10-16,-0.1598468715140452,-0.4967295406145421,-0.0,1.0,-0.5033465165804685,-0.3752915525808741,0.0
2018-10-17,-0.14853044086773967,-0.4745826252124363,-0.0,1.0,-0.4989753074077777,-0.37713685894231735,0.0
2018-10-18,-0.14781391395645327,-0.4732145089118316,-0.0,1.0,-0.5011624128190385,-0.3776216783741219,0.0
2018-10-19,-0.1356886079087641,-0.46331969753315977,-0.0,1.0,-0.5038800049584728,-0.3763480847898847,0.0
