Date,BSM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24891739297264703,-0.619141588554514,-0.0,-0.45305048511757934,-0.4196678177931261,0.0
2018-09-25,1.0,-0.2510205759061892,-0.6181813200361654,-0.0,-0.4523959560535905,-0.41820323844488894,0.0
2018-09-26,1.0,-0.2512533903180735,-0.6184214131119695,-0.0,-0.4523437714035232,-0.4176323936330511,0.0
2018-09-27,1.0,-0.25222462557840264,-0.6160227801659228,-0.0,-0.45226295758836893,-0.4174629685403718,0.0
2018-09-28,1.0,-0.2511226725082147,-0.617196056955093,-0.0,-0.45227272727272727,-0.41763417305585976,0.0
2018-10-01,1.0,-0.25201314708299094,-0.6163790742262394,-0.0,-0.45286222952615723,-0.4176937825253355,0.0
2018-10-02,1.0,-0.2562702376378903,-0.5998847483672685,-0.002826409088414467,-0.46004610065309254,-0.42505899785961254,0.0
2018-10-03,1.0,-0.2561795286823407,-0.5981728896326576,-0.0027982771391731366,-0.46039889166278014,-0.42585937285671177,0.0
2018-10-04,1.0,-0.25685607722685383,-0.5964787187362878,-0.0032360684510750327,-0.4610300570425625,-0.4248573935936814,0.0
2018-10-05,1.0,-0.24656000873648576,-0.5908867533034837,-0.0,-0.4639073932510647,-0.4287976411488479,0.0
2018-10-08,1.0,-0.24389512700316143,-0.5877030415349395,-0.0,-0.4660143900577782,-0.42777717213561534,0.0
2018-10-09,1.0,-0.25054668707631755,-0.5912147386835775,-0.0,-0.4662147386835775,-0.4254318827902908,0.0
2018-10-10,1.0,-0.2527541619966649,-0.5903884530220606,-0.0,-0.46772914901178203,-0.42276044941363,0.0
2018-10-11,1.0,-0.2183002696713214,-0.5796331402023871,-0.0,-0.45205991509358395,-0.42001975809681474,0.0
2018-10-12,1.0,-0.22194684665682346,-0.5733758700696056,-0.0,-0.43785593756591434,-0.4033959080362792,0.0
2018-10-15,1.0,-0.21435149856590271,-0.5786911559613716,-0.0,-0.4357813856800779,-0.4025471673288951,0.0
2018-10-16,1.0,-0.22102233722342504,-0.5728468078365104,-0.0,-0.4399324074563024,-0.40653218566826843,0.0
2018-10-17,1.0,-0.2103479734132673,-0.5520135540205917,-0.0,-0.4356053694773882,-0.40857552456666235,0.0
2018-10-18,1.0,-0.21081320744875073,-0.5535704971050024,-0.0,-0.4349016744040478,-0.4087945334098378,0.0
2018-10-19,1.0,-0.20100983946141898,-0.5458829621957535,-0.0,-0.435189021232522,-0.40725012946659767,0.0
2018-10-22,1.0,-0.2012790306294177,-0.5447531263754757,-0.0,-0.43549180540092686,-0.40760686637495785,0.0
2018-10-23,1.0,-0.1993053215479924,-0.5455558723657948,-0.0,-0.4379843956556676,-0.40923818657819017,0.0
2018-10-24,1.0,-0.19799596085132826,-0.5422298172026306,-0.0,-0.43837709077727716,-0.4105949976697219,0.0
2018-10-25,1.0,-0.17833896765729856,-0.5139764872092436,-0.0,-0.4397043241334073,-0.3908118472173167,0.0
2018-10-26,1.0,-0.16567070883860482,-0.5050881360170021,-0.0,-0.44460557569696213,-0.38492311538942364,0.0
2018-10-29,1.0,-0.15520760728865876,-0.5083142487304589,-0.0,-0.43938564174051575,-0.38638852932390716,0.0
2018-10-30,1.0,-0.14496290025397143,-0.5090881928190828,-0.0,-0.4404412130869977,-0.39539863552611926,0.0
2018-10-31,1.0,-0.1455191433327536,-0.5055032423165793,-0.0,-0.439414643842083,-0.3940719024075132,0.0
2018-11-01,1.0,-0.13342599027102156,-0.5149657500248188,-0.0,-0.4390697905291373,-0.3943959098580363,0.0
2018-11-02,1.0,-0.14010581487341772,-0.488701542721519,-0.0,-0.4513943829113924,-0.39210838607594933,0.0
2018-11-05,1.0,-0.13891703531621483,-0.49170847440871907,-0.0,-0.45144947235746236,-0.38931863677927986,0.0
2018-11-06,1.0,-0.1384919653893696,-0.491248454882571,-0.0,-0.452088998763906,-0.3903090234857849,0.0
2018-11-07,1.0,-0.14316735683264317,-0.506009493990506,-0.0,-0.4714170285829714,-0.4044035955964044,0.0
