Date,INVA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5436116793751162,-1.2904035707643668,-0.08606100055793194,-0.9237957969127767,-0.8055607215919658,0.0
2018-09-25,1.0,-0.5471408647140864,-1.2877266387726638,-0.09139934913993492,-0.9213389121338912,-0.8013482101348209,0.0
2018-09-26,1.0,-0.5476987447698745,-1.2884704788470478,-0.09274755927475592,-0.9209669920966992,-0.7991631799163179,0.0
2018-09-27,1.0,-0.5558711239407766,-1.2764223856969923,-0.09726231492690195,-0.9245739826799516,-0.8017506285501443,0.0
2018-09-28,1.0,-0.5558918012942875,-1.2759439452488477,-0.09781647190278878,-0.9242981516830393,-0.801713301364123,0.0
2018-10-01,1.0,-0.5574495831586791,-1.2747892506171115,-0.09785291788924595,-0.9253877322900657,-0.8019654417586513,0.0
2018-10-02,1.0,-0.5667354016308933,-1.2451026337988567,-0.11149123629206112,-0.9430593307713938,-0.8200862311369389,0.0
2018-10-03,1.0,-0.5659767746769058,-1.2367484547668104,-0.11074171193107324,-0.9449335081475932,-0.8241243678591496,0.0
2018-10-04,1.0,-0.5671173911009217,-1.2325831656763206,-0.11158938848079353,-0.9458662798858373,-0.8216909184485098,0.0
2018-10-05,1.0,-0.5507657930263954,-1.224477445184116,-0.09399003770774172,-0.9547507099297053,-0.8312927703551977,0.0
2018-10-08,1.0,-0.5479210220673636,-1.219698025551684,-0.08822299651567944,-0.9594889663182345,-0.830383275261324,0.0
2018-10-09,1.0,-0.548580456298499,-1.2202499883834395,-0.08935458389480043,-0.9591097067980112,-0.8293294921239719,0.0
2018-10-10,1.0,-0.54960520204366,-1.218764514630748,-0.09057129586623316,-0.9595912679981422,-0.8261495587552253,0.0
2018-10-11,1.0,-0.48303643362277326,-1.207904395309283,-0.007027123802703429,-0.9397547220481605,-0.838107600035807,0.0
2018-10-12,1.0,-0.4951246415177587,-1.199602911978822,-0.0,-0.91299360247077,-0.8041032428855063,0.0
2018-10-15,1.0,-0.4568091670339357,-1.2380784486557956,-0.0,-0.9066549140590568,-0.8056853239312473,0.0
2018-10-16,1.0,-0.44666430406662533,-1.2667670771684238,-0.0,-0.9088331709045806,-0.8076105253831842,0.0
2018-10-17,1.0,-0.41773194089353033,-1.211899293669021,-0.0,-0.8948303505654981,-0.8088573038089872,0.0
2018-10-18,1.0,-0.4169844020797227,-1.2105285961871752,-0.0,-0.8962738301559792,-0.8089688041594454,0.0
2018-10-19,1.0,-0.39129498880661273,-1.1962717410022388,-0.0,-0.9052867229206131,-0.8122955054244877,0.0
2018-10-22,1.0,-0.39220005182689816,-1.1817396562149087,-0.0,-0.9194523624427745,-0.8255161095275115,0.0
2018-10-23,1.0,-0.39660533817051047,-1.18212835795111,-0.0,-0.9162995594713657,-0.8239181135009069,0.0
2018-10-24,1.0,-0.3945231513476158,-1.183871803731859,-0.0,-0.9170697995853491,-0.8238597097442985,0.0
2018-10-25,1.0,-0.34216216216216216,-1.1153014553014555,-0.0,-0.9246985446985447,-0.7758004158004158,0.0
2018-10-26,1.0,-0.31379168382050227,-1.0987649238369699,-0.0,-0.938699053108275,-0.7656648826677646,0.0
2018-10-29,1.0,-0.2902143675339552,-1.1058337424316806,-0.0,-0.9271395843560792,-0.7677957781050565,0.0
2018-10-30,1.0,-0.2922208127020502,-1.106068666366575,-0.0,-0.9273233211932725,-0.7665834595081229,0.0
2018-10-31,1.0,-0.29641191972430564,-1.0789377660652748,-0.0,-0.9214676667342389,-0.7575106426109872,0.0
2018-11-01,1.0,-0.23692501575299305,-1.188909892879647,-0.0,-0.9690821256038648,-0.8058811174123084,0.0
2018-11-02,1.0,-0.2424294785951877,-1.2508531686033952,-0.0,-0.9875156594237332,-0.8390859216380837,0.0
2018-11-05,1.0,-0.23282876892116547,-1.3106571003587366,-0.0,-1.0089246653250503,-0.8224254090471607,0.0
2018-11-06,1.0,-0.23356227306531346,-1.3104247779867886,-0.0,-1.0084868104466513,-0.8221706986307363,0.0
2018-11-07,1.0,-0.2344204495372411,-1.3241516086381666,-0.0,-1.016350815337153,-0.8323049801674747,0.0
2018-11-08,1.0,-0.20217722621380363,-1.3200957979534074,-0.0,-1.0003919007184847,-0.8318310472458089,0.0
2018-11-09,1.0,-0.2022452046318395,-1.3411119950499426,-0.0,-1.0267833465924159,-0.8495536108901265,0.0
2018-11-12,1.0,-0.20023727919852358,-1.3208981457070041,-0.0,-1.029791721592407,-0.8430881448281923,0.0
2018-11-13,1.0,-0.16332116788321166,-1.3160844629822732,-0.0,-1.0312825860271115,-0.8341153979840111,0.0
2018-11-14,1.0,-0.16454486204649144,-1.315229198348903,-0.0,-1.0315446447968717,-0.8336736910710407,0.0
2018-11-15,1.0,-0.16308733567616815,-1.3173239619940127,-0.0,-1.0362705540370516,-0.8219011670788321,0.0
2018-11-16,1.0,-0.15868418777556842,-1.3042707702948042,-0.0,-1.0328953056107892,-0.8267917351084983,0.0
2018-11-19,1.0,-0.1618537091475013,-1.303475704651565,-0.0,-1.031385094241743,-0.8263444578938267,0.0
2018-11-20,1.0,-0.08865997155295031,-1.2983061074953666,-0.0,-1.0502133528727209,-0.872936511357269,0.0
