Date,IWF,IWM,MTUM,RGLD,SPY,VLUE,VXX
2018-09-24,-0.3566547879818224,-0.8528132866904242,-0.0,1.0,-0.6098015496779677,-0.4500931768398339,0.0
2018-09-25,-0.36493838489774516,-0.8536641321447299,-0.0,1.0,-0.6107105401153644,-0.4480532249606712,0.0
2018-09-26,-0.3671126852945034,-0.8560278105732649,-0.0,1.0,-0.6112094975731339,-0.44519874065328613,0.0
2018-09-27,-0.3664046828241639,-0.8623105001808674,-0.0,1.0,-0.6128119964484198,-0.44697293564405277,0.0
2018-09-28,-0.36505952772479117,-0.8636453331579294,-0.0,1.0,-0.6128066828915345,-0.44728014207722167,0.0
2018-10-01,-0.36486931331884914,-0.8656593587464612,-0.0,1.0,-0.61307525182698,-0.44825202449140833,0.0
2018-10-02,-0.36681697001612745,-0.8579797913306785,-0.0,1.0,-0.6154757594707567,-0.4510417009511898,0.0
2018-10-03,-0.36997738158594995,-0.8460284725918041,-0.0,1.0,-0.6342802022352315,-0.4759513038850452,0.0
2018-10-04,-0.3880758076482093,-0.8450799217643488,-0.0,1.0,-0.6614959196061239,-0.47757469481351583,0.0
2018-10-05,-0.3658495521583945,-0.8362852717354703,-0.0,1.0,-0.6737827463128829,-0.491278873998249,0.0
2018-10-08,-0.36257388500806015,-0.8319116066630844,-0.0,1.0,-0.6748052122514776,-0.4891187533584094,0.0
2018-10-09,-0.36136203364787267,-0.8318613788240035,-0.0,1.0,-0.6751737801806642,-0.48967393129386483,0.0
2018-10-10,-0.36027106301203604,-0.8376993358281919,-0.0,1.0,-0.6773541013452008,-0.49613971207983554,0.0
2018-10-11,-0.27590935806177763,-0.8287402860314765,-0.0,1.0,-0.6533664206883041,-0.5072160909031542,0.0
2018-10-12,-0.34095310554710195,-0.9085627334347767,-0.0,1.0,-0.6848111772029327,-0.5240005533268779,0.0
2018-10-15,-0.3001008099558522,-0.9603364966802239,-0.0,1.0,-0.6840129314839921,-0.5317551360934404,0.0
2018-10-16,-0.2920289096051116,-0.981390314583988,-0.0,1.0,-0.6852763520826787,-0.5328026256066478,0.0
2018-10-17,-0.264655643618475,-0.9307187756217546,-0.0,1.0,-0.6783957365400384,-0.5424637879201968,0.0
2018-10-18,-0.26457123334472155,-0.9310556884181755,-0.0,1.0,-0.67833959685685,-0.5424666894431158,0.0
2018-10-19,-0.2444805085032289,-0.916387733712006,-0.0,1.0,-0.6806640294823681,-0.5394394292862698,0.0
2018-10-22,-0.2446614407352345,-0.9115758886335991,-0.0,1.0,-0.6818151101500203,-0.5407825381808352,0.0
2018-10-23,-0.24521991757313696,-0.9113911222214715,-0.0,1.0,-0.6811701912032971,-0.5403688939936491,0.0
2018-10-24,-0.24450549450549453,-0.9090014923348257,-0.0,1.0,-0.6883733550400217,-0.5497897164563831,0.0
2018-10-25,-0.20210553678190799,-0.848810761632441,-0.0,1.0,-0.6919027813880947,-0.5064335846113855,0.0
2018-10-26,-0.17259168623301036,-0.8639835973411819,-0.0,1.0,-0.7464532557293562,-0.5239591256324614,0.0
2018-10-29,-0.14326222427379737,-0.8818292723136273,-0.0,1.0,-0.7373141217976195,-0.5347687032213393,0.0
2018-10-30,-0.1368878929677717,-0.8815329862255322,-0.0,1.0,-0.737230606999275,-0.5396757398009622,0.0
2018-10-31,-0.138302047223494,-0.8676172411537706,-0.0,1.0,-0.7312446857217607,-0.5331937994636666,0.0
2018-11-01,-0.11431095984553458,-0.8893215957063847,-0.0,1.0,-0.7328926268940014,-0.5360473868508034,0.0
2018-11-02,-0.12135875036534279,-0.8538953658298964,-0.0,1.0,-0.7427337381872504,-0.5295034585782483,0.0
2018-11-05,-0.11826944922268022,-0.8619648826717731,-0.0,1.0,-0.7430463146278926,-0.5223459154198176,0.0
2018-11-06,-0.12569460241120461,-0.8690410424722972,-0.0,1.0,-0.7391869495986741,-0.5156793292821629,0.0
2018-11-07,-0.1252737196457169,-0.8777657940320945,-0.0,1.0,-0.7435696310095761,-0.5216851325293329,0.0
