Date,IWF,IWM,MTUM,NVAX,SPY,VLUE,VXX
2018-09-24,-1.3372500876885303,-2.5633988074359872,-0.28551385478779373,1.0,-1.8394423009470362,-1.7432479831638021,0.0
2018-09-25,-1.499474840064929,-2.7675928578248827,-0.37973837486871,1.0,-2.0124128711925904,-1.8891435118877111,0.0
2018-09-26,-1.5343956471045472,-2.8274387874076954,-0.4025456665371162,1.0,-2.049553050913331,-1.902448503692188,0.0
2018-09-27,-1.5406675149261035,-2.8613095820691004,-0.40080258392874624,1.0,-2.066262112165998,-1.9185670940589215,0.0
2018-09-28,-1.542099079694537,-2.8608772273350307,-0.40150773448208343,1.0,-2.0668690033287644,-1.9192285098883888,0.0
2018-10-01,-1.5429802232230272,-2.859212845114549,-0.402095163501077,1.0,-2.0671627178382614,-1.9190327002153906,0.0
2018-10-02,-1.5434974067912712,-2.8470496134651135,-0.40708484196105293,1.0,-2.067814854682454,-1.9203444564047363,0.0
2018-10-03,-1.5428040309167401,-2.827022796203894,-0.40465707856374133,1.0,-2.075530769983368,-1.9335681440172194,0.0
2018-10-04,-1.5762523939119037,-2.940227799616974,-0.41628868057655477,1.0,-2.128616066928737,-2.018244128616067,0.0
2018-10-05,-1.5442259203227433,-2.9352496217851742,-0.37206253151790214,1.0,-2.1689359556227936,-2.065254664649521,0.0
2018-10-08,-1.5359726688102895,-2.9221262057877815,-0.3609324758842444,1.0,-2.1703175241157555,-2.0588826366559485,0.0
2018-10-09,-1.5338089018386416,-2.9230382799156036,-0.35537024012860446,1.0,-2.172711745202452,-2.062292776047423,0.0
2018-10-10,-1.535348463546897,-2.9200642699337216,-0.35720024101225145,1.0,-2.173026712191203,-2.056537457320747,0.0
2018-10-11,-1.3722307104660045,-2.8714667685255924,-0.15259740259740262,1.0,-2.09635217723453,-2.056627196333079,0.0
2018-10-12,-1.4006231706165613,-2.8663959966008874,-0.13171560759135115,1.0,-2.047587574355585,-1.9956566896421488,0.0
2018-10-15,-1.3665570690465005,-2.9079379990605916,-0.08276186002818224,1.0,-2.040864255519023,-1.9959605448567401,0.0
2018-10-16,-1.363943661971831,-2.9138967136150233,-0.07737089201877935,1.0,-2.03981220657277,-1.9947417840375585,0.0
2018-10-17,-1.3067703568161027,-2.795882891125343,-0.022964318389752974,1.0,-2.0182067703568163,-2.0052150045745654,0.0
2018-10-18,-1.3050041167322293,-2.79279114445156,-0.024334461622907328,1.0,-2.020858109962492,-2.0053974933674867,0.0
2018-10-19,-1.264902456647399,-2.758218930635838,-0.0,1.0,-2.014992774566474,-1.9936777456647399,0.0
2018-10-22,-1.2654811337786604,-2.7528434735511826,-0.0,1.0,-2.0148943852680987,-1.993590900884636,0.0
2018-10-23,-1.274270748667931,-2.7548089948523433,-0.0,1.0,-2.010295312923327,-1.991601192088865,0.0
2018-10-24,-1.2686270972397617,-2.7526610138913945,-0.0,1.0,-2.008569366768898,-1.99052859462385,0.0
2018-10-25,-1.1476263661202186,-2.5795765027322406,-0.0,1.0,-1.954405737704918,-1.8566427595628416,0.0
2018-10-26,-1.1054615513486346,-2.5268889261182776,-0.0,1.0,-1.92972022114257,-1.8145417992963646,0.0
2018-10-29,-1.056114390223626,-2.540194529886109,-0.0,1.0,-1.9009892759165352,-1.815944800066506,0.0
2018-10-30,-1.066122584943371,-2.544720186542305,-0.0,1.0,-1.9046469020652896,-1.8122918054630246,0.0
2018-10-31,-1.077934971456937,-2.4901133449160255,-0.0,1.0,-1.9036981881360138,-1.801605030197733,0.0
