Date,CRH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2645416538062235,-0.5147170234855074,-0.0502258761469177,-0.4988636044782402,-0.4775667106259996,0.0
2018-09-25,1.0,-0.26503590664272886,-0.5140540843806104,-0.0511669658886894,-0.49826077199281865,-0.4766887342908438,0.0
2018-09-26,1.0,-0.2661016473493672,-0.5155333539135072,-0.053321359414026326,-0.4979373053068785,-0.4734936715965538,0.0
2018-09-27,1.0,-0.26806696766594684,-0.5102218233825963,-0.05485291230825318,-0.4979107658655599,-0.47328865083148713,0.0
2018-09-28,1.0,-0.2673583847448121,-0.510796410544027,-0.05521592821088054,-0.49770050476724625,-0.4732192933258554,0.0
2018-10-01,1.0,-0.26920593931568754,-0.5099222499789485,-0.054902180930193396,-0.4992000449097595,-0.4736295506217195,0.0
2018-10-02,1.0,-0.27013752455795675,-0.5017962391243335,-0.057956777996070734,-0.5010103845074375,-0.4757507718214987,0.0
2018-10-03,1.0,-0.27047062787824333,-0.5037908570144894,-0.05837919802313827,-0.5005896888689206,-0.4748399415927216,0.0
2018-10-04,1.0,-0.2694353000759686,-0.5086519794040685,-0.058383275653470644,-0.4991699727075772,-0.47801131088039167,0.0
2018-10-05,1.0,-0.2631313272946521,-0.5047814016096918,-0.05157183319779018,-0.502762276003253,-0.4820942819484562,0.0
2018-10-08,1.0,-0.2621334752289467,-0.5030946313047862,-0.0499621922872266,-0.5037667684207578,-0.48161424930685864,0.0
2018-10-09,1.0,-0.26223815391508903,-0.5031365520331578,-0.050184832530525365,-0.5036126358239049,-0.4813207124453904,0.0
2018-10-10,1.0,-0.26222944025984934,-0.5029821073558648,-0.05006580236888528,-0.5037381345728447,-0.4810573180634503,0.0
2018-10-11,1.0,-0.2389084120360202,-0.4980781902042609,-0.020179002855260267,-0.4994234570612782,-0.4888535031847134,0.0
2018-10-12,1.0,-0.2402754715953943,-0.49318126139859003,-0.016740615728012633,-0.49201077932329806,-0.47984320984293766,0.0
2018-10-15,1.0,-0.23020898442807836,-0.5092534717504145,-0.0024458515639861943,-0.49281191401472946,-0.48289262711634096,0.0
2018-10-16,1.0,-0.22112807046337324,-0.5351769790469938,-0.0,-0.49477542535149627,-0.4842715684665463,0.0
2018-10-17,1.0,-0.20652232600831485,-0.508638842395119,-0.0,-0.492737973111603,-0.4917661033421521,0.0
