Date,GIGE,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-06,1.0,-0.48486599526718394,-0.2687799240548126,-0.40239942765945735,-0.4714104892410984,-0.12418138792581586,0.0
2020-01-07,1.0,-0.472862023363456,-0.26873484681507603,-0.41271765483799866,-0.4666905444126075,-0.13409191095437514,0.0
2020-01-08,1.0,-0.47230667182576974,-0.2618981814161738,-0.41852302249737444,-0.46067105190426183,-0.15040627936543036,0.0
2020-01-09,1.0,-0.4718921010447184,-0.2619810955723841,-0.418688850809795,-0.4604499474877011,-0.1507932120944116,0.0
2020-01-10,1.0,-0.4708189476591631,-0.26314045021405885,-0.4174009114763155,-0.4587487916033697,-0.1519403397320812,0.0
2020-01-13,1.0,-0.4705898612416386,-0.26333683454032836,-0.4233235668085577,-0.45660346066670354,-0.1502570623030571,0.0
2020-01-14,1.0,-0.47226071052485724,-0.2654492046777143,-0.4278667627334701,-0.45868203735520696,-0.14689907443329822,0.0
2020-01-15,1.0,-0.47459318603942,-0.2639924597344274,-0.4276882987275802,-0.4603165802677903,-0.14556593574141324,0.0
2020-01-16,1.0,-0.4750436493639664,-0.26164675886151373,-0.42510323421001583,-0.4606878585483469,-0.14887897347781504,0.0
2020-01-17,1.0,-0.4746775889743732,-0.2569878784524271,-0.42433718935075,-0.4603697348757403,-0.15110422316931424,0.0
2020-01-21,1.0,-0.47488571824352405,-0.25352541903310705,-0.42795401025072727,-0.4620307521817426,-0.1520709239506857,0.0
2020-01-22,1.0,-0.4745241459562797,-0.25132297121325464,-0.43130246862272464,-0.46122516831518584,-0.15224558778710554,0.0
2020-01-23,1.0,-0.4733617917729238,-0.24916842221975827,-0.4339172857301253,-0.4585042687659385,-0.15694644639095243,0.0
2020-01-24,1.0,-0.4732231954762169,-0.24933473777580661,-0.4339172857301253,-0.4584765495065971,-0.1570018849096352,0.0
2020-01-27,1.0,-0.47215074292354936,-0.24528928363908029,-0.43557178827370574,-0.45557676876677455,-0.15835201018234138,0.0
2020-01-28,1.0,-0.4809598040307315,-0.2357755261106781,-0.43135508295290054,-0.46701369557955685,-0.16855027279812937,0.0
2020-01-29,1.0,-0.46833754758398405,-0.2405735085720637,-0.43830059184750897,-0.4638361721637167,-0.16755119619883854,0.0
2020-01-30,1.0,-0.5024847841867217,-0.24208498520297056,-0.42118487911106145,-0.4959796750237311,-0.13018594003015244,0.0
2020-01-31,1.0,-0.5080384057161996,-0.24371999553421905,-0.41386624986044435,-0.49411075136764543,-0.1313497822931785,0.0
