Date,EPRT,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-19,1.0,-0.0,-0.30639986124962065,-0.0,-0.4713393747561028,-0.39023544205003685,0.0
2019-02-20,1.0,-0.0,-0.3062649035334923,-0.0,-0.4730327335790158,-0.38851073054411445,0.0
2019-02-21,1.0,-0.0,-0.29970855626604026,-0.0,-0.48125190308408367,-0.39399277915524816,0.0
2019-02-22,1.0,-0.0,-0.2997999304105776,-0.0,-0.4813848295059151,-0.39346294363256784,0.0
2019-02-25,1.0,-0.0,-0.3071065989847716,-0.0,-0.48669700682653594,-0.3942105723787852,0.0
2019-02-26,1.0,-0.0,-0.3078656602122306,-0.0,-0.48747401815993874,-0.39260474783940486,0.0
2019-02-27,1.0,-0.0,-0.30222630853089905,-0.0,-0.4918894069744533,-0.3949782185153565,0.0
2019-02-28,1.0,-0.0,-0.3009985109923798,-0.0,-0.4912630288166769,-0.3974555487431024,0.0
2019-03-01,1.0,-0.0,-0.3031366527747313,-0.0,-0.5027418293485413,-0.38758499670980473,0.0
2019-03-04,1.0,-0.0,-0.2789518362970244,-0.0,-0.5188991153605576,-0.4360646948440712,0.0
2019-03-05,1.0,-0.0,-0.27211781268855173,-0.0,-0.5302688328230798,-0.4322778162640506,0.0
2019-03-06,1.0,-0.0,-0.2694830635592272,-0.0,-0.5406899948507847,-0.4286162043566839,0.0
2019-03-07,1.0,-0.0,-0.2618494008227508,-0.0,-0.5482248256125917,-0.4256617778572706,0.0
2019-03-08,1.0,-0.0,-0.26124718122753354,-0.0,-0.5472325794279845,-0.4241889749715332,0.0
2019-03-11,1.0,-0.0,-0.2625279142474319,-0.0,-0.5455113890129523,-0.4250781598928093,0.0
2019-03-12,1.0,-0.0,-0.2633826751934171,-0.0,-0.5468673136264032,-0.42578596663834356,0.0
2019-03-13,1.0,-0.0,-0.26966670407361687,-0.0,-0.5451688923802043,-0.4296038603972618,0.0
2019-03-14,1.0,-0.0,-0.2620819136360476,-0.0,-0.5915675775908027,-0.4642004496673852,0.0
2019-03-15,1.0,-0.0,-0.2564784983891301,-0.0,-0.6108698697296541,-0.4672456459821637,0.0
2019-03-18,1.0,-0.0,-0.25832419441398136,-0.0,-0.6105887019623399,-0.46442821476071583,0.0
2019-03-19,1.0,-0.0,-0.2646803315254396,-0.0,-0.6107158789415604,-0.47251766805193585,0.0
2019-03-20,1.0,-0.0,-0.26579009157079125,-0.0,-0.6104015027001644,-0.4717774125381545,0.0
2019-03-21,1.0,-0.0,-0.2653171326702946,-0.0,-0.626196284481141,-0.45414242822293116,0.0
2019-03-22,1.0,-0.0,-0.2672008319742844,-0.0,-0.6274551513862298,-0.46890732468269164,0.0
2019-03-25,1.0,-0.0,-0.22712460438401125,-0.0,-0.6460438401125308,-0.4712225999296683,0.0
2019-03-26,1.0,-0.0,-0.24693450069429734,-0.0,-0.6528983972322248,-0.4537174327472993,0.0
2019-03-27,1.0,-0.0,-0.24581294693263078,-0.0,-0.6536507339104254,-0.45281332329695145,0.0
2019-03-28,1.0,-0.0,-0.24654377880184333,-0.0,-0.652379384933697,-0.4522477193642434,0.0
2019-03-29,1.0,-0.0,-0.24994118477391428,-0.0,-0.6522843833811698,-0.45035994918364464,0.0
2019-04-01,1.0,-0.0,-0.2581957574902404,-0.0,-0.6555430130285499,-0.43796152579841024,0.0
2019-04-02,1.0,-0.0,-0.26453910679975634,-0.0,-0.6617226674164675,-0.41688926378930596,0.0
2019-04-03,1.0,-0.0,-0.26475208064705197,-0.0,-0.6589379908568749,-0.4207009729222834,0.0
2019-04-04,1.0,-0.0,-0.2591106495468278,-0.0,-0.6936131042296073,-0.4075481495468278,0.0
2019-04-05,1.0,-0.0,-0.25823047695466456,-0.0,-0.6979680456894721,-0.40379486937436576,0.0
2019-04-08,1.0,-0.0,-0.24757694671646732,-0.0,-0.7085007801049595,-0.4078766961372985,0.0
2019-04-09,1.0,-0.0,-0.2475591593579348,-0.0,-0.708375688518002,-0.4080754592090021,0.0
2019-04-10,1.0,-0.0,-0.2362182368807079,-0.0,-0.7319121752709034,-0.3978375053234278,0.0
2019-04-11,1.0,-0.0,-0.24209554034530945,-0.0,-0.7278497501361817,-0.3984084503706511,0.0
2019-04-12,1.0,-0.0,-0.24229074889867844,-0.0,-0.7275827767514566,-0.3985599924210128,0.0
2019-04-15,1.0,-0.0,-0.2429873357793822,-0.0,-0.724109362054681,-0.40004734288081434,0.0
2019-04-16,1.0,-0.0,-0.24527763917599257,-0.0,-0.7243566897141636,-0.40639627438401404,0.0
2019-04-17,1.0,-0.0,-0.24921551249191556,-0.0,-0.7645100246724316,-0.38165616691019716,0.0
2019-04-18,1.0,-0.0,-0.24793408225346714,-0.0,-0.7644254952214423,-0.3829073750269467,0.0
2019-04-22,1.0,-0.0,-0.24452169743466792,-0.0,-0.7670582594102133,-0.3859266362982498,0.0
2019-04-23,1.0,-0.0,-0.24507170607703008,-0.0,-0.7648568276655954,-0.3882680224471197,0.0
2019-04-24,1.0,-0.0,-0.2582092793205781,-0.0,-0.7706709773928149,-0.38383960238376724,0.0
2019-04-25,1.0,-0.0,-0.2785046276106023,-0.0,-0.776566361389737,-0.3677617870814557,0.0
2019-04-26,1.0,-0.0,-0.27696369317218494,-0.0,-0.7819168261196018,-0.3631651609465449,0.0
2019-04-29,1.0,-0.0,-0.28506260312530335,-0.0,-0.7857905464427837,-0.3556488401436475,0.0
2019-04-30,1.0,-0.0,-0.2836240991920025,-0.0,-0.7878582000824982,-0.354960813335598,0.0
2019-05-01,1.0,-0.0,-0.273851246105919,-0.0,-0.7917640186915887,-0.3681853582554517,0.0
2019-05-02,1.0,-0.0,-0.2712639206341487,-0.0,-0.7905218110197928,-0.3697660847152653,0.0
2019-05-03,1.0,-0.0,-0.2651913526146655,-0.0,-0.7960122699386503,-0.3733080144123089,0.0
2019-05-06,1.0,-0.0,-0.2577978751853743,-0.0,-0.7990664430019694,-0.37427369751780815,0.0
2019-05-07,1.0,-0.0,-0.25893703370677296,-0.0,-0.799363289508858,-0.37189239106661154,0.0
2019-05-08,1.0,-0.0,-0.26398177764854125,-0.0,-0.7765823398274692,-0.38262091693321704,0.0
2019-05-09,1.0,-0.0,-0.26642949389605014,-0.0,-0.7739954677258217,-0.3962815858086211,0.0
2019-05-10,1.0,-0.0,-0.2683605477044739,-0.0,-0.7805765053330403,-0.39178931439310727,0.0
2019-05-13,1.0,-0.0,-0.26883661916845597,-0.0,-0.7784745266445442,-0.392665430411868,0.0
2019-05-14,1.0,-0.0,-0.2603083455979926,-0.0,-0.768041112746399,-0.3843704007527686,0.0
2019-05-15,1.0,-0.0,-0.262977793957044,-0.0,-0.7690571532580998,-0.39483072442664724,0.0
2019-05-16,1.0,-0.0,-0.2645566855173418,-0.0,-0.7651998737894712,-0.39736899589815783,0.0
2019-05-17,1.0,-0.0,-0.26427861179152623,-0.0,-0.7598525452913928,-0.4011107607983897,0.0
2019-05-20,1.0,-0.0,-0.25253407051748383,-0.0,-0.7673990009214802,-0.40501479218196806,0.0
2019-05-21,1.0,-0.0,-0.252328514601727,-0.0,-0.768191520325992,-0.4050160085378869,0.0
2019-05-22,1.0,-0.0,-0.2537284430410493,-0.0,-0.7682535827058538,-0.40697109545785765,0.0
2019-05-23,1.0,-0.0,-0.2508424085559408,-0.0,-0.8110563070762319,-0.37988963227035205,0.0
2019-05-24,1.0,-0.0,-0.24932249322493225,-0.0,-0.8141312043751068,-0.3780365731585244,0.0
