Date,IWF,IWM,JACK,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3466783344271859,-0.9725807627798438,1.0,-0.0,-0.6723182381681616,-0.6545613651279808,0.0
2018-09-25,-0.35441466442707953,-0.97254071423355,1.0,-0.0,-0.6725699262396845,-0.651975461914847,0.0
2018-09-26,-0.35526748219828375,-0.9733430710242834,1.0,-0.0,-0.672557969691437,-0.6504655833485485,0.0
2018-09-27,-0.36156768208050255,-0.9640952589670538,1.0,-0.0,-0.6749214697932646,-0.6520198699685879,0.0
2018-09-28,-0.35846842221081193,-0.9742536492334775,1.0,-0.0,-0.6788307782586371,-0.655981808846182,0.0
2018-10-01,-0.3590919093376366,-0.9734834592532824,1.0,-0.0,-0.6790875082520355,-0.6559084574194968,0.0
2018-10-02,-0.35933086320114455,-0.9750907957005025,1.0,-0.0,-0.6786015627866027,-0.6554899299313989,0.0
2018-10-03,-0.3589997433359,-0.9714736185971475,1.0,-0.0,-0.679169874967917,-0.6569867634656987,0.0
2018-10-04,-0.35877386196769456,-0.9745227606461087,1.0,-0.0,-0.6784875183553599,-0.6592878120411161,0.0
2018-10-05,-0.3371731577985006,-0.9652221612726275,1.0,-0.0,-0.6852806728835252,-0.669263119400256,0.0
2018-10-08,-0.33329683565093615,-0.9607649914230445,1.0,-0.0,-0.6879448155042154,-0.6677615971385817,0.0
2018-10-09,-0.3289387188664086,-0.9611423562924549,1.0,-0.0,-0.6902344605945512,-0.6717186472865386,0.0
2018-10-10,-0.3310936644148257,-0.960124155559613,1.0,-0.0,-0.6917290487493153,-0.6687237538798613,0.0
2018-10-11,-0.2500529922984526,-0.9464071221649122,1.0,-0.0,-0.6618384794743165,-0.6744859747050096,0.0
2018-10-12,-0.2543441167252847,-0.9388863739248531,1.0,-0.0,-0.6395514851829927,-0.6494759201866491,0.0
2018-10-15,-0.2311191360811139,-0.9583318865238376,1.0,-0.0,-0.634049793395604,-0.6488419736796416,0.0
2018-10-16,-0.22899597278155812,-0.9614984029995832,1.0,-0.0,-0.6332453825857519,-0.6480349951395639,0.0
2018-10-17,-0.2053528810092056,-0.9191953631094443,1.0,-0.0,-0.6277190589839754,-0.6572110467098533,0.0
2018-10-18,-0.20559345156889494,-0.9204297407912687,1.0,-0.0,-0.6272510231923601,-0.6574010914051841,0.0
2018-10-19,-0.19300088081848363,-0.9141879531133545,1.0,-0.0,-0.6256521444542313,-0.6549224202181719,0.0
2018-10-22,-0.1959043439806783,-0.9267272170629656,1.0,-0.0,-0.6247576283294213,-0.6543184678708711,0.0
2018-10-23,-0.1979255228702602,-0.9266111205577283,1.0,-0.0,-0.6229552797143344,-0.6532902567590546,0.0
2018-10-24,-0.19614246351668538,-0.928768241657312,1.0,-0.0,-0.6233629281899513,-0.6534340238799877,0.0
2018-10-25,-0.15727491035889338,-0.8804236981479654,1.0,-0.0,-0.6314681403993553,-0.6204151452350406,0.0
2018-10-26,-0.13920426819350012,-0.8661960376069489,1.0,-0.0,-0.6369432967890952,-0.6108526627411431,0.0
2018-10-29,-0.10029663810151615,-0.9117996044825313,1.0,-0.0,-0.6385629531970995,-0.6453526697429136,0.0
2018-10-30,-0.11147107438016529,-0.914413223140496,1.0,-0.0,-0.6407603305785124,-0.6391074380165289,0.0
2018-10-31,-0.11218868546923966,-0.9101105063499918,1.0,-0.0,-0.6391225465940954,-0.637275276265875,0.0
2018-11-01,-0.09339572897442658,-0.9252570524650673,1.0,-0.0,-0.6388412865805431,-0.6380503559187978,0.0
2018-11-02,-0.10073074024314317,-0.8919946259461939,1.0,-0.0,-0.6507848084674116,-0.6333519022184356,0.0
2018-11-05,-0.09559257558864039,-0.908309831442251,1.0,-0.0,-0.653243260969371,-0.6221879714042107,0.0
2018-11-06,-0.09759695767629413,-0.9091564764121561,1.0,-0.0,-0.6516080385535848,-0.6199718060518637,0.0
2018-11-07,-0.09689465408805031,-0.9091653563941301,1.0,-0.0,-0.6501899895178197,-0.6194640985324947,0.0
2018-11-08,-0.06882788161993769,-0.9107281931464175,1.0,-0.0,-0.6404465212876428,-0.6250649013499482,0.0
2018-11-09,-0.06818771907049202,-0.9107166039205505,1.0,-0.0,-0.6416655848370765,-0.6249188627807347,0.0
