Date,CRS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4191546828235638,-0.8375793853565954,-0.17917366231111762,-0.6100080297831959,-0.6039856923863055,0.0
2018-09-25,1.0,-0.4193277617605197,-0.8372322178022701,-0.17959198569395277,-0.6097222729097479,-0.6035911098135105,0.0
2018-09-26,1.0,-0.4224862888482632,-0.8418281535648994,-0.18446069469835466,-0.6100548446069469,-0.5974771480804387,0.0
2018-09-27,1.0,-0.42199619493633833,-0.8443582613786038,-0.18399678033074784,-0.610456607639397,-0.5979072149860969,0.0
2018-09-28,1.0,-0.4221214006073689,-0.8440964472576927,-0.1842962204090593,-0.6104057663459076,-0.5978925030185503,0.0
2018-10-01,1.0,-0.4232233038132182,-0.8430432555075752,-0.18422015662738783,-0.6111029788479836,-0.5979287125814243,0.0
2018-10-02,1.0,-0.42335419182493506,-0.8421707468803747,-0.18483551066710577,-0.611044022395433,-0.5979800197606763,0.0
2018-10-03,1.0,-0.4243680522434604,-0.8275305426129069,-0.18171478886157685,-0.6216751660124005,-0.6134937814139488,0.0
2018-10-04,1.0,-0.428503301540719,-0.8208730741012472,-0.18239178283198826,-0.6271093176815847,-0.6094644167278064,0.0
2018-10-05,1.0,-0.41902811802990964,-0.8163735419942227,-0.17247431350323594,-0.6324911331310102,-0.6160737138469413,0.0
2018-10-08,1.0,-0.41723860981308414,-0.8134126752336449,-0.16888142523364488,-0.6355870327102804,-0.615581191588785,0.0
2018-10-09,1.0,-0.4144763297386218,-0.8158289161030889,-0.15993419850118806,-0.6417473953573387,-0.6236519831840613,0.0
2018-10-10,1.0,-0.4141650517386376,-0.8166660572598632,-0.15912830450839155,-0.641924750447914,-0.6245566565505136,0.0
2018-10-11,1.0,-0.38464849354375896,-0.8142037302725968,-0.1210545193687231,-0.6341463414634146,-0.6327833572453372,0.0
2018-10-12,1.0,-0.38910201761864166,-0.8092142654163115,-0.11729184427394147,-0.6200269963057687,-0.6164748508098892,0.0
2018-10-15,1.0,-0.3687184590233847,-0.8495984078470395,-0.08600469116497263,-0.6238894022318573,-0.6257018977894662,0.0
2018-10-16,1.0,-0.36732300255899913,-0.8553810065396644,-0.08171026442991186,-0.6241114586295138,-0.6256042081319306,0.0
2018-10-17,1.0,-0.3547617376658011,-0.826233419889115,-0.06989964208014597,-0.6233419889115025,-0.6347813881675907,0.0
