Date,IWF,IWM,KREF,MTUM,SPY,VLUE,VXX
2018-09-24,-0.17834109638122536,-0.4418891078466499,1.0,-0.0,-0.33444553923324977,-0.28466499462558226,0.0
2018-09-25,-0.1778121289513184,-0.4423684387391626,1.0,-0.0,-0.33481192732486503,-0.28530143154781906,0.0
2018-09-26,-0.1765378920446897,-0.4420738547135101,1.0,-0.0,-0.3357787050747072,-0.28909229595728453,0.0
2018-09-27,-0.17744792484136415,-0.4399650216372565,1.0,-0.0,-0.3357698603107693,-0.2890199331823583,0.0
2018-09-28,-0.18023948060117267,-0.43942219126996607,1.0,-0.0,-0.3369128119875092,-0.28993777098825063,0.0
2018-10-01,-0.17985821987172274,-0.44219646674918417,1.0,-0.0,-0.33732418138854503,-0.2910993586137054,0.0
2018-10-02,-0.1795847595027923,-0.4451900558457935,1.0,-0.0,-0.33662853539902726,-0.29044316339398313,0.0
2018-10-03,-0.17961766229087386,-0.4445520253991128,1.0,-0.0,-0.33676341446938823,-0.29076129787665217,0.0
2018-10-04,-0.17963330029732408,-0.4450400937021353,1.0,-0.0,-0.33660690152265965,-0.2911748806198756,0.0
2018-10-05,-0.17370133512846406,-0.4420284976999888,1.0,-0.0,-0.3367440816784472,-0.29143947043644114,0.0
2018-10-08,-0.17225620001344177,-0.44021775656966194,1.0,-0.0,-0.3372314447655532,-0.2905885252145081,0.0
2018-10-09,-0.16910973641742874,-0.44024565178411335,1.0,-0.0,-0.33873498296575216,-0.2932356105433028,0.0
2018-10-10,-0.16971367119236455,-0.43968723394721515,1.0,-0.0,-0.33904646681901685,-0.29199713223103463,0.0
2018-10-11,-0.13807577115624248,-0.4311260739348097,1.0,-0.0,-0.3256891764860197,-0.29123581750213146,0.0
2018-10-12,-0.1387789528320249,-0.4266744523021691,1.0,-0.0,-0.31668072406410175,-0.2805640260386254,0.0
2018-10-15,-0.13020777147295517,-0.4331269283048178,1.0,-0.0,-0.31441886556344256,-0.2797902867375779,0.0
2018-10-16,-0.1266675301126797,-0.439342917584078,1.0,-0.0,-0.3136251780857402,-0.27897940681258904,0.0
2018-10-17,-0.1203909658653435,-0.42730344768585854,1.0,-0.0,-0.3110402942937805,-0.28000684404140647,0.0
2018-10-18,-0.11954776128990814,-0.4258795314875485,1.0,-0.0,-0.31466135628787395,-0.28117170938523806,0.0
2018-10-19,-0.11191443213473111,-0.4201841495311204,1.0,-0.0,-0.3147340889276373,-0.2796265974865503,0.0
2018-10-22,-0.11185525364629842,-0.41582684866266956,1.0,-0.0,-0.3168346302674661,-0.2816047965301697,0.0
2018-10-23,-0.11177258520613186,-0.41583568983479685,1.0,-0.0,-0.3169051517019964,-0.28163204558501476,0.0
2018-10-24,-0.11069585713375661,-0.41411674771197415,1.0,-0.0,-0.31681990954069605,-0.28182532435818486,0.0
2018-10-25,-0.09169546592719824,-0.3894004925190903,1.0,-0.0,-0.32322082652153217,-0.26511185149928607,0.0
2018-10-26,-0.08499095840867993,-0.38367170803879663,1.0,-0.0,-0.3249630116718724,-0.26128144007890847,0.0
2018-10-29,-0.08150669482663167,-0.3842809981750702,1.0,-0.0,-0.3238532674444832,-0.2608419282741085,0.0
2018-10-30,-0.0729521309323598,-0.38490093933303254,1.0,-0.0,-0.3247261987776365,-0.26836621682595674,0.0
2018-10-31,-0.07590187001651814,-0.3736566266288721,1.0,-0.0,-0.32387788812529317,-0.26584007993963743,0.0
2018-11-01,-0.07153335234913004,-0.3767165152194287,1.0,-0.0,-0.3234383276965079,-0.26569821930646675,0.0
2018-11-02,-0.07807862747489532,-0.35329511729072655,1.0,-0.0,-0.3366264178558361,-0.26478838882790584,0.0
2018-11-05,-0.07547208163099377,-0.3607333780515072,1.0,-0.0,-0.3374596011951948,-0.2589792060491493,0.0
2018-11-06,-0.07854297097324986,-0.3632002601837548,1.0,-0.0,-0.33527116025693143,-0.25565086592405883,0.0
2018-11-07,-0.07884670166442843,-0.3635901192365604,1.0,-0.0,-0.33616164082529604,-0.25615512961380377,0.0
2018-11-08,-0.07132159481886258,-0.3629427241449099,1.0,-0.0,-0.3329083181542198,-0.256688929366525,0.0
2018-11-09,-0.07103681366497339,-0.36291514035336264,1.0,-0.0,-0.33328611038027967,-0.2566027807573213,0.0
2018-11-12,-0.07141267175263574,-0.34933322540826034,1.0,-0.0,-0.3454479227796103,-0.2574012991480665,0.0
2018-11-13,-0.061441741820153856,-0.3466366722236729,1.0,-0.0,-0.34607427641753874,-0.2544037600176753,0.0
2018-11-14,-0.06251632739183731,-0.34620099270542365,1.0,-0.0,-0.346562707232281,-0.25424512187770026,0.0
2018-11-15,-0.06206716582692655,-0.3461468976453821,1.0,-0.0,-0.34709035068350164,-0.2520224019912881,0.0
