Date,IWF,IWM,MTUM,SITE,SPY,VLUE,VXX
2018-09-24,-0.5208117787504973,-1.0682451253481895,-0.06967767608436132,1.0,-0.6578989255869478,-0.662634301631516,0.0
2018-09-25,-0.5207529149588125,-1.0682876357992757,-0.06968044888375981,1.0,-0.6580046957698277,-0.6627800549166302,0.0
2018-09-26,-0.5274443911025765,-1.079052648423748,-0.07777244359097456,1.0,-0.6613058089294287,-0.6550248039686349,0.0
2018-09-27,-0.5268422538619772,-1.1013995885935546,-0.0741741620618723,1.0,-0.6687371435485823,-0.6622433751462106,0.0
2018-09-28,-0.5238309905331748,-1.1339289373386336,-0.07593951067579198,1.0,-0.68587352977337,-0.6785787467726733,0.0
2018-10-01,-0.5256468079872074,-1.132559760547788,-0.07581286645618926,1.0,-0.6872770511296076,-0.6788716224527451,0.0
2018-10-02,-0.5260665458738264,-1.1598583429418547,-0.06926371273266349,1.0,-0.6860484269477846,-0.6767007082852907,0.0
2018-10-03,-0.5258453807817456,-1.1476996581407801,-0.06738333539272622,1.0,-0.6918324477943902,-0.6860249598418386,0.0
2018-10-04,-0.5413867462884632,-1.1396699013021483,-0.06867379945260015,1.0,-0.7146056232893755,-0.6827154350170026,0.0
2018-10-05,-0.5269510582010583,-1.1342179232804235,-0.05133928571428572,1.0,-0.7253637566137566,-0.6957258597883598,0.0
2018-10-08,-0.5249834819953749,-1.1311116617112653,-0.04538321770730096,1.0,-0.7318714899240172,-0.6961513049223654,0.0
2018-10-09,-0.5253355358249019,-1.1314887466446417,-0.04571546562048317,1.0,-0.7315713400784638,-0.6955606029320669,0.0
2018-10-10,-0.5272674127275764,-1.1513278770669786,-0.03795724068815768,1.0,-0.7420661433105061,-0.7171371304493068,0.0
2018-10-11,-0.4544308430599049,-1.1528732359998375,-0.0,1.0,-0.7222335190532352,-0.7373215665541502,0.0
2018-10-12,-0.4655463536222562,-1.1490311168288174,-0.0,1.0,-0.6969928439334244,-0.7087320093270082,0.0
2018-10-15,-0.5051495831289848,-1.1382622200425043,-0.0,1.0,-0.7206964198136341,-0.7228216445970246,0.0
2018-10-16,-0.4917188529993408,-1.1772412656559,-0.0,1.0,-0.7247445616348056,-0.726268951878708,0.0
2018-10-17,-0.46213568554123813,-1.1279216292020648,-0.0,1.0,-0.7263119385390838,-0.7485061582862484,0.0
2018-10-18,-0.4638407036403616,-1.1330727257920026,-0.0,1.0,-0.7252219236094145,-0.7498574802508348,0.0
2018-10-19,-0.4450103067782224,-1.120973283214098,-0.0,1.0,-0.7268097489996362,-0.7490804737076109,0.0
2018-10-22,-0.4504155801825293,-1.147408735332464,-0.0,1.0,-0.7268986310299871,-0.7496333116036505,0.0
2018-10-23,-0.4547750977835724,-1.1477346805736637,-0.0,1.0,-0.723761408083442,-0.7480443285528032,0.0
2018-10-24,-0.4537146587246543,-1.142507445636653,-0.0,1.0,-0.7280404716249848,-0.7555383297295092,0.0
