Date,CHRS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.491619557671328,-2.604185262322721,-0.7013785579688585,-2.063572349499157,-2.0569275017355944,0.0
2018-09-25,1.0,-1.4964785239559568,-2.6013292332109907,-0.708461462156532,-2.0612042456105546,-2.052078166848527,0.0
2018-09-26,1.0,-1.5024356297842727,-2.610597474898101,-0.7148821950492097,-2.064817576299831,-2.0485137687642907,0.0
2018-09-27,1.0,-1.502186009538951,-2.607909379968204,-0.7150238473767886,-2.06379173290938,-2.04739666136725,0.0
2018-09-28,1.0,-1.501887917329094,-2.608207472178061,-0.7150238473767886,-2.06379173290938,-2.04739666136725,0.0
2018-10-01,1.0,-1.501887917329094,-2.608207472178061,-0.7153219395866455,-2.0635930047694755,-2.04739666136725,0.0
2018-10-02,1.0,-1.502186009538951,-2.6078100158982513,-0.7167130365659777,-2.062897456279809,-2.046800476947536,0.0
2018-10-03,1.0,-1.5005460140970912,-2.5931698600218405,-0.7149806413183759,-2.0658195175220886,-2.0530130050630397,0.0
2018-10-04,1.0,-1.5050104177001684,-2.5825974799087206,-0.7162416906439131,-2.071038793531104,-2.046929258855045,0.0
2018-10-05,1.0,-1.48121487032837,-2.5702593432600334,-0.6874075534957105,-2.0717877921309538,-2.0502908983334978,0.0
2018-10-08,1.0,-1.4739583333333335,-2.5598466981132075,-0.6790487421383647,-2.0699685534591192,-2.0442216981132075,0.0
2018-10-09,1.0,-1.486425116003554,-2.5730081942936125,-0.6921709941751407,-2.0755257182347715,-2.045512883798993,0.0
2018-10-10,1.0,-1.486465125469275,-2.5765658960679705,-0.6903773957715866,-2.0772574590001973,-2.0488045840742934,0.0
2018-10-11,1.0,-1.352468427095293,-2.578645235361653,-0.49779946421737464,-2.0475507079984694,-2.090987370838117,0.0
2018-10-12,1.0,-1.3740037950664137,-2.575047438330171,-0.48292220113851997,-2.0106261859582544,-2.045161290322581,0.0
2018-10-15,1.0,-1.3356358819076457,-2.636449659348978,-0.42524602573807724,-2.0099356548069642,-2.0552611657834974,0.0
2018-10-16,1.0,-1.3343738176314794,-2.638006053726826,-0.42338251986379116,-2.0089860007567157,-2.054294362466894,0.0
2018-10-17,1.0,-1.2876915931258708,-2.551230840687413,-0.3668369716674408,-2.004923362749652,-2.0785880167208544,0.0
2018-10-18,1.0,-1.2898186889818688,-2.556020455602045,-0.36550441655044164,-2.0057647605764757,-2.0807996280799625,0.0
2018-10-19,1.0,-1.2590988666728093,-2.53146595411407,-0.33041555330323413,-2.0111489910623788,-2.0820049755827883,0.0
2018-10-22,1.0,-1.2596924210332443,-2.526291555391841,-0.33050925499585593,-2.010866562298554,-2.081591306750161,0.0
2018-10-23,1.0,-1.2596924210332443,-2.526199465880836,-0.3306013445068607,-2.010958651809559,-2.081591306750161,0.0
2018-10-24,1.0,-1.2614138438880707,-2.5211708394698085,-0.3159977908689249,-2.0164764359351985,-2.089653902798233,0.0
2018-10-25,1.0,-1.1612677289441429,-2.379092978462616,-0.26939240063036246,-1.9648923130800209,-1.980476273857468,0.0
2018-10-26,1.0,-1.1263339070567986,-2.34104991394148,-0.23287435456110156,-1.9549053356282273,-1.950774526678141,0.0
