Date,IWF,IWM,MTUM,SPY,TCDA,VLUE,VXX
2019-02-25,-0.0,-1.965084745762712,-0.0,-3.0164406779661017,1.0,-2.4930508474576274,0.0
2019-02-26,-0.0,-1.9684612123781262,-0.0,-3.0198389147944047,1.0,-2.4898685883849088,0.0
2019-02-27,-0.0,-1.948973507113042,-0.0,-3.0541783797597755,1.0,-2.5154612829031433,0.0
2019-02-28,-0.0,-1.9536666382761263,-0.0,-3.0551912102887315,1.0,-2.5083894046503703,0.0
2019-03-01,-0.0,-1.956481008346108,-0.0,-3.065406234031681,1.0,-2.494634644864589,0.0
2019-03-04,-0.0,-1.9448838989538149,-0.0,-3.0619205579654674,1.0,-2.49876669218338,0.0
2019-03-05,-0.0,-1.927701609469471,-0.0,-3.092565783871242,1.0,-2.4955292514689598,0.0
2019-03-06,-0.0,-1.924863387978142,-0.0,-3.117657103825137,1.0,-2.4956454918032787,0.0
2019-03-07,-0.0,-1.861755459257371,-0.0,-3.160931260090067,1.0,-2.474211912651882,0.0
2019-03-08,-0.0,-1.85483187939358,-0.0,-3.152367239773016,1.0,-2.462268146015076,0.0
2019-03-11,-0.0,-1.8533378573246246,-0.0,-3.162609211977267,1.0,-2.466451777080329,0.0
2019-03-12,-0.0,-1.8148832521417773,-0.0,-3.1427011590794556,1.0,-2.4415420796237193,0.0
2019-03-13,-0.0,-1.811710193765796,-0.0,-3.1609098567818026,1.0,-2.451979780960404,0.0
2019-03-14,-0.0,-1.8138615526957693,-0.0,-3.151652788291698,1.0,-2.4456220035326774,0.0
2019-03-15,-0.0,-1.8129835183316516,-0.0,-3.1516986209216284,1.0,-2.4443323242515977,0.0
2019-03-18,-0.0,-1.8187851802066706,-0.0,-3.148365958161808,1.0,-2.4340922456523564,0.0
2019-03-19,-0.0,-1.8208189691415118,-0.0,-3.1505087025981675,1.0,-2.4370638190532246,0.0
2019-03-20,-0.0,-1.8239004288958034,-0.0,-3.1501135312421162,1.0,-2.4357076780758558,0.0
2019-03-21,-0.0,-1.8202115158636898,-0.0,-3.1841530971965755,1.0,-2.389205976162498,0.0
2019-03-22,-0.0,-1.8126098970108013,-0.0,-3.2079042116721093,1.0,-2.3525914761785147,0.0
2019-03-25,-0.0,-1.6238727660272176,-0.0,-3.2418429250696836,1.0,-2.332349565502541,0.0
2019-03-26,-0.0,-1.606957809030348,-0.0,-3.255942100501686,1.0,-2.3615428900402993,0.0
2019-03-27,-0.0,-1.597750225798506,-0.0,-3.258724033171853,1.0,-2.3542983824616144,0.0
2019-03-28,-0.0,-1.6005249774423753,-0.0,-3.2518251168895085,1.0,-2.3504224427856615,0.0
2019-03-29,-1.8193272171253823,-2.385076452599388,-1.7974311926605502,-2.6264220183486238,1.0,-2.6041590214067276,0.0
2019-04-01,-1.8132633121641426,-2.3847093307278944,-1.793600390815828,-2.623473375671715,1.0,-2.5979482169027848,0.0
2019-04-02,-1.8508487269096356,-2.4387169246130806,-1.86245631552671,-2.6887169246130806,1.0,-2.6405391912131804,0.0
2019-04-03,-1.8550362409397652,-2.441264683829043,-1.8635341164708825,-2.6943264183954017,1.0,-2.642589352661835,0.0
2019-04-04,-1.85421611492817,-2.4391005621486572,-1.8648344784509683,-2.6941911305434103,1.0,-2.6397251717676453,0.0
2019-04-05,-1.8553584811391455,-2.4371721209093176,-1.8673494878840866,-2.6936047964026977,1.0,-2.637147139645266,0.0
2019-04-08,-1.8562507805670039,-2.4319970026227047,-1.8692394155114274,-2.6946421880854254,1.0,-2.637067565879855,0.0
2019-04-09,-1.8562507805670039,-2.4321218933433246,-1.869364306232047,-2.6945172973648055,1.0,-2.6368177844386165,0.0
2019-04-10,-1.8506048135677766,-2.4268612046389824,-1.8655692729766806,-2.6939768050879165,1.0,-2.633246040653448,0.0
2019-04-11,-1.8565363965538768,-2.417655137969784,-1.873142714446248,-2.701960294668498,1.0,-2.6365338993632164,0.0
2019-04-12,-1.8606834397296281,-2.424083114282138,-1.8789585680310426,-2.709976217298786,1.0,-2.6435098260107646,0.0
2019-04-15,-1.8586262980107593,-2.4234955586137867,-1.8787689228074564,-2.7071187288877767,1.0,-2.642937570374077,0.0
2019-04-16,-1.8587690768076057,-2.422817112834626,-1.8791593695271454,-2.706529897423067,1.0,-2.6421065799349512,0.0
2019-04-17,-1.8589133700550826,-2.4253880821231846,-1.8779419128693038,-2.709689534301452,1.0,-2.6468452679018526,0.0
2019-04-18,-1.8590065228299046,-2.4323883592574007,-1.8800802809834423,-2.718514801806322,1.0,-2.6539136979427997,0.0
2019-04-22,-1.859473023839398,-2.434378920953576,-1.8804265997490592,-2.7186951066499376,1.0,-2.6540777917189464,0.0
