Date,ENS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27915267730435084,-0.9009726212315253,-0.0713370945969333,-0.5788653906060711,-0.6309923505589976,0.0
2018-09-25,1.0,-0.2821489148118661,-0.8990273114334176,-0.07566893973484719,-0.5770362421682993,-0.6276091245802902,0.0
2018-09-26,1.0,-0.28272233184477447,-0.8997472911690378,-0.07692041402707099,-0.5767300169626475,-0.6256447536954339,0.0
2018-09-27,1.0,-0.2877030162412993,-0.8904664611974926,-0.07999445925823319,-0.5782802922741281,-0.6265193752813657,0.0
2018-09-28,1.0,-0.2876337569692142,-0.8903625722893652,-0.08037538525470098,-0.5781764033660005,-0.6264154863732382,0.0
2018-10-01,1.0,-0.28815320150985213,-0.8896353499324722,-0.08047927416282855,-0.5783841811822558,-0.6263115974651106,0.0
2018-10-02,1.0,-0.28840092820281926,-0.8902434800678835,-0.0806982301804454,-0.5780833304471306,-0.6259827520520903,0.0
2018-10-03,1.0,-0.28812796454661915,-0.8825606758300732,-0.07966623965654537,-0.5809645812415608,-0.6309247654329537,0.0
2018-10-04,1.0,-0.28865658209006895,-0.8812350721727993,-0.08013430717574165,-0.581293918100315,-0.6302052684412752,0.0
2018-10-05,1.0,-0.27784100707018455,-0.8778065183652355,-0.06956371788239352,-0.5863079841351958,-0.6373512674599069,0.0
2018-10-08,1.0,-0.2777164539496378,-0.8785443256295276,-0.06916177992411177,-0.5864091065884789,-0.6376336667816488,0.0
2018-10-09,1.0,-0.2750518313752592,-0.8813407049067036,-0.060193503800967524,-0.5928472702142363,-0.6460262612301313,0.0
2018-10-10,1.0,-0.2765185543500795,-0.8801050376615299,-0.06188238546057632,-0.5937737544053624,-0.6429065026604934,0.0
2018-10-11,1.0,-0.2458505521306145,-0.8804959013616964,-0.02540478287378904,-0.5854955626312581,-0.6500914572183457,0.0
2018-10-12,1.0,-0.2470249069759646,-0.877308839797526,-0.02041500452549361,-0.5718212597633334,-0.6356474808085548,0.0
2018-10-15,1.0,-0.22024109331452937,-0.9200496961149727,-0.0,-0.5733857157247909,-0.6441691011047312,0.0
2018-10-16,1.0,-0.21521198683061213,-0.9291137539474568,-0.0,-0.5722300611435868,-0.6429819256870255,0.0
2018-10-17,1.0,-0.19996683800364784,-0.9029016746808158,-0.0,-0.5669374896368762,-0.6463936328967005,0.0
2018-10-18,1.0,-0.19964851780622056,-0.9025797466675508,-0.0,-0.5672458385834604,-0.6463956495788845,0.0
2018-10-19,1.0,-0.1943744195303171,-0.9076887355711821,-0.0,-0.5674008226084648,-0.6475056388483481,0.0
2018-10-22,1.0,-0.1949456089148315,-0.9059763863093659,-0.0,-0.5678230299814274,-0.647751392942425,0.0
2018-10-23,1.0,-0.19510496468013133,-0.9059795045269126,-0.0,-0.5676383776075349,-0.6476635823964447,0.0
2018-10-24,1.0,-0.19466080820185072,-0.9149856867052792,-0.0,-0.5701684308634578,-0.6488582650955329,0.0
