Date,HEP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.32358713368592623,-0.7480956657685527,-0.0,-0.6004390779363337,-0.6541928616571866,0.0
2018-09-25,1.0,-0.3305468593885299,-0.7478518617198427,-0.0,-0.6004795843602211,-0.6515686405115566,0.0
2018-09-26,1.0,-0.33509415840565293,-0.7727163585222789,-0.0,-0.6279971186498816,-0.6944053785202209,0.0
2018-09-27,1.0,-0.3399170181394232,-0.7645646881322223,-0.0,-0.6293591194321572,-0.6951616774680245,0.0
2018-09-28,1.0,-0.3410509707072786,-0.764114701241682,-0.0,-0.6296220072717293,-0.6952733758660903,0.0
2018-10-01,1.0,-0.342208193234063,-0.7631922047622315,-0.0,-0.6303437864544019,-0.6952926645165718,0.0
2018-10-02,1.0,-0.3476363886216848,-0.7464958087123815,-0.0,-0.6382437817782053,-0.703071320599148,0.0
2018-10-03,1.0,-0.34906926332450194,-0.752365550700203,-0.0,-0.6379933248460241,-0.7013728796063723,0.0
2018-10-04,1.0,-0.3494029799387496,-0.7523485083101064,-0.0,-0.63796841127284,-0.7013523278620832,0.0
2018-10-05,1.0,-0.33452079194355006,-0.7439542371720217,-0.0,-0.6401657874905803,-0.7067205590189766,0.0
2018-10-08,1.0,-0.3314533770850424,-0.7400533223954061,-0.0,-0.6413727098714794,-0.7052228602679793,0.0
2018-10-09,1.0,-0.32989267892542207,-0.7399001982363798,-0.0,-0.6418073689247386,-0.7062341923576457,0.0
2018-10-10,1.0,-0.34409456983858144,-0.7488507137672393,-0.0,-0.6578410701323839,-0.705713594414296,0.0
2018-10-11,1.0,-0.2857669987588474,-0.7294622790245211,-0.0,-0.6321156620039583,-0.7071215323202844,0.0
2018-10-12,1.0,-0.2945600318049298,-0.7220712960508879,-0.0,-0.6114497747150809,-0.6848992843890803,0.0
2018-10-15,1.0,-0.2587493780063029,-0.7613866312821364,-0.0,-0.6075634433571073,-0.6896002653839775,0.0
2018-10-16,1.0,-0.26530069185737093,-0.7558541777541244,-0.0,-0.6116285258116019,-0.6934539648749334,0.0
2018-10-17,1.0,-0.2554108282349845,-0.7357081770936122,-0.0,-0.6053878034339846,-0.6927504769423064,0.0
2018-10-18,1.0,-0.2545071719963153,-0.7340110540860639,-0.0,-0.607974733517568,-0.6933807079878931,0.0
2018-10-19,1.0,-0.24067121543534323,-0.7235806862329013,-0.0,-0.6076197316444125,-0.6928275276680487,0.0
2018-10-22,1.0,-0.24141196447230928,-0.7241705851619644,-0.0,-0.6073667711598746,-0.6924634273772204,0.0
2018-10-23,1.0,-0.24653685311029794,-0.7251698902247777,-0.0,-0.6042537898588604,-0.6911265028750653,0.0
2018-10-24,1.0,-0.24458952178880364,-0.7206136771666395,-0.0,-0.6050922147870084,-0.6939774767422883,0.0
