Date,ATEC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.3372923819244686,-2.7381460517769325,-0.015681544028950542,-2.1737960471374222,-2.0141969008072746,0.0
2018-09-25,1.0,-1.34195642095503,-2.731757070004636,-0.02447844228094576,-2.1681965693092256,-2.0057487250811312,0.0
2018-09-26,1.0,-1.3433181860335714,-2.733562088472596,-0.026986923861634052,-2.1678568116479644,-2.0020402485393674,0.0
2018-09-27,1.0,-1.3537377109998145,-2.712576516416249,-0.03403821183453905,-2.1706547950287516,-2.0035243925060287,0.0
2018-09-28,1.0,-1.3610078095946447,-2.715600595016735,-0.036258832279657864,-2.1759018222387505,-2.008367422833767,0.0
2018-10-01,1.0,-1.363374255952381,-2.7140997023809526,-0.036830357142857144,-2.177455357142857,-2.0088355654761902,0.0
2018-10-02,1.0,-1.394152937815446,-2.8376345109989525,-0.029235310922769257,-2.2174078659175316,-2.0444719550518995,0.0
2018-10-03,1.0,-1.390858120307897,-2.8220089328138362,-0.02917418986980899,-2.215337831416896,-2.0456143685260857,0.0
2018-10-04,1.0,-1.394083064669069,-2.804475630570833,-0.03157595296794993,-2.2177128769201593,-2.034420633415513,0.0
2018-10-05,1.0,-1.3456581051839307,-2.7750493931696303,-0.0,-2.2326653495154765,-2.054849938846552,0.0
2018-10-08,1.0,-1.3355881247651258,-2.7641863960916946,-0.0,-2.2427658774896653,-2.0524239007891767,0.0
2018-10-09,1.0,-1.3375634517766497,-2.7666854671930814,-0.0,-2.243748824967099,-2.052265463432976,0.0
2018-10-10,1.0,-1.3414771659462508,-2.763766209359143,-0.0,-2.2461003570757376,-2.045386205600451,0.0
2018-10-11,1.0,-1.0665539638757897,-2.6795088531008093,-0.0,-2.1210072070468904,-2.0304297535367914,0.0
2018-10-12,1.0,-1.0875580071797566,-2.6599247001138253,-0.0,-2.0562122406094034,-1.9522808860870327,0.0
2018-10-15,1.0,-1.0376736111111111,-2.6757812500000004,-0.0,-2.0313368055555556,-1.9358506944444447,0.0
2018-10-16,1.0,-1.0283133576515546,-2.6935904116727465,-0.0,-2.0292687163453187,-1.9339065485495917,0.0
2018-10-17,1.0,-0.9375206885137372,-2.5028136378682553,-0.0,-1.946127110228401,-1.8889440582588546,0.0
2018-10-18,1.0,-0.9386110649609569,-2.506396411364014,-0.0,-1.9630337265326465,-1.8989865426150523,0.0
2018-10-19,1.0,-0.8816967920534114,-2.4466699234652336,-0.0,-1.941866145578896,-1.87168213645986,0.0
2018-10-22,1.0,-0.8814013981466428,-2.4326125833197856,-0.0,-1.9424483823768492,-1.8722971874491952,0.0
2018-10-23,1.0,-0.9007434033167224,-2.4470223020995014,-0.0,-1.9437137488767258,-1.8778694551098765,0.0
2018-10-24,1.0,-0.8968221550526918,-2.449309696920186,-0.0,-1.9447757536149006,-1.8784413038150478,0.0
2018-10-25,1.0,-0.7779878673284488,-2.3152131095879622,-0.0,-1.9922792090128418,-1.792877964232254,0.0
2018-10-26,1.0,-0.7299686570762678,-2.3584344611428114,-0.0,-2.108976934822792,-1.8393474242546008,0.0
2018-10-29,1.0,-0.661850870856409,-2.403965005217112,-0.0,-2.091500120394895,-1.8690103539609921,0.0
2018-10-30,1.0,-0.6316212523109074,-2.409613375130616,-0.0,-2.097580580339201,-1.89920424403183,0.0
2018-10-31,1.0,-0.6487543915681891,-2.345975726604919,-0.0,-2.1002874480996487,-1.889651868412648,0.0
2018-11-01,1.0,-0.6056988220312003,-2.3737663164597262,-0.0,-2.0935211716014006,-1.886341929321872,0.0
2018-11-02,1.0,-0.6112717892597516,-2.2746814664269523,-0.0,-2.083014148362386,-1.8478073946689597,0.0
2018-11-05,1.0,-0.6011946867877073,-2.329717833844219,-0.0,-2.0999764206555054,-1.8289711546019018,0.0
2018-11-06,1.0,-0.6321729454776666,-2.3768081386107136,-0.0,-2.1110316324908602,-1.827769829915753,0.0
2018-11-07,1.0,-0.6291359200190431,-2.3753074664762357,-0.0,-2.1053717368880425,-1.824803618186146,0.0
2018-11-08,1.0,-0.5378805758791598,-2.391471953426166,-0.0,-2.0855164817874283,-1.8524112973015499,0.0
2018-11-09,1.0,-0.5439340588988476,-2.434939180537772,-0.0,-2.134282970550576,-1.889404609475032,0.0
