Date,GMED,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3653776978417266,-0.7408573141486811,-0.1817146282973621,-0.3949640287769784,-0.3146882494004796,0.0
2018-09-25,1.0,-0.3662461418596985,-0.7397740553174912,-0.18327290162116808,-0.39402475203020587,-0.3132660094093674,0.0
2018-09-26,1.0,-0.367769214622005,-0.7418358473026059,-0.18607370977899063,-0.3937685548924941,-0.3092931897921852,0.0
2018-09-27,1.0,-0.3798060950194811,-0.7316137606088979,-0.19070343411157087,-0.4021565133347428,-0.31601679301700447,0.0
2018-09-28,1.0,-0.3795040623395452,-0.7315835573409043,-0.19094506025551963,-0.40212631006674926,-0.31613760608897884,0.0
2018-10-01,1.0,-0.3789174650185862,-0.7330835020701744,-0.19127202393544682,-0.4021275952733537,-0.31678201214905255,0.0
2018-10-02,1.0,-0.37863930754796926,-0.7427819139277284,-0.18854790872223232,-0.4010047817928697,-0.31547727135161313,0.0
2018-10-03,1.0,-0.3892681721293751,-0.7875258719223996,-0.19137499613851905,-0.4076179296283711,-0.313366902474437,0.0
2018-10-04,1.0,-0.39742239296115,-0.7799429952289484,-0.1918334469297974,-0.4194807608897701,-0.3094367680773282,0.0
2018-10-05,1.0,-0.3985558895534414,-0.7848399392605907,-0.18993461216647556,-0.4188849979856829,-0.3067030276736187,0.0
2018-10-08,1.0,-0.3971275574952796,-0.7823691460055096,-0.18593493670102454,-0.4232519268270034,-0.30662085616120344,0.0
2018-10-09,1.0,-0.4032814393586278,-0.7858674373077282,-0.19586091171809455,-0.42105590255119485,-0.3013268698921724,0.0
2018-10-10,1.0,-0.4071215139442231,-0.7851718127490039,-0.199203187250996,-0.4242716633466135,-0.2967816235059761,0.0
2018-10-11,1.0,-0.36557926829268295,-0.8008231707317073,-0.13503048780487806,-0.423140243902439,-0.32417682926829267,0.0
2018-10-12,1.0,-0.3754257980888071,-0.7982696771470773,-0.13420552859253004,-0.40499804057516653,-0.3016006993639405,0.0
2018-10-15,1.0,-0.37494726691978547,-0.8004881576568432,-0.13237509793286326,-0.40483939010426084,-0.3006689567890074,0.0
