Date,CBU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14317049882583674,-0.6418673066501509,-0.0860364893809192,-0.3351913499006477,-0.37431292095687857,0.0
2018-09-25,1.0,-0.14217016985961373,-0.6446392099071847,-0.08330101605522376,-0.337702629333747,-0.3775692236097107,0.0
2018-09-26,1.0,-0.14175224397940972,-0.6444812333479915,-0.08174034506841875,-0.33852401769316326,-0.38022194055717945,0.0
2018-09-27,1.0,-0.14086077262120822,-0.6502722323049002,-0.08045112781954887,-0.3396940627430646,-0.38141042260824476,0.0
2018-09-28,1.0,-0.13821750305044264,-0.6541187465925907,-0.08099898751265609,-0.3404813209065656,-0.38233079778810464,0.0
2018-10-01,1.0,-0.13786654892080724,-0.6551258408872497,-0.08127061634762732,-0.34040674268200827,-0.3826653853146671,0.0
2018-10-02,1.0,-0.1379561853655995,-0.6703482768501394,-0.07700122430904686,-0.33897731120894004,-0.3806298679309177,0.0
2018-10-03,1.0,-0.13777210707218,-0.6657119050098949,-0.07639829184459952,-0.34056348297052386,-0.38342360170815537,0.0
2018-10-04,1.0,-0.1362434208803582,-0.676529890806253,-0.0758857262562518,-0.33894576972426615,-0.39092408808819296,0.0
2018-10-05,1.0,-0.12581865622961513,-0.6733463796477496,-0.06744944553163731,-0.34421395955642536,-0.39843444227005875,0.0
2018-10-08,1.0,-0.12471336251824057,-0.6720085470085471,-0.06592662080466959,-0.34516364394413174,-0.3980091723994163,0.0
2018-10-09,1.0,-0.1222657269642391,-0.6742625946228139,-0.05807883059253458,-0.350613416862438,-0.40509005481597493,0.0
2018-10-10,1.0,-0.12293199728615416,-0.6734512812483691,-0.05905224153227911,-0.3509472365742915,-0.40311048483899586,0.0
2018-10-11,1.0,-0.08836817520483957,-0.6802460627408939,-0.017867626413456874,-0.34581514664216245,-0.420221048063915,0.0
2018-10-12,1.0,-0.08366940629945377,-0.6859717188217876,-0.0132217060595232,-0.34713359538516514,-0.42245648067793146,0.0
2018-10-15,1.0,-0.051426368542791055,-0.7360061680801852,-0.0,-0.34965304548959136,-0.4329735286558725,0.0
2018-10-16,1.0,-0.0460065870728695,-0.7463462330177028,-0.0,-0.34878036228900783,-0.4319678880197612,0.0
2018-10-17,1.0,-0.030294558670292526,-0.7205886090426208,-0.0,-0.3483620098101507,-0.4422700587084149,0.0
2018-10-18,1.0,-0.029374364191251272,-0.718972533062055,-0.0,-0.3516531027466938,-0.44323499491352997,0.0
2018-10-19,1.0,-0.017437011953198047,-0.7146142376993252,-0.0,-0.35174749185009224,-0.44332971115210634,0.0
2018-10-22,1.0,-0.018437492096411136,-0.7170894559801715,-0.0,-0.35104580287817094,-0.442575684766939,0.0
2018-10-23,1.0,-0.015507018699640196,-0.7183905133532661,-0.0,-0.35486241321643947,-0.4450919779050322,0.0
