Date,EXPE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6274584685888868,-1.2192572083253772,-0.0,-0.9986156196295588,-0.9283941187702883,0.0
2018-09-25,1.0,-0.6279114165712104,-1.218738067964872,-0.0,-0.9982817869415808,-0.9278827796869034,0.0
2018-09-26,1.0,-0.6269583492548719,-1.2187141765380207,-0.0,-0.9993312953763852,-0.9314100114635079,0.0
2018-09-27,1.0,-0.6341661491425024,-1.207901399703817,-0.0,-1.0019586299144891,-0.9331199541393972,0.0
2018-09-28,1.0,-0.6324161650902838,-1.209563389700965,-0.0,-1.001815228814369,-0.9332186873029522,0.0
2018-10-01,1.0,-0.6344471533056074,-1.2086619819303026,-0.0,-1.0034418471246236,-0.9337922462832833,0.0
2018-10-02,1.0,-0.6364809328108573,-1.200133804836089,-0.0,-1.0057822804167065,-0.9363471279747683,0.0
2018-10-03,1.0,-0.635881763048565,-1.1956926603314073,-0.0,-1.0060646578482402,-0.9376820591184757,0.0
2018-10-04,1.0,-0.6389312977099237,-1.189074427480916,-0.0,-1.0093511450381678,-0.9336832061068703,0.0
2018-10-05,1.0,-0.6197410235734953,-1.177251814257933,-0.0,-1.0100554949485367,-0.9361096618128351,0.0
2018-10-08,1.0,-0.6180595035057798,-1.1751942391510328,-0.0,-1.0094750805381847,-0.9348114458972901,0.0
2018-10-09,1.0,-0.6197156398104265,-1.1762085308056873,-0.0,-1.009478672985782,-0.9339336492890996,0.0
2018-10-10,1.0,-0.6196455648218347,-1.1759382107657317,-0.0,-1.0095716451857468,-0.9332354056103107,0.0
2018-10-11,1.0,-0.5221419811963482,-1.1374846709360948,-0.0,-0.9603488213653085,-0.9220148067402462,0.0
2018-10-12,1.0,-0.5305428852517663,-1.1243180395313477,-0.0,-0.9302387979608264,-0.8867722028441105,0.0
2018-10-15,1.0,-0.5182211517016816,-1.1311833712476025,-0.0,-0.9264463178553904,-0.884651411748963,0.0
2018-10-16,1.0,-0.5142054324071184,-1.1375496186610767,-0.0,-0.925025645600107,-0.8833236697738728,0.0
2018-10-17,1.0,-0.484921119149307,-1.0807548156541444,-0.0,-0.9093959731543624,-0.8829861413754032,0.0
2018-10-18,1.0,-0.48524218511575185,-1.0821816279373937,-0.0,-0.9090116405807211,-0.8833326067053233,0.0
2018-10-19,1.0,-0.46401139207732806,-1.0639941313541037,-0.0,-0.9079571934064038,-0.879218089237939,0.0
2018-10-22,1.0,-0.46388062276275505,-1.0551602190882823,-0.0,-0.9113727519730884,-0.8823909949540691,0.0
2018-10-23,1.0,-0.467485985338508,-1.0552824493316084,-0.0,-0.9085812850366537,-0.8808538163001294,0.0
2018-10-24,1.0,-0.46498708010335915,-1.05198105081826,-0.0,-0.9083548664944014,-0.8812661498708011,0.0
