Date,GIM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14127507802050826,-0.25201961658493094,-0.0,-0.21761925991975034,-0.17241194828354883,0.0
2018-09-25,1.0,-0.14592750075929467,-0.2520679613385025,-0.0,-0.2177657084665821,-0.17079663409143697,0.0
2018-09-26,1.0,-0.1465018223397413,-0.2525905810047881,-0.0,-0.21775173300936182,-0.16976345315514899,0.0
2018-09-27,1.0,-0.1476879128727013,-0.2500803427959293,-0.0,-0.21785395465095517,-0.16977325477593286,0.0
2018-09-28,1.0,-0.14693644302373343,-0.2509777309498723,-0.0,-0.21794024679893567,-0.1699555333321428,0.0
2018-10-01,1.0,-0.14656791713626363,-0.2532066763269468,-0.0,-0.21826866312456394,-0.17087962217570976,0.0
2018-10-02,1.0,-0.1494285816644574,-0.24382904023214988,-0.0,-0.22267402285673343,-0.1753484039694766,0.0
2018-10-03,1.0,-0.14896208335572153,-0.23899844178174198,-0.0,-0.2244908924829402,-0.17860405136747085,0.0
2018-10-04,1.0,-0.1520702634880803,-0.23523929019537554,-0.0,-0.2287865208818785,-0.17633984585051085,0.0
2018-10-05,1.0,-0.14491591848368252,-0.22922901524868178,-0.0,-0.22951403733789372,-0.17771127262362835,0.0
2018-10-08,1.0,-0.14297664815605865,-0.22707532393564003,-0.0,-0.23236152641321373,-0.17745265556030185,0.0
2018-10-09,1.0,-0.14395058651809395,-0.22729133662044534,-0.0,-0.23206180245287386,-0.1767208387475747,0.0
2018-10-10,1.0,-0.1436759104339468,-0.2273681962194297,-0.0,-0.23196041436759104,-0.1769071944750988,0.0
2018-10-11,1.0,-0.12395661605206072,-0.21683297180043384,-0.0,-0.22104989154013013,-0.17350108459869848,0.0
2018-10-12,1.0,-0.134085019478625,-0.21357840361083938,-0.0,-0.2095110607698776,-0.15898676826442876,0.0
2018-10-15,1.0,-0.11053311514942728,-0.24137455860821636,-0.0,-0.20795797088967358,-0.16263887692705195,0.0
2018-10-16,1.0,-0.10800192983665312,-0.24567509821490113,-0.0,-0.20735405610310842,-0.16202012543938246,0.0
2018-10-17,1.0,-0.10300063117312909,-0.2352740485491547,-0.0,-0.2049777383531499,-0.16260384503846745,0.0
2018-10-18,1.0,-0.10232415171024095,-0.23412285045851192,-0.0,-0.20775627999112006,-0.16347615225669834,0.0
2018-10-19,1.0,-0.09549107520514338,-0.22666441079434907,-0.0,-0.20790119279248798,-0.16184755942813636,0.0
2018-10-22,1.0,-0.0955700700531321,-0.22574367998917055,-0.0,-0.20839960743172362,-0.162391282276896,0.0
2018-10-23,1.0,-0.09570058036243041,-0.2257153009255342,-0.0,-0.20827058763811102,-0.16231535845417167,0.0
2018-10-24,1.0,-0.09515360438000608,-0.22484707154685865,-0.0,-0.20794889992902768,-0.16186758592720268,0.0
2018-10-25,1.0,-0.07813809766440394,-0.2018868854884042,-0.0,-0.21648230633947502,-0.14712118472740424,0.0
2018-10-26,1.0,-0.06722812515301375,-0.1970001142502734,-0.0,-0.22366939235176028,-0.14426545234947527,0.0
2018-10-29,1.0,-0.06004446536083478,-0.1984875286022622,-0.0,-0.21942195030914785,-0.1448532156245436,0.0
2018-10-30,1.0,-0.06192563727877902,-0.19866861503490826,-0.0,-0.21953239162201654,-0.1435135573956811,0.0
2018-10-31,1.0,-0.06412201420271142,-0.18997740477727565,-0.0,-0.21854422207876048,-0.14131697869593285,0.0
2018-11-01,1.0,-0.06074238906088751,-0.19233746130030957,-0.0,-0.2182017543859649,-0.14120549535603713,0.0
2018-11-02,1.0,-0.062383582760614044,-0.1839071231292954,-0.0,-0.22006872631511337,-0.13939559380820862,0.0
2018-11-05,1.0,-0.061495738157535666,-0.18625294958023658,-0.0,-0.22018716792140872,-0.13727787854952886,0.0
2018-11-06,1.0,-0.05436747723830154,-0.18702868218316857,-0.0,-0.23396908643744807,-0.15337882958450738,0.0
