Date,IWF,IWM,MTG,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5382098268223923,-1.4976339105920256,1.0,-0.01238421264599275,-0.9895791381393475,-0.9964760370519532,0.0
2018-09-25,-0.539092372710807,-1.4956228617428053,1.0,-0.01443952505534313,-0.987874823908231,-0.9941638156570739,0.0
2018-09-26,-0.5391929965787885,-1.495874421412759,1.0,-0.014640772791306097,-0.9878245119742403,-0.9936606963171665,0.0
2018-09-27,-0.5448966245787011,-1.4837265456008852,1.0,-0.018562301926656272,-0.9890839579455707,-0.9941646964133005,0.0
2018-09-28,-0.5444394145163725,-1.4835269855641064,1.0,-0.019314923796589712,-0.988732961118656,-0.9939137870328455,0.0
2018-10-01,-0.5449270975228293,-1.4906412390898542,1.0,-0.02078603501336966,-0.9911205287321528,-0.9976287775591545,0.0
2018-10-02,-0.5452114239580179,-1.49172469472197,1.0,-0.021394691694419214,-0.9905136744373801,-0.9970733676455747,0.0
2018-10-03,-0.5444416435593648,-1.4834887824552558,1.0,-0.0207713637509453,-0.9921855306276783,-1.000756238971515,0.0
2018-10-04,-0.5454682855559474,-1.4795707592322032,1.0,-0.021814700992493323,-0.9927452264597713,-0.9984382084739785,0.0
2018-10-05,-0.5261891634504536,-1.472156784121097,1.0,-0.0006515964112074582,-1.0023056488396573,-1.0109768933888026,0.0
2018-10-08,-0.5236927695771829,-1.4693019764823618,1.0,-0.0,-1.0016512384288216,-1.0091068301225918,0.0
2018-10-09,-0.5183293269230769,-1.4701522435897436,1.0,-0.0,-1.0049579326923077,-1.0145733173076923,0.0
2018-10-10,-0.5229550922213312,-1.4697774659182037,1.0,-0.0,-1.0087209302325582,-1.010625501202887,0.0
2018-10-11,-0.40839234956882015,-1.444091149973503,1.0,-0.0,-0.9580382521558992,-1.0071301247771836,0.0
2018-10-12,-0.4046130529506489,-1.4304253102207067,1.0,-0.0,-0.9269205266647722,-0.9741877427299424,0.0
2018-10-15,-0.38127153443149103,-1.4469250011799688,1.0,-0.0,-0.919903714541936,-0.9718223438901212,0.0
2018-10-16,-0.37744218971212834,-1.452807928268051,1.0,-0.0,-0.918499292118924,-0.9704577630957998,0.0
2018-10-17,-0.3468285476871942,-1.396500784784415,1.0,-0.0,-0.9025944049487582,-0.9705013387498845,0.0
2018-10-18,-0.34762214378599293,-1.3987553408879807,1.0,-0.0,-0.9184469626602265,-0.9794259706483373,0.0
2018-10-19,-0.3266132744177483,-1.3873239436619718,1.0,-0.0,-0.9143882905274786,-0.9744085427598269,0.0
2018-10-22,-0.32690892364305424,-1.3795308187672493,1.0,-0.0,-0.9168353265869364,-0.976586936522539,0.0
2018-10-23,-0.3268629254829807,-1.3795308187672493,1.0,-0.0,-0.9168353265869364,-0.976586936522539,0.0
2018-10-24,-0.3234226368273517,-1.3785671614355957,1.0,-0.0,-0.9164560452185102,-0.9769312072055513,0.0
2018-10-25,-0.2782912483969398,-1.3135806836775308,1.0,-0.0,-0.9020474948038739,-0.9283155706894264,0.0
2018-10-26,-0.26120185169010396,-1.2931260372084898,1.0,-0.0,-0.8992488426936851,-0.9136605817101932,0.0
2018-10-29,-0.23315094667361472,-1.3044554455445543,1.0,-0.0,-0.8859214868855306,-0.9190116380059059,0.0
2018-10-30,-0.21280111314027306,-1.3073745543090705,1.0,-0.0,-0.8893816853639447,-0.9386468388555528,0.0
2018-10-31,-0.21613932235537545,-1.281619105095267,1.0,-0.0,-0.8832657987757565,-0.9296922148461074,0.0
