Date,IWF,IWM,MTUM,RUSHA,SPY,VLUE,VXX
2018-09-24,-0.381970063181105,-1.1159733706483483,-0.08658779629394055,1.0,-0.7917567739473349,-0.8640546156129415,0.0
2018-09-25,-0.38271447948457105,-1.1146998982706002,-0.08816547982366904,1.0,-0.7906917599186165,-0.8624957612750085,0.0
2018-09-26,-0.3835044519234866,-1.1189451710475866,-0.08132748263962851,1.0,-0.7985344864312188,-0.8779022706939889,0.0
2018-09-27,-0.3840487140180549,-1.1165474365525465,-0.08201328564128768,1.0,-0.7981178674842446,-0.8774484755578266,0.0
2018-09-28,-0.3840749414519906,-1.1162869916968277,-0.082520757930594,1.0,-0.7979135618479881,-0.8772407919948904,0.0
2018-10-01,-0.38802849950936474,-1.1157899227782755,-0.08208541320022186,1.0,-0.8016126967874057,-0.8788770851998805,0.0
2018-10-02,-0.3921292142033073,-1.0934922873135924,-0.09080032474469087,1.0,-0.8094688715121994,-0.8870657607998975,0.0
2018-10-03,-0.3920714255200991,-1.0918022982613524,-0.09094792601136316,1.0,-0.8095604254773806,-0.8874791746764065,0.0
2018-10-04,-0.3932536293766012,-1.0887702818104186,-0.09167378309137489,1.0,-0.8105038428693424,-0.8855678906917165,0.0
2018-10-05,-0.3783967680204125,-1.0829257920476292,-0.07675951520306187,1.0,-0.8181586221560706,-0.8963640229640655,0.0
2018-10-08,-0.3759867583396995,-1.0793650793650793,-0.07312622018504371,1.0,-0.8202614379084967,-0.8953823953823954,0.0
2018-10-09,-0.3766024280499193,-1.0798030393072415,-0.07441208931148655,1.0,-0.8196790899057644,-0.8943458697682315,0.0
2018-10-10,-0.37637420943163974,-1.080139224924657,-0.07385712466573284,1.0,-0.8198565304130057,-0.8944776942994185,0.0
2018-10-11,-0.3106138793708459,-1.0832266853816621,-0.0,1.0,-0.8100152747388845,-0.9244519671386698,0.0
2018-10-12,-0.3262472351929221,-1.0838043745391988,-0.0,1.0,-0.7872941754730892,-0.8986237404767756,0.0
2018-10-15,-0.28413798761228926,-1.130932359817876,-0.0,1.0,-0.7826407974076048,-0.9042208458099183,0.0
2018-10-16,-0.2798014603330872,-1.138157354992206,-0.0,1.0,-0.7812782016572319,-0.9028222167528099,0.0
2018-10-17,-0.2513215770146483,-1.0901093579758685,-0.0,1.0,-0.7771679916064728,-0.916791089947944,0.0
2018-10-18,-0.2541199335951735,-1.098473498805523,-0.0,1.0,-0.7767745070251448,-0.9197068469854639,0.0
2018-10-19,-0.24089003547242827,-1.0950902934537248,-0.0,1.0,-0.7753547242824895,-0.9196227023540794,0.0
2018-10-22,-0.24157801418439717,-1.0921985815602837,-0.0,1.0,-0.7759912959381045,-0.9199306898774984,0.0
2018-10-23,-0.24414810039885582,-1.0921800088634623,-0.0,1.0,-0.7738205551750534,-0.9186978767978728,0.0
2018-10-24,-0.24109622117590246,-1.0891383959113043,-0.0,1.0,-0.7737132278964948,-0.9203589681677331,0.0
2018-10-25,-0.19009044435705857,-1.0401101061738105,-0.0,1.0,-0.8088084939048368,-0.8933543059378686,0.0
2018-10-26,-0.18939156343108046,-1.034577387486279,-0.0,1.0,-0.8070017249490357,-0.889368041398777,0.0
2018-10-29,-0.15759637188208617,-1.0533270779576198,-0.0,1.0,-0.7959574634451482,-0.902728907655016,0.0
2018-10-30,-0.14788759917145425,-1.053386485324579,-0.0,1.0,-0.7963418923672178,-0.9106577558916638,0.0
2018-10-31,-0.15811816022120964,-1.0256260466565408,-0.0,1.0,-0.801378665731978,-0.9094130934299178,0.0
2018-11-01,-0.1502080821438295,-1.0304927851892187,-0.0,1.0,-0.800007778771732,-0.9086383260083233,0.0
2018-11-02,-0.15087213829621554,-1.0331334683071172,-0.0,1.0,-0.7999922130509267,-0.9094767170222706,0.0
2018-11-05,-0.1426448736998514,-1.0670993978259167,-0.0,1.0,-0.8082036443262688,-0.8922734026745913,0.0
2018-11-06,-0.1492823340764207,-1.07250967969025,-0.0,1.0,-0.8039422738472369,-0.8852907818060934,0.0
2018-11-07,-0.14915917090340244,-1.072506843957763,-0.0,1.0,-0.8039108330074306,-0.8852561595619868,0.0
2018-11-08,-0.11692892023874117,-1.074102782730021,-0.0,1.0,-0.7927292457948996,-0.8919076040617006,0.0
2018-11-09,-0.11683782212749468,-1.0737841503584578,-0.0,1.0,-0.7930246076341794,-0.8915714008913002,0.0
2018-11-12,-0.11517233393801382,-1.0612914431278706,-0.0,1.0,-0.7951291057161605,-0.8880697827009919,0.0
2018-11-13,-0.08007505840003065,-1.0605062612491865,-0.0,1.0,-0.80071228889825,-0.8881783019951749,0.0
2018-11-14,-0.08142474147836079,-1.0596706242818843,-0.0,1.0,-0.8010723860589812,-0.8877824588280353,0.0
2018-11-15,-0.08055746994409985,-1.0634811241289532,-0.0,1.0,-0.8078719656941572,-0.8768665288306914,0.0
2018-11-16,-0.07979821141939922,-1.0584346097989756,-0.0,1.0,-0.805969578842773,-0.8775128028739586,0.0
2018-11-19,-0.08376342852773636,-1.057728332759873,-0.0,1.0,-0.8044118209274763,-0.8771648124784952,0.0
2018-11-20,-0.02792467186608332,-1.0508655126498005,-0.0,1.0,-0.8148373597108618,-0.9108236636865134,0.0
2018-11-21,-0.0314785493478097,-1.0444469577018776,-0.0,1.0,-0.811241800497625,-0.8827188418909749,0.0
2018-11-23,-0.031800520577916935,-1.0468897355615074,-0.0,1.0,-0.8107435210683165,-0.8828322456524199,0.0
2018-11-26,-0.030995475113122173,-1.0508295625942685,-0.0,1.0,-0.808446455505279,-0.8804675716440423,0.0
2018-11-27,-0.022778444911438007,-1.0515610927649355,-0.0,1.0,-0.8029120384268988,-0.8753752626838788,0.0
2018-11-28,-0.021309380637402286,-1.0632892363199038,-0.0,1.0,-0.7998346361996392,-0.8738725195429946,0.0
2018-11-29,-0.0,-1.047523501653476,-0.0,1.0,-0.7924423141232861,-0.8756734663545499,0.0
2018-11-30,-0.0,-1.0514102372780183,-0.0,1.0,-0.7947694373974034,-0.8846067751081927,0.0
2018-12-03,-0.0,-1.0514494646121704,-0.0,1.0,-0.7948363989105698,-0.8846770883856285,0.0
2018-12-04,-0.0,-1.0548276632174494,-0.0,1.0,-0.7865703863619444,-0.880741457604407,0.0
2018-12-06,-0.0,-1.0375161230882626,-0.0,1.0,-0.7780725999631474,-0.8696885940667036,0.0
2018-12-07,-0.0,-1.038793739849402,-0.0,1.0,-0.7780894729071313,-0.8742433190609774,0.0
2018-12-10,-0.0,-1.0384910626165151,-0.0,1.0,-0.7667507402127427,-0.8501663194063678,0.0
2018-12-11,-0.0,-1.0439552375710879,-0.0,1.0,-0.760190790680609,-0.8648688314070813,0.0
2018-12-12,-0.0,-1.044987146529563,-0.0,1.0,-0.763679764965112,-0.8637899375688579,0.0
2018-12-13,-0.0,-1.0406486169198035,-0.0,1.0,-0.7666006310074107,-0.8613984885171326,0.0
2018-12-14,-0.0,-1.0462340714626712,-0.0,1.0,-0.7642025632551137,-0.8618486284014543,0.0
2018-12-17,-0.0,-1.0437603078614623,-0.0,1.0,-0.7385743082279641,-0.8826461425691772,0.0
2018-12-18,-0.0,-1.028213738229068,-0.0,1.0,-0.7322797284473319,-0.8893714869698518,0.0
2018-12-19,-0.0,-1.0282888012848592,-0.0,1.0,-0.7325156957220033,-0.8893634107168931,0.0
2018-12-20,-0.0,-1.0112757261713619,-0.0,1.0,-0.751131221719457,-0.8866953729382572,0.0
