Date,IWF,IWM,MTUM,OLD,SPY,VLUE,VXX
2018-09-24,-0.18611372643471788,-0.4367322808784568,-0.0,1.0,-0.31908651003919336,-0.24764073482078344,0.0
2018-09-25,-0.184603574953394,-0.4385129948459261,-0.0,1.0,-0.3204298716964579,-0.24969843184559712,0.0
2018-09-26,-0.18653145440976338,-0.44060318714605556,-0.0,1.0,-0.3208218095614382,-0.24704771939066683,0.0
2018-09-27,-0.18569732676749912,-0.44380935631375307,-0.0,1.0,-0.32124956032360186,-0.24760376362996833,0.0
2018-09-28,-0.18483829122969023,-0.44473759426598947,-0.0,1.0,-0.3212848756678319,-0.24778488666095022,0.0
2018-10-01,-0.18443886539816773,-0.4473220577871741,-0.0,1.0,-0.32163935870331223,-0.24887684989429176,0.0
2018-10-02,-0.1847316138411048,-0.4468844298583731,-0.0,1.0,-0.32179907931543356,-0.24915750754388669,0.0
2018-10-03,-0.18646128005657708,-0.455224540311174,-0.0,1.0,-0.32142857142857145,-0.2469059405940594,0.0
2018-10-04,-0.19345462613712006,-0.44985577989793657,-0.0,1.0,-0.33148435766585316,-0.2439982249833592,0.0
2018-10-05,-0.186827511544155,-0.4462782528004242,-0.0,1.0,-0.3320076887386491,-0.2442721106471355,0.0
2018-10-08,-0.18504631671812968,-0.44406704896338767,-0.0,1.0,-0.3330833700926334,-0.2433392148213498,0.0
2018-10-09,-0.1808444856675942,-0.4445254184885827,-0.0,1.0,-0.3355858840157237,-0.24742723377942671,0.0
2018-10-10,-0.18319598789298103,-0.4438945717252502,-0.0,1.0,-0.33731745575856664,-0.24487992399973488,0.0
2018-10-11,-0.1386349459011809,-0.43840478392738064,-0.0,1.0,-0.3234958807459829,-0.2505108735399772,0.0
2018-10-12,-0.13559322033898305,-0.43827808609569524,-0.0,1.0,-0.32188390580470977,-0.24699479311748698,0.0
2018-10-15,-0.10455417376123456,-0.4769704937819256,-0.0,1.0,-0.32092592193460784,-0.2528611763691618,0.0
2018-10-16,-0.09878357064148822,-0.4889268197826415,-0.0,1.0,-0.32052805565758485,-0.25236047792926125,0.0
2018-10-17,-0.09122582024153042,-0.4746820562145987,-0.0,1.0,-0.3177086673078978,-0.2538206690178476,0.0
2018-10-18,-0.09087023422807318,-0.4740981364335784,-0.0,1.0,-0.3183236450675329,-0.2538254402461959,0.0
2018-10-19,-0.08288945949960741,-0.4690703053710502,-0.0,1.0,-0.3184220019947796,-0.2517242111071027,0.0
2018-10-22,-0.08281498779322789,-0.46247744400806706,-0.0,1.0,-0.3222800127375013,-0.25536567243392416,0.0
2018-10-23,-0.08131480537140914,-0.4629865714771375,-0.0,1.0,-0.32400560938296785,-0.2564592894781574,0.0
2018-10-24,-0.08008148195302056,-0.46113692787574,-0.0,1.0,-0.32401807880832645,-0.25668937127336766,0.0
2018-10-25,-0.059332892452674216,-0.4358725303794329,-0.0,1.0,-0.3322724642473341,-0.2391502025295528,0.0
2018-10-26,-0.053602956271812774,-0.4303839047423527,-0.0,1.0,-0.33334017655512216,-0.2356189694107986,0.0
2018-10-29,-0.05744992470656188,-0.43109103286094436,-0.0,1.0,-0.3392949233657198,-0.23499804030777482,0.0
2018-10-30,-0.046678227837648134,-0.43226392501754823,-0.0,1.0,-0.340744869730377,-0.24484908542879558,0.0
2018-10-31,-0.04507030465349849,-0.4480038500167392,-0.0,1.0,-0.3471710746568463,-0.2521551724137931,0.0
2018-11-01,-0.03276666039353449,-0.4581268427325764,-0.0,1.0,-0.3472805972021831,-0.25289086841059744,0.0
2018-11-02,-0.035590151310175455,-0.44437738048161174,-0.0,1.0,-0.3510312818698358,-0.250317397548234,0.0
