Date,IWF,IWM,JGH,MTUM,SPY,VLUE,VXX
2018-09-24,-0.07854362662105317,-0.24563210165290694,1.0,-0.0,-0.216815317752605,-0.20442287888572774,0.0
2018-09-25,-0.08117449898750087,-0.2450597025347392,1.0,-0.0,-0.2164304168703303,-0.20302353187626562,0.0
2018-09-26,-0.08068656038832916,-0.24476611199385376,1.0,-0.0,-0.21656684884147298,-0.20404742365245934,0.0
2018-09-27,-0.08208278076359321,-0.24199064703008305,1.0,-0.0,-0.21677601730997414,-0.20410762895232776,0.0
2018-09-28,-0.08289829768659975,-0.24176342208642518,1.0,-0.0,-0.21700567437800086,-0.2042950676560454,0.0
2018-10-01,-0.08541736036872821,-0.2418289199277966,1.0,-0.0,-0.21971223778062077,-0.20555195317292024,0.0
2018-10-02,-0.08901884340480831,-0.23086244138875717,1.0,-0.0,-0.22522522522522523,-0.21105315842157946,0.0
2018-10-03,-0.08891386030831898,-0.22944832671980894,1.0,-0.0,-0.2256031183060013,-0.2118376233451557,0.0
2018-10-04,-0.09180823217328672,-0.22588408903255275,1.0,-0.0,-0.22945031006798658,-0.20961649948175604,0.0
2018-10-05,-0.09236172080772607,-0.22700614574187886,1.0,-0.0,-0.22858647936786652,-0.20795434591747144,0.0
2018-10-08,-0.09239550403933965,-0.2272918861959958,1.0,-0.0,-0.2284861257463997,-0.20804355461889706,0.0
2018-10-09,-0.09084044533417623,-0.22707477259157802,1.0,-0.0,-0.2290064271415025,-0.20911038527728026,0.0
2018-10-10,-0.0921764168832081,-0.22635016503967978,1.0,-0.0,-0.22987920500035114,-0.2073354870426294,0.0
2018-10-11,-0.08040035956299267,-0.21973101922279076,1.0,-0.0,-0.22394896971373254,-0.20460517217535612,0.0
2018-10-12,-0.08030445565723082,-0.2147780723509792,1.0,-0.0,-0.21777131617206874,-0.1975711964423159,0.0
2018-10-15,-0.07415810843085742,-0.21880650994575046,1.0,-0.0,-0.21602579412467157,-0.19695315432119825,0.0
2018-10-16,-0.07336961157264461,-0.22004059978505994,1.0,-0.0,-0.2157588577472237,-0.1966871940089729,0.0
2018-10-17,-0.07345587356851502,-0.22084549348898333,1.0,-0.0,-0.21591316368849525,-0.19645691464850754,0.0
2018-10-18,-0.07404876215209553,-0.22260759623434537,1.0,-0.0,-0.21512412650139248,-0.19675716311572042,0.0
2018-10-19,-0.06744619556007457,-0.21594644975427893,1.0,-0.0,-0.21543806134553467,-0.19578037620742247,0.0
2018-10-22,-0.06814052603874825,-0.22028084831813632,1.0,-0.0,-0.21452464639261035,-0.1950486475472467,0.0
2018-10-23,-0.06732124959654814,-0.2204630777855165,1.0,-0.0,-0.21538383134863337,-0.1955764689894168,0.0
2018-10-24,-0.06681953290870489,-0.22114649681528664,1.0,-0.0,-0.21537154989384288,-0.19515923566878982,0.0
2018-10-25,-0.05331543446195661,-0.20195893203400786,1.0,-0.0,-0.21934403951010126,-0.18268449924592717,0.0
2018-10-26,-0.047973518222690664,-0.19788870407272607,1.0,-0.0,-0.22112613428632596,-0.1798883417598524,0.0
2018-10-29,-0.044799395889421494,-0.19773130212095344,1.0,-0.0,-0.21949898220500358,-0.17959156871757828,0.0
