Date,IWF,IWM,MTUM,OFIX,SPY,VLUE,VXX
2018-09-24,-0.5197324414715719,-1.2040133779264215,-0.028361204013377928,1.0,-0.8882943143812708,-0.8189074693422519,0.0
2018-09-25,-0.5292353151862464,-1.2052739971346704,-0.038279011461318055,1.0,-0.8887446275071633,-0.8154996418338109,0.0
2018-09-26,-0.5315077088562209,-1.208497669415561,-0.04190570096808892,1.0,-0.8888938687701685,-0.8110433847257081,0.0
2018-09-27,-0.542913722489761,-1.1976686619559838,-0.04743687834736037,1.0,-0.8960349250641343,-0.8166434132949277,0.0
2018-09-28,-0.5444434438040346,-1.1970010806916427,-0.047955691642651295,1.0,-0.8964337175792507,-0.8170479106628242,0.0
2018-10-01,-0.5442057379633383,-1.197630950772418,-0.04855199747781831,1.0,-0.8962302391568707,-0.817321983515741,0.0
2018-10-02,-0.5443032269695331,-1.2028574003966108,-0.0478186407066883,1.0,-0.895393906616189,-0.8165224445646295,0.0
2018-10-03,-0.5444629738134944,-1.2027313291567132,-0.04831658178212467,1.0,-0.8952089061161941,-0.8163789606526345,0.0
2018-10-04,-0.5470593533279294,-1.1962982977573628,-0.04931099702783031,1.0,-0.8981356390164821,-0.8124831126722507,0.0
2018-10-05,-0.5301264233838429,-1.1885591320720883,-0.029991930422307897,1.0,-0.9092172509638662,-0.8252039809916615,0.0
2018-10-08,-0.527970618533614,-1.18515698481659,-0.02329018676938236,1.0,-0.9166032158373271,-0.825905853898867,0.0
2018-10-09,-0.5260115606936415,-1.1865394094188286,-0.017475467132679123,1.0,-0.9201953667607653,-0.8306672043733476,0.0
2018-10-10,-0.5261153915068985,-1.18612255868124,-0.017380397778175957,1.0,-0.920354775129905,-0.8295108403511916,0.0
2018-10-11,-0.42335703138546904,-1.176434888156754,-0.0,1.0,-0.8899774579504075,-0.845240159528351,0.0
2018-10-12,-0.4291627549714091,-1.1653153537594947,-0.0,1.0,-0.8612699496458138,-0.8115558590082785,0.0
2018-10-15,-0.38414451436154273,-1.2194683446770258,-0.0,1.0,-0.8582680535935961,-0.8188005650443045,0.0
2018-10-16,-0.37564955980244796,-1.2408846897144084,-0.0,1.0,-0.8588361606184238,-0.819239853983251,0.0
2018-10-17,-0.345150585962112,-1.184945604234049,-0.0,1.0,-0.8465997395723946,-0.8237493174276473,0.0
2018-10-18,-0.3463296926593853,-1.1888917111167554,-0.0,1.0,-0.8639827279654558,-0.8340953348573363,0.0
2018-10-19,-0.3220964360587002,-1.1729559748427674,-0.0,1.0,-0.8657023060796646,-0.8320754716981132,0.0
2018-10-22,-0.32229950557278136,-1.166429229866756,-0.0,1.0,-0.8675102656498784,-0.8338221738037376,0.0
2018-10-23,-0.3327449249779347,-1.1713529189257346,-0.0,1.0,-0.8647921657630395,-0.8340268146093389,0.0
2018-10-24,-0.3296818601527743,-1.168345504910602,-0.0,1.0,-0.864559724670528,-0.8344665491479896,0.0
2018-10-25,-0.27900040306328094,-1.1003627569528418,-0.0,1.0,-0.8650947198710197,-0.7861749294639259,0.0
2018-10-26,-0.2622162140670351,-1.0802353783149774,-0.0,1.0,-0.8618345195022067,-0.7716989384119916,0.0
2018-10-29,-0.24177170176617016,-1.0853846457781817,-0.0,1.0,-0.8512782014303213,-0.7727290687107353,0.0
2018-10-30,-0.22906131479140326,-1.0859276232616941,-0.0,1.0,-0.8521649810366624,-0.7835414032869785,0.0
2018-10-31,-0.23172926917076686,-1.1078443137725509,-0.0,1.0,-0.8640345613824553,-0.796511860474419,0.0
2018-11-01,-0.21413455779596724,-1.1203833100419245,-0.0,1.0,-0.8622878818127371,-0.7960071870632861,0.0
2018-11-02,-0.22127052105638828,-1.0823221508446348,-0.0,1.0,-0.8727892775001982,-0.7890395749068125,0.0
2018-11-05,-0.2173068537677885,-1.0932334403615174,-0.0,1.0,-0.8733896222301503,-0.7800372616640902,0.0
2018-11-06,-0.22642108605906638,-1.1021355986027312,-0.0,1.0,-0.8690060336614799,-0.7719514131470309,0.0
2018-11-07,-0.22545209390862944,-1.1019194162436547,-0.0,1.0,-0.8671875,-0.7711373730964468,0.0
2018-11-08,-0.18992658893730616,-1.10348211832136,-0.0,1.0,-0.854865936481765,-0.7774113767518549,0.0
2018-11-09,-0.18873638258544068,-1.1057143980807804,-0.0,1.0,-0.859401423683486,-0.7790144334762261,0.0
2018-11-12,-0.18719192551443548,-1.086612941084422,-0.0,1.0,-0.8640951412252562,-0.7741178311556216,0.0
2018-11-13,-0.16505795247509403,-1.0822963910532233,-0.0,1.0,-0.8619606931038494,-0.7670659378997559,0.0
2018-11-14,-0.16471500581620782,-1.082939123691353,-0.0,1.0,-0.8622721985265606,-0.7675455602946878,0.0
2018-11-15,-0.16359330719360224,-1.0846306145424902,-0.0,1.0,-0.8633487324818511,-0.770604448930471,0.0
2018-11-16,-0.16211088740901347,-1.0776289298435806,-0.0,1.0,-0.8604615146352795,-0.7715270249341799,0.0
2018-11-19,-0.1642663569492838,-1.0768873403019745,-0.0,1.0,-0.859233449477352,-0.7710801393728224,0.0
2018-11-20,-0.11910069177555727,-1.0680630284396617,-0.0,1.0,-0.8636433512682552,-0.7924289008455035,0.0
2018-11-21,-0.12268025555217521,-1.0597429266808638,-0.0,1.0,-0.858229388500152,-0.7622071797992089,0.0
2018-11-23,-0.12315589353612168,-1.0588593155893535,-0.0,1.0,-0.8581368821292775,-0.7621292775665399,0.0
2018-11-26,-0.12237762237762237,-1.0625950136819702,-0.0,1.0,-0.8558452417148069,-0.7597674065065368,0.0
2018-11-27,-0.10586802648603394,-1.0806758505213487,-0.0,1.0,-0.8587030976482227,-0.7602176725778217,0.0
2018-11-28,-0.11015753137277338,-1.069344318571919,-0.0,1.0,-0.8681008505931265,-0.7667162528130602,0.0
2018-11-29,-0.07527772547542835,-1.0537751835812466,-0.0,1.0,-0.8640557333835435,-0.7726605159103747,0.0
2018-11-30,-0.07556124755160465,-1.0549947265330721,-0.0,1.0,-0.8664306162422781,-0.7697755009793582,0.0
2018-12-03,-0.0760419021780089,-1.055203858617831,-0.0,1.0,-0.8667947848368378,-0.7701786118019444,0.0
2018-12-04,-0.0696442658051914,-1.0564216220277225,-0.0,1.0,-0.8629277637954998,-0.767476804026896,0.0
2018-12-06,-0.057508569761505354,-1.0004011377725914,-0.0,1.0,-0.853256509372037,-0.735504339581358,0.0
2018-12-07,-0.057176196032672114,-1.0006563593932323,-0.0,1.0,-0.8534859976662778,-0.7350860560093349,0.0
2018-12-10,-0.03531746031746032,-1.0012987012987011,-0.0,1.0,-0.8506493506493507,-0.7202020202020203,0.0
2018-12-11,-0.04076626140914174,-0.9993867022619863,-0.0,1.0,-0.851942710776002,-0.7155741549117933,0.0
2018-12-12,-0.04221693007144404,-0.9991340116908421,-0.0,1.0,-0.8524572418272353,-0.7145125207476366,0.0
2018-12-13,-0.04198954766624618,-0.9944134078212291,-0.0,1.0,-0.8557938367273383,-0.7120562263470896,0.0
2018-12-14,-0.04327927927927928,-0.9926126126126125,-0.0,1.0,-0.8558558558558558,-0.7118918918918918,0.0
2018-12-17,-0.032196697774587224,-0.9914572864321608,-0.0,1.0,-0.8474874371859296,-0.7183058147882267,0.0
2018-12-18,-0.019304056701214517,-0.9804822452541224,-0.0,1.0,-0.8430387861951062,-0.7188089895644121,0.0
2018-12-19,-0.020799943013854755,-0.9800192328240196,-0.0,1.0,-0.8423264593795633,-0.7185240588381949,0.0
2018-12-20,-0.020911604168143475,-0.9695541220670589,-0.0,1.0,-0.8410718083221096,-0.7128021549585313,0.0
2018-12-21,-0.01739470688673876,-0.9739257256687536,-0.0,1.0,-0.8459021058622653,-0.7200128059191805,0.0
2018-12-24,-0.0,-0.9508706248013281,-0.0,1.0,-0.8403207007381768,-0.7407551301522269,0.0
2018-12-26,-0.0,-0.9598852866086104,-0.0,1.0,-0.8133109502325744,-0.7241632567411603,0.0
2018-12-27,-0.0,-0.9159221926305497,-0.0,1.0,-0.7422040926406634,-0.7130431851127668,0.0
2018-12-28,-0.0,-0.9189152770759643,-0.0,1.0,-0.740003368704733,-0.7097524002021223,0.0
2018-12-31,-0.0,-0.9259071729957805,-0.0,1.0,-0.7401518987341772,-0.7095021097046412,0.0
2019-01-02,-0.0,-0.9248617293943072,-0.0,1.0,-0.7368811547281802,-0.7107446377984621,0.0
2019-01-03,-0.0,-0.9264114606210088,-0.0,1.0,-0.7581511639693213,-0.6941244045004561,0.0
2019-01-04,-0.0,-0.9260482674935957,-0.0,1.0,-0.7520560873668599,-0.6925306727787516,0.0
2019-01-07,-0.0,-0.893519896794681,-0.0,1.0,-0.7441368132049881,-0.6702060798518077,0.0
2019-01-08,-0.0,-0.8716010080912588,-0.0,1.0,-0.7718198700092851,-0.6726687889640536,0.0
2019-01-09,-0.0,-0.8722677369066968,-0.0,1.0,-0.7720322398752861,-0.6725596205512622,0.0
2019-01-10,-0.0,-0.8688530026196238,-0.0,1.0,-0.7759392512517824,-0.6712206121298537,0.0
2019-01-11,-0.0,-0.8574704240329655,-0.0,1.0,-0.7811378439452346,-0.6845340954406487,0.0
2019-01-14,-0.0,-0.8603359387992683,-0.0,1.0,-0.7874605022451355,-0.6783302843838351,0.0
2019-01-15,-0.0,-0.8654425045153521,-0.0,1.0,-0.7882467054652484,-0.6910161214796976,0.0
2019-01-16,-0.0,-0.8700968076910192,-0.0,1.0,-0.7903728268515726,-0.6892439620808628,0.0
2019-01-17,-0.0,-0.8691341483838553,-0.0,1.0,-0.7906213364595546,-0.6897672081728354,0.0
2019-01-18,-0.0,-0.860384356035064,-0.0,1.0,-0.7941335131490224,-0.7170262980445045,0.0
2019-01-22,-0.0,-0.9044760761447437,-0.0,1.0,-0.8579317441262221,-0.6675355856628366,0.0
2019-01-23,-0.0,-0.8510652873878194,-0.0,1.0,-0.8642186750702201,-0.7100774131670893,0.0
2019-01-24,-0.0,-0.8484110096780837,-0.0,1.0,-0.8725718992381083,-0.7109616308600454,0.0
2019-01-25,-0.0,-0.8249623744356165,-0.0,1.0,-0.9560743411151167,-0.7189807847117706,0.0
2019-01-28,-0.0,-0.8098542192318475,-0.0,1.0,-0.9770815811606393,-0.7173745444350995,0.0
2019-01-29,-0.0,-0.7914190258484263,-0.0,1.0,-0.9934235976789169,-0.731950061543872,0.0
2019-01-30,-0.0,-0.7902936521892034,-0.0,1.0,-0.9917355371900826,-0.734763495691929,0.0
2019-01-31,-0.0,-0.804975159437652,-0.0,1.0,-0.9697685070998202,-0.7487403544624924,0.0
2019-02-01,-0.0,-0.8056310200049394,-0.0,1.0,-0.9745263380728928,-0.7480506650672123,0.0
2019-02-04,-0.0,-0.805602596669489,-0.0,1.0,-0.9771027377928307,-0.7453782105560259,0.0
2019-02-05,-0.0,-0.8187511056076419,-0.0,1.0,-0.9771802582699451,-0.7420484698390235,0.0
2019-02-06,-0.0,-0.8138629283489096,-0.0,1.0,-0.981060606060606,-0.7451500991220618,0.0
2019-02-07,-0.0,-0.8103724255682424,-0.0,1.0,-0.9731796677693594,-0.7735211468004126,0.0
2019-02-08,-0.0,-0.8249388401208808,-0.0,1.0,-1.0207224061015976,-0.7519787019715067,0.0
