Date,BKU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18001086987614062,-0.6583426299379272,-0.06971023198604079,-0.4447781687119196,-0.5076804256414656,0.0
2018-09-25,1.0,-0.17893892057668606,-0.6615838803061137,-0.06663991515950586,-0.4476482558972743,-0.511393275817593,0.0
2018-09-26,1.0,-0.17863081245341436,-0.661429963878218,-0.0656785734762915,-0.44811077346482425,-0.5129579725933145,0.0
2018-09-27,1.0,-0.17839729249125222,-0.6628807434176561,-0.06539321975563586,-0.44828773016692475,-0.5131646876613319,0.0
2018-09-28,1.0,-0.1753009798005919,-0.6680171249604919,-0.06608625693187369,-0.4494727466023044,-0.514438410481855,0.0
2018-10-01,1.0,-0.17594322002241317,-0.6673084106778541,-0.06609005488348037,-0.4497859256917905,-0.5143530358323036,0.0
2018-10-02,1.0,-0.17596455390281096,-0.6760940242253359,-0.06375694104784647,-0.4485427395920247,-0.512731248381621,0.0
2018-10-03,1.0,-0.17574485217991487,-0.6714597952375475,-0.0632117795927758,-0.45001725526285524,-0.5154434602553779,0.0
2018-10-04,1.0,-0.17425359114425273,-0.6821873464550998,-0.06286308852857019,-0.44827885198994183,-0.5226740657244429,0.0
2018-10-05,1.0,-0.16336876062098563,-0.6780725251303321,-0.05345776088020968,-0.45421815144445404,-0.5311500907284196,0.0
2018-10-08,1.0,-0.16228890359331397,-0.6768318996518887,-0.05204407491584913,-0.4549613049857591,-0.5307977789924911,0.0
2018-10-09,1.0,-0.159858262272413,-0.6788430513943305,-0.04450910348006453,-0.4600714450334179,-0.5375374510255819,0.0
2018-10-10,1.0,-0.15913023416772407,-0.6809608951436151,-0.04288268543084554,-0.4605202445495443,-0.5403449071403853,0.0
2018-10-11,1.0,-0.11111111111111112,-0.6880309316174189,-0.0,-0.4560720232551576,-0.5670138006942681,0.0
2018-10-12,1.0,-0.10773882853623026,-0.6857710829880166,-0.0,-0.4470545413820137,-0.5593011535446298,0.0
2018-10-15,1.0,-0.08155214861235452,-0.7119516562220233,-0.0,-0.44281557743957034,-0.5613809310653537,0.0
2018-10-16,1.0,-0.07735796249650154,-0.719311502938707,-0.0,-0.4418136020151133,-0.5602854743912679,0.0
2018-10-17,1.0,-0.05774605019230237,-0.6877230845853739,-0.0,-0.4443706593619435,-0.5771007996458316,0.0
2018-10-18,1.0,-0.05695151649324773,-0.6862685410670799,-0.0,-0.4465076378127075,-0.5775957493911887,0.0
2018-10-19,1.0,-0.04447317032921697,-0.6805192662064413,-0.0,-0.4467944662944525,-0.5785637668802772,0.0
2018-10-22,1.0,-0.04674650918924886,-0.690904575307688,-0.0,-0.4450576742645842,-0.5768530272090071,0.0
2018-10-23,1.0,-0.03778103341409816,-0.70904941680284,-0.0,-0.47269961120189335,-0.5978756973009524,0.0
