Date,IWF,IWM,MTUM,SPY,TNDM,VLUE,VXX
2018-09-24,-3.242654212881884,-5.63961860284102,-1.1115002918855807,-4.362911072193033,1.0,-4.102354543685542,0.0
2018-09-25,-3.250778210116731,-5.631712062256809,-1.1250972762645914,-4.356420233463035,1.0,-4.09124513618677,0.0
2018-09-26,-3.2791062328498626,-5.686201489611916,-1.1368090944727558,-4.3906311250489996,1.0,-4.1074088592708735,0.0
2018-09-27,-3.2709349990240093,-5.653523326176069,-1.1313683388639468,-4.373999609603748,1.0,-4.090181534257272,0.0
2018-09-28,-3.326008789452657,-5.819017179384739,-1.1432281262485018,-4.48921294446664,1.0,-4.19836196564123,0.0
2018-10-01,-3.331667333066773,-5.819272291083567,-1.1447421031587364,-4.494602159136345,1.0,-4.20171931227509,0.0
2018-10-02,-3.3803131991051454,-5.994102094773235,-1.1232458816351434,-4.571079926784624,1.0,-4.268863127923531,0.0
2018-10-03,-3.384270578647107,-6.02078239608802,-1.1077832110839447,-4.584352078239609,1.0,-4.277506112469437,0.0
2018-10-04,-3.4047327621379027,-6.001427988576092,-1.1140350877192982,-4.610363117095063,1.0,-4.269073847409221,0.0
2018-10-05,-3.308867886587573,-5.908304846169314,-1.0331791675045243,-4.593203297808164,1.0,-4.265232254172531,0.0
2018-10-08,-3.3374644453474196,-5.962819991873221,-1.0140186915887852,-4.679804957334417,1.0,-4.322836245428687,0.0
2018-10-09,-3.3590686274509807,-6.00326797385621,-1.0179738562091505,-4.705065359477125,1.0,-4.339665032679739,0.0
2018-10-10,-3.3610204081632653,-5.9944897959183665,-1.0222448979591836,-4.703469387755102,1.0,-4.326734693877551,0.0
2018-10-11,-2.9010416666666665,-5.626116071428571,-0.6136532738095237,-4.332217261904762,1.0,-4.128162202380952,0.0
2018-10-12,-3.013683223992502,-5.712839737582005,-0.5971883786316776,-4.3261480787253985,1.0,-4.094470477975633,0.0
2018-10-15,-2.918272794662713,-5.773165307635286,-0.4894366197183098,-4.28169014084507,1.0,-4.0694959229058565,0.0
2018-10-16,-2.908754395706089,-5.786785119378123,-0.47362576346474183,-4.275772718859892,1.0,-4.0634832500462705,0.0
2018-10-17,-2.74124513618677,-5.452423063318005,-0.3560311284046692,-4.143615139724089,1.0,-3.993102228510789,0.0
2018-10-18,-2.7421584263689525,-5.4554315080630875,-0.35973772815878075,-4.160552897395003,1.0,-4.003189792663477,0.0
2018-10-19,-2.6427583823021084,-5.32250259246457,-0.28776356723124785,-4.099550639474594,1.0,-3.9305219495333565,0.0
2018-10-22,-2.6433143054834805,-5.333679294239751,-0.28195813873032344,-4.104653174191316,1.0,-3.934613388687078,0.0
2018-10-23,-2.6464384508990317,-5.329356846473029,-0.2925311203319502,-4.093879668049793,1.0,-3.9266943291839556,0.0
2018-10-24,-2.644593895499224,-5.309881013967926,-0.26470081048456634,-4.094499051560614,1.0,-3.9306777030522504,0.0
2018-10-25,-2.354001898133502,-4.838658652325214,-0.1787409047769693,-3.884055678582727,1.0,-3.562322049984182,0.0
2018-10-26,-2.2852239038851616,-4.78264939928226,-0.08176002496489312,-3.9219847090029645,1.0,-3.5314401622718057,0.0
2018-10-29,-2.202976373120589,-4.769100951212028,-0.018410555385087447,-3.8476526541884013,1.0,-3.5038355323718933,0.0
2018-10-30,-2.1742795830778663,-4.770232985898221,-0.0,-3.851011649294911,1.0,-3.5326486817903127,0.0
2018-10-31,-2.1750113447284827,-4.649674784450158,-0.0,-3.816820450763878,1.0,-3.4847980638330056,0.0
2018-11-01,-2.126521412471826,-4.650488354620586,-0.0,-3.7894815927873786,1.0,-3.4598046581517656,0.0
2018-11-02,-2.107558567850302,-4.490496537498158,-0.0,-3.7527626344482097,1.0,-3.383232650655665,0.0
2018-11-05,-2.0971915894721365,-4.498897220996913,-0.0,-3.7450374944861045,1.0,-3.362740773415674,0.0
2018-11-06,-2.140118870728083,-4.572659732540862,-0.0,-3.7725111441307577,1.0,-3.373551263001486,0.0
2018-11-07,-2.1498278700793296,-4.612782517587188,-0.0,-3.800778326597815,1.0,-3.404430474479869,0.0
2018-11-08,-2.0049562682215742,-4.539212827988338,-0.0,-3.6861516034985424,1.0,-3.3470845481049567,0.0
2018-11-09,-2.0037884307154306,-4.537082908349118,-0.0,-3.684831706250911,1.0,-3.3451843217251933,0.0
2018-11-12,-1.9768644920247163,-4.4421612300617905,-0.0,-3.6575657422043393,1.0,-3.293145566891795,0.0
2018-11-13,-1.8700628053035588,-4.337892533147243,-0.0,-3.560781577110956,1.0,-3.188136775994417,0.0
2018-11-14,-1.8690309969282324,-4.340826584752862,-0.0,-3.562831611281765,1.0,-3.189891091873778,0.0
2018-11-15,-1.8593467685892984,-4.329534398888117,-0.0,-3.554412786657401,1.0,-3.155246699096595,0.0
2018-11-16,-1.834413346201572,-4.277402454156901,-0.0,-3.5275058596442856,1.0,-3.1480766579346477,0.0
2018-11-19,-1.8400882271850014,-4.274607113316791,-0.0,-3.5242624758753793,1.0,-3.146677695064792,0.0
2018-11-20,-1.713166779203241,-4.196083727211343,-0.0,-3.4677920324105336,1.0,-3.1272113436866977,0.0
2018-11-21,-1.7015319598520868,-4.120443740095087,-0.0,-3.3977812995245644,1.0,-2.9867934495509774,0.0
2018-11-23,-1.6977115486961147,-4.174028738690793,-0.0,-3.423363491218733,1.0,-3.009845662586482,0.0
2018-11-26,-1.6938612808929048,-4.175790592612278,-0.0,-3.415625830454425,1.0,-3.001993090619187,0.0
2018-11-27,-1.6482794851589178,-4.159705805095876,-0.0,-3.3691883372734432,1.0,-2.956527449435251,0.0
2018-11-28,-1.6477855171507423,-4.1707188855302935,-0.0,-3.3674595873307926,1.0,-2.9563674595873306,0.0
2018-11-29,-1.5126363053239256,-4.079409878127004,-0.0,-3.307633098139833,1.0,-2.929057087876844,0.0
2018-11-30,-1.515350032113038,-4.086833654463712,-0.0,-3.317405266538214,1.0,-2.9254977520873475,0.0
2018-12-03,-1.5082915541843425,-4.0947422547885335,-0.0,-3.3225350302095387,1.0,-2.929425376012341,0.0
