Date,BXMX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18441647548189283,-0.2899290293531165,-0.0796543665172924,-0.3017860588777632,-0.2883423744076845,0.0
2018-09-25,1.0,-0.18467145460392326,-0.2896559116732769,-0.08009432951012971,-0.3015114160145782,-0.28794082967091866,0.0
2018-09-26,1.0,-0.18449432902382026,-0.2895092300765421,-0.0796080701528698,-0.30170879698119685,-0.2886944962586565,0.0
2018-09-27,1.0,-0.18479379233473375,-0.2885621195232787,-0.07988939380948298,-0.3016590928577553,-0.2886049901397582,0.0
2018-09-28,1.0,-0.18710023610216786,-0.28795878943979397,-0.07967374973170209,-0.30244687701223444,-0.2892036917793518,0.0
2018-10-01,1.0,-0.18793344068706386,-0.2873215244229737,-0.07950617283950617,-0.30303811057434243,-0.28927536231884055,0.0
2018-10-02,1.0,-0.19077956179243252,-0.27093108346605826,-0.0855753088545478,-0.30924196117257113,-0.29579010804528433,0.0
2018-10-03,1.0,-0.19061451071520785,-0.26818142697306135,-0.0852267837163267,-0.3101600826232894,-0.2974868749462088,0.0
2018-10-04,1.0,-0.1949590693666523,-0.2631408875484705,-0.08554502369668247,-0.3162214562688496,-0.2943558810857389,0.0
2018-10-05,1.0,-0.19123993558776167,-0.2596886741814278,-0.08208266237251745,-0.31785292538915727,-0.29625335480407944,0.0
2018-10-08,1.0,-0.19088080678038835,-0.25904945821263814,-0.0815577727711619,-0.31812037335049886,-0.29606265422165,0.0
2018-10-09,1.0,-0.19354422762829881,-0.2598426889022608,-0.08662855669216883,-0.31627697068683913,-0.29278775896157483,0.0
2018-10-10,1.0,-0.19334594222833562,-0.26010144429160936,-0.08622764786795048,-0.31630416093535074,-0.29326427097661617,0.0
2018-10-11,1.0,-0.18591639187320497,-0.255760025529199,-0.07709818104456972,-0.3145622806084459,-0.29411764705882354,0.0
2018-10-12,1.0,-0.18731793810951156,-0.2509604424367797,-0.07628657069278506,-0.3089247266433065,-0.2873728205344704,0.0
2018-10-15,1.0,-0.1920725903678166,-0.24444256435203793,-0.08136804923962013,-0.31013769326762414,-0.2870619090928319,0.0
2018-10-16,1.0,-0.19043485624761824,-0.25286869627810477,-0.0753694372697633,-0.3110259558792396,-0.2874200787568277,0.0
2018-10-17,1.0,-0.18769613108401256,-0.24607737831974894,-0.07327141382868937,-0.31035572123586275,-0.28870495566647714,0.0
2018-10-18,1.0,-0.18872259696458685,-0.24803962900505902,-0.07225969645868466,-0.3097386172006745,-0.2891441821247892,0.0
2018-10-19,1.0,-0.1846082891343997,-0.24234292782121966,-0.06895033647093353,-0.3112513364499696,-0.28923921930357854,0.0
2018-10-22,1.0,-0.18611623616236164,-0.238929889298893,-0.06486917141898692,-0.31459661187520965,-0.29207900033545786,0.0
2018-10-23,1.0,-0.18615036269864563,-0.2388779403748585,-0.0650132081009686,-0.31445762925070236,-0.29200385760409237,0.0
2018-10-24,1.0,-0.18553366656865627,-0.24184063510732137,-0.06666106607300373,-0.3148023690511194,-0.29142689125047255,0.0
2018-10-25,1.0,-0.17558718420128488,-0.2258877481460059,-0.06577289347022247,-0.31698651077279016,-0.28151789956413065,0.0
