Date,ALEC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-07,1.0,-0.6222600795002838,-1.0203293583191368,-3.4827938671209537,-3.104031800113572,-2.127768313458262,0.0
2019-10-08,1.0,-0.6260661890139885,-1.0385533947458205,-3.475833049016263,-3.1020129648584103,-2.1302172182417833,0.0
2019-10-09,1.0,-0.6031197771587744,-1.0397771587743734,-3.345849582172702,-3.0861281337047357,-2.0671866295264625,0.0
2019-10-10,1.0,-0.5734444444444445,-1.0915555555555556,-3.3196666666666665,-3.08,-2.0464444444444445,0.0
2019-10-11,1.0,-0.571444407493626,-1.1026493736836271,-3.3204744485090343,-3.068285112515242,-2.0225030484425233,0.0
2019-10-14,1.0,-0.5828193832599119,-1.0655286343612334,-3.3199339207048455,-3.073237885462555,-1.9716960352422905,0.0
2019-10-15,1.0,-0.5866740088105726,-1.0672907488986783,-3.3177312775330394,-3.0702643171806163,-1.9712555066079296,0.0
2019-10-16,1.0,-0.568189323059989,-1.0670335718216841,-3.370390753990094,-3.069345074298294,-1.9321959273527793,0.0
2019-10-17,1.0,-0.5674812857771906,-1.0920299427564948,-3.348304711580801,-3.0838837516512547,-1.9166666666666665,0.0
2019-10-18,1.0,-0.5719788685890381,-1.0745102355271847,-3.347017389390271,-3.0837552278230245,-1.9285714285714286,0.0
2019-10-21,1.0,-0.5631943680563194,-1.072489275107249,-3.3475965240347594,-3.0856891431085685,-1.930920690793092,0.0
2019-10-22,1.0,-0.5616423317597979,-1.0668569546602262,-3.343177077615545,-3.080360083433966,-1.9260072455812933,0.0
2019-10-23,1.0,-0.48566029346376166,-1.0931525122276566,-3.3060248999555357,-3.1515117830146733,-2.079702089817697,0.0
2019-10-24,1.0,-0.4886616273899511,-1.0939306358381502,-3.30380168963984,-3.150400177856825,-2.0792574477545576,0.0
2019-10-25,1.0,-0.466303985788831,-1.1061396691462195,-3.258021538803153,-3.1704230043299653,-2.1015876540468525,0.0
2019-10-28,1.0,-0.48340179860108806,-1.124791828577773,-3.2662373709337182,-3.1924059065171537,-2.0356389474852894,0.0
2019-10-29,1.0,-0.46812991907770757,-1.1218268484646934,-3.2733621549717324,-3.2045227801795813,-2.0174038354949566,0.0
2019-10-30,1.0,-0.43812709030100333,-1.1470457079152732,-3.3148272017837233,-3.2265328874024526,-2.0216276477146042,0.0
2019-10-31,1.0,-0.4423870607919688,-1.1451199107640826,-3.319241494701618,-3.228220858895706,-2.0195203569436697,0.0
2019-11-01,1.0,-0.43772281639928695,-1.1409313725490196,-3.3147281639928696,-3.2341800356506236,-2.0131461675579323,0.0
2019-11-04,1.0,-0.46203662349263064,-1.0928986154533273,-3.384546672621706,-3.259714158106297,-1.9666145600714606,0.0
2019-11-05,1.0,-0.46432160804020095,-1.0927973199329983,-3.3790061418202124,-3.259073143495254,-1.9718592964824118,0.0
2019-11-06,1.0,-0.45732455651009707,-1.093607051210532,-3.3691844248577487,-3.259622894120272,-1.9773513332589534,0.0
2019-11-07,1.0,-0.45904931934835974,-1.0913858513724615,-3.37089935282303,-3.2587592055344783,-1.9780182994867217,0.0
2019-11-08,1.0,-0.4607645875251509,-1.0895372233400402,-3.375251509054326,-3.2669349429912815,-1.985691929353901,0.0
2019-11-11,1.0,-0.4703365979961724,-1.0915231340763256,-3.3750985027580773,-3.321963300686705,-1.9985365304514238,0.0
2019-11-12,1.0,-0.4682360892092814,-1.091124127055643,-3.376999324172111,-3.327100698355485,-2.0003379139445823,0.0
2019-11-13,1.0,-0.4642897438790477,-1.0953401782692092,-3.381699198916845,-3.3337470382489,-2.007672345706871,0.0
2019-11-14,1.0,-0.4626004300101844,-1.1016181962204368,-3.361321715514315,-3.3527215118252798,-2.037682471426955,0.0
2019-11-15,1.0,-0.46316623288446307,-1.1026366413941382,-3.3620006789634487,-3.350231979178454,-2.0380219531515222,0.0
2019-11-18,1.0,-0.44858336155322265,-1.111412123264477,-3.3642623320916583,-3.341799300146743,-2.0217857545998417,0.0
2019-11-19,1.0,-0.4483576024381984,-1.113218196184671,-3.363359295631561,-3.341347781916695,-2.02167287504233,0.0
2019-11-20,1.0,-0.44489657511020686,-1.0927998191477337,-3.354131343958404,-3.356731095286538,-2.0545947778908102,0.0
2019-11-21,1.0,-0.45174095497334693,-1.1078598162640354,-3.3771123965067487,-3.3765453101962115,-2.028581150051038,0.0
2019-11-22,1.0,-0.45274252039891205,-1.0929283771532186,-3.3533544877606527,-3.386219401631913,-2.0475974614687216,0.0
2019-11-25,1.0,-0.45959424232120594,-1.093165589935396,-3.3538478975405193,-3.3846764139181684,-2.042729230420492,0.0
2019-11-26,1.0,-0.44864559819413097,-1.0317155756207677,-3.3501128668171556,-3.3993227990970656,-2.0569977426636568,0.0
2019-11-27,1.0,-0.46485051367886415,-1.0412097425834008,-3.506521990072723,-3.486782869675632,-2.044095578898765,0.0
2019-11-29,1.0,-0.46512702078521945,-1.042147806004619,-3.5078521939953813,-3.4882217090069285,-2.0441108545034643,0.0
2019-12-02,1.0,-0.45947192436296547,-1.034128905799608,-3.5047849648333913,-3.4927937276605556,-2.0388562204542833,0.0
2019-12-03,1.0,-0.4152308752584425,-1.0173443602113486,-3.469905812083621,-3.5103376981392143,-2.073397656788422,0.0
2019-12-04,1.0,-0.39275345488328883,-1.0787364998258042,-3.607711067239577,-3.5238648240622457,-2.009987225641621,0.0
