Date,IWF,IWM,MTUM,NX,SPY,VLUE,VXX
2018-09-24,-0.7394977984053315,-1.8218493395215996,-0.0,1.0,-1.211650600975842,-1.1772581220992504,0.0
2018-09-25,-0.7427450047573739,-1.8195765937202661,-0.0,1.0,-1.2100975261655567,-1.1742982873453853,0.0
2018-09-26,-0.7441417866063994,-1.8210419888188414,-0.0,1.0,-1.2101819911978113,-1.1720589984536693,0.0
2018-09-27,-0.7451271690040409,-1.8167934395055858,-0.0,1.0,-1.2093534585215115,-1.1712027573092463,0.0
2018-09-28,-0.7462553495007133,-1.8160960532572514,-0.0,1.0,-1.2097004279600572,-1.1714812173086067,0.0
2018-10-01,-0.7473102300422042,-1.8147179456696192,-0.0006538667300719253,1.0,-1.2101289900731143,-1.1714319681388576,0.0
2018-10-02,-0.7478395613564576,-1.8331247392574053,-0.0,1.0,-1.2088920674652839,-1.1699147744204066,0.0
2018-10-03,-0.7465459742734635,-1.8209861838970938,-0.0,1.0,-1.2117675083373034,-1.175917103382563,0.0
2018-10-04,-0.7498661272089011,-1.813351579698935,-0.0,1.0,-1.2152674480871064,-1.1714761706431844,0.0
2018-10-05,-0.7211077578554944,-1.8011716669625422,-0.0,1.0,-1.2177051896561926,-1.177525297354873,0.0
2018-10-08,-0.7161994688698732,-1.794983771023901,-0.0,1.0,-1.2165830628503984,-1.173679551490115,0.0
2018-10-09,-0.7085849615156897,-1.7997631734754291,-0.0,1.0,-1.2256956779159267,-1.1866193013617525,0.0
2018-10-10,-0.708417189534746,-1.799573813188114,-0.0,1.0,-1.2257014324612288,-1.185568841008642,0.0
2018-10-11,-0.5597092419522326,-1.8050074997115495,-0.0,1.0,-1.1881850698050076,-1.2161647628937349,0.0
2018-10-12,-0.559954622802042,-1.7914350538854225,-0.0,1.0,-1.1484968803176403,-1.172206466250709,0.0
2018-10-15,-0.5019135203061632,-1.8731935797109727,-0.0,1.0,-1.1491974638715943,-1.1876392300222767,0.0
2018-10-16,-0.494540673412222,-1.8877836849025325,-0.0,1.0,-1.1478877265191791,-1.1863602583890698,0.0
