Date,IWF,IWM,MTUM,NVDA,SPY,VLUE,VXX
2018-09-24,-0.6078965282505105,-0.6660237500945465,-0.5036305877013842,1.0,-0.5438696013917252,-0.460403902881779,0.0
2018-09-25,-0.6108989146465983,-0.663956434595167,-0.5080739704269561,1.0,-0.5419203569942896,-0.4569073100631547,0.0
2018-09-26,-0.6121283195884089,-0.6655443746689869,-0.510554588787168,1.0,-0.5414995838692592,-0.4532798668381629,0.0
2018-09-27,-0.6130373955458086,-0.6624191779785988,-0.5113623473361818,1.0,-0.541309033160661,-0.4530192460392483,0.0
2018-09-28,-0.61153962492438,-0.6635284331518452,-0.511607683000605,1.0,-0.5412129461584997,-0.45315335753176045,0.0
2018-10-01,-0.6144448713023435,-0.6918555512869766,-0.5122550902804456,1.0,-0.554014598540146,-0.4691509796388783,0.0
2018-10-02,-0.6206032088861462,-0.6621798827522369,-0.5236423943227398,1.0,-0.5673403270595495,-0.48302992903424863,0.0
2018-10-03,-0.6204928464000616,-0.661331996452123,-0.5235432493926189,1.0,-0.5675446376923373,-0.4834753769619375,0.0
2018-10-04,-0.6230291816044101,-0.6564126286573378,-0.5239196638525886,1.0,-0.5709880112563125,-0.4805520218958406,0.0
2018-10-05,-0.6194176251105897,-0.6529984228949495,-0.5204831326691542,1.0,-0.5722583375004809,-0.48144016617302,0.0
2018-10-08,-0.6216153668132377,-0.6575252642135309,-0.5222170793797732,1.0,-0.5723597932577336,-0.4834143331019054,0.0
2018-10-09,-0.623461315840247,-0.6578429480995562,-0.5257958711171137,1.0,-0.5708277059617982,-0.48080262396295587,0.0
2018-10-10,-0.6241030784661677,-0.6569709127382146,-0.5266568937581977,1.0,-0.5709436000308618,-0.4790525422421109,0.0
2018-10-11,-0.6081014200327407,-0.651159249248106,-0.5075950812806944,1.0,-0.561845661857083,-0.4783568736437355,0.0
2018-10-12,-0.6112794485266269,-0.647034315582153,-0.508105446557079,1.0,-0.5535565487463071,-0.46761608969017504,0.0
2018-10-15,-0.6182163187855787,-0.6398861480075901,-0.5151802656546489,1.0,-0.5550664136622391,-0.4667172675521822,0.0
2018-10-16,-0.6278607725518665,-0.6254155045275666,-0.5312726855920223,1.0,-0.5619149505215298,-0.47430558208841167,0.0
2018-10-17,-0.6184982031397769,-0.6017401172687725,-0.5233591829014564,1.0,-0.5598638169094005,-0.4793644789105353,0.0
2018-10-18,-0.6196964535785927,-0.6039892509746035,-0.5223117974338595,1.0,-0.5591007153400703,-0.47976988001968135,0.0
2018-10-19,-0.6111487503763925,-0.5924420355314665,-0.5156202950918397,1.0,-0.5639491117133393,-0.4808039747064137,0.0
2018-10-22,-0.6086165738319883,-0.615437080823008,-0.530521768784813,1.0,-0.557879580159903,-0.47671554696676904,0.0
2018-10-23,-0.6108290391027584,-0.6149211882388602,-0.5355031827826615,1.0,-0.5535768414671113,-0.4741967262806912,0.0
2018-10-24,-0.611208539839878,-0.6284025924513916,-0.5415935951200915,1.0,-0.5566908120472742,-0.47449485322150214,0.0
2018-10-25,-0.6100521249476848,-0.625803751474337,-0.5416809344443176,1.0,-0.5558726172811324,-0.47136932618042077,0.0
2018-10-26,-0.6030413073082161,-0.6190422151611439,-0.5329853230443335,1.0,-0.5601830836737782,-0.46746860341957935,0.0
2018-10-29,-0.6028883596083323,-0.6195606971381044,-0.5324184340856678,1.0,-0.559487353975275,-0.46625836452308034,0.0
2018-10-30,-0.6345984787677256,-0.6292091885487139,-0.5464969613576425,1.0,-0.5661812483277913,-0.4457057676871919,0.0
