Date,CVM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-5.493033565547816,-8.158961367954403,-3.318872704243192,-6.8796706776440795,-6.8150728309056365,0.0
2018-09-25,1.0,-5.4988920544476105,-8.149730927508706,-3.3308008863564416,-6.872427983539095,-6.803735359290915,0.0
2018-09-26,1.0,-5.499208610319722,-8.149097815764483,-3.332383665716999,-6.872111427666983,-6.802785691674581,0.0
2018-09-27,1.0,-5.5028445006321105,-8.108723135271807,-3.3372313527180784,-6.863780025284449,-6.792667509481668,0.0
2018-09-28,1.0,-5.51171627612413,-8.135528815706143,-3.3252058264724513,-6.882837238758708,-6.81000633312223,0.0
2018-10-01,1.0,-5.523628290516968,-8.145258483983508,-3.3292102759276876,-6.8966064065968915,-6.821122740247383,0.0
2018-10-02,1.0,-5.542766295707472,-8.128775834658187,-3.3478537360890304,-6.926550079491256,-6.850556438791733,0.0
2018-10-03,1.0,-5.527751347922613,-8.085949888994609,-3.3339676498572786,-6.918807484934982,-6.849349825562956,0.0
2018-10-04,1.0,-5.550015878056526,-8.071451254366467,-3.3432835820895526,-6.946014607812005,-6.8453477294379175,0.0
2018-10-05,1.0,-5.469361970941251,-7.9990524320909655,-3.274162981680354,-6.962728995578016,-6.880290587492103,0.0
2018-10-08,1.0,-5.435124096764059,-7.948476280238769,-3.2387684574300977,-6.946277097078228,-6.848570530945649,0.0
2018-10-09,1.0,-5.4257456828885395,-7.944427001569857,-3.2232339089481945,-6.948822605965462,-6.855259026687597,0.0
2018-10-10,1.0,-5.42314930991217,-7.935069008782936,-3.2220828105395234,-6.943851944792974,-6.843475533249687,0.0
2018-10-11,1.0,-4.941350710900474,-7.635367298578199,-2.723637440758294,-6.618779620853081,-6.701421800947868,0.0
2018-10-12,1.0,-4.835910652920962,-7.400343642611683,-2.624570446735395,-6.3548109965635735,-6.421248568155785,0.0
2018-10-15,1.0,-4.6915492957746485,-7.403943661971832,-2.4698591549295776,-6.258028169014085,-6.345633802816902,0.0
2018-10-16,1.0,-4.674725892606129,-7.415518695529942,-2.4450379533314592,-6.24543154343548,-6.333145909474276,0.0
2018-10-17,1.0,-4.617539927150462,-7.288596245446903,-2.3404314934155224,-6.308489773045671,-6.463715326421967,0.0
2018-10-18,1.0,-4.622683885457608,-7.297024143739472,-2.346715328467153,-6.329028635597979,-6.47866367209433,0.0
2018-10-19,1.0,-4.532723239046034,-7.1849694952856344,-2.274819744869662,-6.298668885191347,-6.440377149195784,0.0
2018-10-22,1.0,-4.522400442477877,-7.155143805309735,-2.249723451327434,-6.2934181415929205,-6.434181415929204,0.0
2018-10-23,1.0,-4.525207756232687,-7.17590027700831,-2.235180055401662,-6.312188365650969,-6.4523545706371195,0.0
2018-10-24,1.0,-4.504972375690607,-7.173204419889503,-2.1845303867403314,-6.309944751381216,-6.451657458563536,0.0
2018-10-25,1.0,-4.195486748884807,-6.7449488323274736,-2.01049593282603,-6.158488585673052,-6.130411965363422,0.0
2018-10-26,1.0,-4.0686375321336765,-6.618251928020566,-1.8658097686375323,-6.122622107969152,-6.031876606683805,0.0
2018-10-29,1.0,-3.957646462084707,-6.598782652802434,-1.7765660664468679,-6.028911995942176,-5.999492772001014,0.0
2018-10-30,1.0,-3.922881785895485,-6.609589041095891,-1.7478437341451043,-6.0410958904109595,-6.045915778792491,0.0
2018-10-31,1.0,-3.8980971457185776,-6.460691036554832,-1.7250876314471706,-5.981722583875814,-5.9719579369053575,0.0
2018-11-01,1.0,-3.8194892139846273,-6.460699231341434,-1.6407141086040171,-5.940242995288867,-5.934292090255393,0.0
2018-11-02,1.0,-3.776587977610124,-6.267461669505962,-1.5689948892674617,-5.887077147724507,-5.836699926989534,0.0
2018-11-05,1.0,-3.7579509589706244,-6.280650643360039,-1.5615440640932268,-5.873270211216315,-5.8040786598689005,0.0
2018-11-06,1.0,-3.773676542010685,-6.294803302574065,-1.556580864497329,-5.8669256920835355,-5.791646430305973,0.0
2018-11-07,1.0,-3.772804670396497,-6.306251520311359,-1.5782048163463875,-5.869374847968864,-5.798345901240574,0.0
2018-11-08,1.0,-3.712992414974309,-6.42745289943724,-1.4673354538781505,-5.930266699290434,-5.929777342794226,0.0
2018-11-09,1.0,-3.7097089752995838,-6.42528735632184,-1.4651504035216434,-5.928588897040841,-5.927121545610173,0.0
2018-11-12,1.0,-3.6592717627200386,-6.2949119845671575,-1.4268145647455992,-5.8808777429467085,-5.852182300458162,0.0
2018-11-13,1.0,-3.561457837065269,-6.248213434969032,-1.3303954263935205,-5.863030014292519,-5.817770366841352,0.0
2018-11-14,1.0,-3.560609668968802,-6.246963562753036,-1.3284115265539416,-5.862348178137652,-5.816861157418433,0.0
2018-11-15,1.0,-3.5524691358024696,-6.236467236467237,-1.3181386514719848,-5.856837606837607,-5.777540360873695,0.0
2018-11-16,1.0,-3.5193305044790195,-6.171852899575672,-1.2864214992927865,-5.826968411126828,-5.76944837340877,0.0
