Date,IWF,IWM,MTUM,REAL,SPY,VLUE,VXX
2020-02-26,-0.969786460699682,-1.8957292139936393,-3.466038164470695,1.0,-2.488187187641981,-1.5387323943661975,0.0
2020-02-27,-1.0290710878946174,-1.8599818305700657,-3.4448103565750627,1.0,-2.511810129457188,-1.510106745400863,0.0
2020-02-28,-0.8278992983904251,-1.96553858852662,-3.0335328105654145,1.0,-2.102455633512175,-1.3882583574081717,0.0
2020-03-02,-0.9196982224059529,-1.8650268706076893,-3.00609756097561,1.0,-2.1453079785035136,-1.3987184787102107,0.0
2020-03-03,-0.7807669731950695,-2.084621404813148,-2.6246331441987865,1.0,-1.9594991195460771,-1.3332028957151243,0.0
2020-03-04,-0.6265163816983474,-2.179482281020155,-2.7047473493170315,1.0,-1.8486961505396884,-1.1926640557837425,0.0
2020-03-05,-0.5502975083674229,-2.4793603570100404,-2.453328374860543,1.0,-1.7116028263294907,-1.1024544440312385,0.0
2020-03-06,-0.4855621728929796,-2.435841905793178,-2.4626421223605846,1.0,-1.606749684172532,-1.0327558202490525,0.0
2020-03-09,-0.48160143949617634,-2.4053981106612685,-2.495816464237517,1.0,-1.6016194331983806,-1.0123256860098966,0.0
2020-03-10,-1.0188853773221305,-1.40746165112156,-2.2270870269020273,1.0,-1.4268095274801509,-0.6280736915131426,0.0
2020-03-11,-0.7935688472601226,-1.6628069916660522,-2.2242790766280702,1.0,-1.2334242938269786,-0.46102219927723287,0.0
2020-03-12,-0.8192305035573668,-1.3865441735166124,-2.058506596670581,1.0,-1.2062582026662982,-0.43689991020239,0.0
2020-03-13,-0.8807360819939436,-0.986722571628232,-1.5418704868390403,1.0,-1.0097833682739343,-0.4043792219892849,0.0
2020-03-16,-0.7225806451612904,-1.324860956618465,-1.5240266963292548,1.0,-0.9328142380422693,-0.05745272525027809,0.0
2020-03-17,-0.6930650065151295,-0.9157859176680663,-1.0161189131798658,1.0,-0.8528063317407462,-0.3482457410356643,0.0
2020-03-18,-0.6803087331459337,-0.9158130449282958,-0.9778455381390253,1.0,-0.8391538424889229,-0.3512792415074563,0.0
2020-03-19,-0.7544019138755982,-0.728755980861244,-0.984066985645933,1.0,-0.8829665071770336,-0.43449760765550244,0.0
2020-03-20,-0.754556326237742,-0.7121262855776129,-0.9905285816790241,1.0,-0.8849079167663237,-0.4414733317388184,0.0
2020-03-23,-0.7452545093965436,-0.7611672490320144,-0.9202002077627727,1.0,-0.8666540749834735,-0.4286523751062423,0.0
2020-03-24,-0.7806863286941667,-0.7679746771843441,-1.056071948952419,1.0,-0.953524594282269,-0.4661106365874491,0.0
2020-03-25,-0.7778519648988935,-0.752861503243037,-0.8931228538725676,1.0,-0.9388115223197253,-0.4064765356734071,0.0
2020-03-26,-0.7838172016420198,-0.7810969879816013,-0.9684455215391463,1.0,-0.9883278104752955,-0.42415549730451557,0.0
2020-03-27,-0.7686689881988779,-0.7578835364674018,-0.931950087057458,1.0,-0.9769781389050107,-0.4009963242406655,0.0
2020-03-30,-0.7531642523701815,-0.7469079358968189,-0.9538476346311179,1.0,-0.9773810096732277,-0.38125030078444583,0.0
