Date,BCE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11753589548713103,-0.3195365938828749,-0.0,-0.30698601154407085,-0.3100466281864306,0.0
2018-09-25,1.0,-0.11513639456483639,-0.3231613022948927,-0.0,-0.3096971071568486,-0.3139033794511227,0.0
2018-09-26,1.0,-0.11648102310231023,-0.32452557755775574,-0.0,-0.30985973597359734,-0.3118399339933994,0.0
2018-09-27,1.0,-0.12342459800086919,-0.31764657188386003,-0.0,-0.3137145340535171,-0.3147078909790775,0.0
2018-09-28,1.0,-0.12237885280175535,-0.3189881802562669,-0.0,-0.3137924610321058,-0.31486886501480055,0.0
2018-10-01,1.0,-0.12255460097298418,-0.3189524893903323,-0.0,-0.31381844529551806,-0.3148742366214678,0.0
2018-10-02,1.0,-0.12686691005642217,-0.305882841022237,-0.0,-0.32029953534683037,-0.3213159641553269,0.0
2018-10-03,1.0,-0.12680438028870086,-0.3047121287539406,-0.0,-0.32057823129251706,-0.3219055915048946,0.0
2018-10-04,1.0,-0.12983860930174668,-0.30070945525453263,-0.0,-0.3245031738787703,-0.3194000746795005,0.0
2018-10-05,1.0,-0.12388429752066116,-0.2966735537190083,-0.0,-0.325,-0.32055785123966946,0.0
2018-10-08,1.0,-0.12315504820097846,-0.29581157236339617,-0.0,-0.3251037301570918,-0.32019073963214495,0.0
2018-10-09,1.0,-0.12087367617002828,-0.29562955469766095,-0.0,-0.32601829104647084,-0.3219306756952043,0.0
2018-10-10,1.0,-0.1191178302944719,-0.30122108236075923,-0.0,-0.3275740333097977,-0.3287577355982888,0.0
2018-10-11,1.0,-0.07944501749489312,-0.29207370102946834,-0.0,-0.3152114556155573,-0.33580082114758414,0.0
2018-10-12,1.0,-0.07947337881910402,-0.28636027131395186,-0.0,-0.30742912023049684,-0.327597590988215,0.0
2018-10-15,1.0,-0.06931167301973776,-0.29387111581216196,-0.0,-0.30508711357694535,-0.3274392799409264,0.0
2018-10-16,1.0,-0.0620649535616136,-0.3108463220396782,-0.0,-0.305530480832882,-0.3275561172293434,0.0
2018-10-17,1.0,-0.05501618122977347,-0.29743681378680487,-0.0,-0.3032938233367086,-0.3296801477157663,0.0
2018-10-18,1.0,-0.05501727355755867,-0.2976412659333677,-0.0,-0.303121153158877,-0.3296866934042807,0.0
2018-10-19,1.0,-0.04275984601717501,-0.28927055572006716,-0.0,-0.30873556411015696,-0.3333925574967921,0.0
2018-10-22,1.0,-0.04280394564829854,-0.280315334944341,-0.0,-0.3168997345798835,-0.340747930119241,0.0
2018-10-23,1.0,-0.04193088142041852,-0.2805168040583386,-0.0,-0.3178305326569436,-0.34133243500317056,0.0
2018-10-24,1.0,-0.0406648857227664,-0.27804491936281783,-0.0,-0.31795785099436036,-0.34215889977243497,0.0
2018-10-25,1.0,-0.022550154320987656,-0.25420524691358026,-0.0,-0.324266975308642,-0.3279899691358025,0.0
2018-10-26,1.0,-0.01103067907618063,-0.24845838599716571,-0.0,-0.331379983913593,-0.32417940173886406,0.0
2018-10-29,1.0,-0.011427256691464069,-0.24756499731574508,-0.0,-0.3340938722294654,-0.3242388219955518,0.0
