Date,IWF,IWM,MTUM,SPY,TNET,VLUE,VXX
2018-09-24,-0.4748315650894448,-0.9076124835437157,-0.25989313095330285,-0.655657089754511,1.0,-0.5740726399752188,0.0
2018-09-25,-0.48053358151078024,-0.9063130138048705,-0.2668295331161781,-0.6541414611447185,1.0,-0.569955017837754,0.0
2018-09-26,-0.4853839866100969,-0.9140555058191584,-0.2727414269588571,-0.6562609474134911,1.0,-0.5639718189249152,0.0
2018-09-27,-0.492942369180379,-0.9031817827341495,-0.2767293145129845,-0.659791000545894,1.0,-0.5665600873430554,0.0
2018-09-28,-0.49002849002849,-0.9072708113804004,-0.27740701713304455,-0.6605003317332084,1.0,-0.5675760059321703,0.0
2018-10-01,-0.48997258127692905,-0.9147277712495102,-0.27814336075205637,-0.662788875832354,1.0,-0.5713670191931061,0.0
2018-10-02,-0.4902962206332993,-0.9331342814488882,-0.2734344307378015,-0.6618213247426731,1.0,-0.5700086430423509,0.0
2018-10-03,-0.4905104326299658,-0.9337891469212936,-0.2737632126999096,-0.6616762937639986,1.0,-0.5697276906754686,0.0
2018-10-04,-0.49019068213092193,-0.9352467072931,-0.2740318458816591,-0.6611362296048752,1.0,-0.5709848633772361,0.0
2018-10-05,-0.4776668623996868,-0.9287923272656097,-0.26232139361910356,-0.6675278919553729,1.0,-0.5783127813662164,0.0
2018-10-08,-0.47808374789455127,-0.9300795174115711,-0.26236828704610443,-0.6677895726428766,1.0,-0.5787927455051118,0.0
2018-10-09,-0.4770652982882212,-0.9305495710760311,-0.2598221630302793,-0.6690822202201417,1.0,-0.5805554467468369,0.0
2018-10-10,-0.47995139732685294,-0.9293693411202131,-0.26265041351467877,-0.67126562928703,1.0,-0.5762944381295809,0.0
2018-10-11,-0.45516048433596007,-0.9214683836248319,-0.2366327118969825,-0.6581971939265808,1.0,-0.5724389775129732,0.0
2018-10-12,-0.4564051865089927,-0.9150918285866383,-0.23392524430586714,-0.6431423248032245,1.0,-0.5538613635499449,0.0
2018-10-15,-0.43430920927399397,-0.9612822172307458,-0.19914721894392204,-0.6481136026192561,1.0,-0.5642821791601629,0.0
2018-10-16,-0.4324447829398324,-0.9694211728865195,-0.19318354912414318,-0.6486290936785987,1.0,-0.5643945163747144,0.0
2018-10-17,-0.4163670411985019,-0.9322097378277153,-0.1799625468164794,-0.6448314606741572,1.0,-0.5719475655430711,0.0
2018-10-18,-0.4163295880149812,-0.9323970037453183,-0.17981273408239698,-0.6448689138576779,1.0,-0.5719475655430711,0.0
2018-10-19,-0.40507787814579377,-0.9233485744024384,-0.17025389390728968,-0.6478197836511653,1.0,-0.5707966246607932,0.0
2018-10-22,-0.4053230243104602,-0.9226079845364658,-0.1707679726414393,-0.6476098431343396,1.0,-0.5708869229053603,0.0
2018-10-23,-0.41129122414756847,-0.9247997018818708,-0.18028693869945966,-0.641587479038569,1.0,-0.5684740078256009,0.0
2018-10-24,-0.41298517470014157,-0.9219623035089027,-0.17242792222305,-0.6449005438426582,1.0,-0.5726365194069881,0.0
2018-10-25,-0.3927271403610949,-0.8899970879440885,-0.17202970297029702,-0.6378858474082703,1.0,-0.5474301106581246,0.0
2018-10-26,-0.37965502309468824,-0.8808097575057737,-0.15083718244803695,-0.6536157621247114,1.0,-0.5436273094688222,0.0
2018-10-29,-0.365155217016384,-0.8923541247484909,-0.1381862604196608,-0.6472765162402989,1.0,-0.5500503018108652,0.0
2018-10-30,-0.3523422321364323,-0.8965963877095776,-0.1280492192559545,-0.6528027631862992,1.0,-0.5681082247967187,0.0
2018-10-31,-0.3531116916580181,-0.8839423111333786,-0.12994309845041693,-0.6487134523852127,1.0,-0.5630032566295673,0.0
2018-11-01,-0.3324820143884892,-0.9246762589928057,-0.0997841726618705,-0.6633812949640288,1.0,-0.5767985611510791,0.0
2018-11-02,-0.3432488545246277,-0.8924684994272624,-0.09181701030927834,-0.6781214203894617,1.0,-0.573954753722795,0.0
2018-11-05,-0.3396435728600057,-0.9027340395075865,-0.09161179501860864,-0.6788935012882907,1.0,-0.5657028342399083,0.0
2018-11-06,-0.36131242112853795,-0.9258698395529116,-0.07906976744186048,-0.6802595997836669,1.0,-0.559040923021453,0.0
2018-11-07,-0.3606646003027464,-0.9255027751748001,-0.08001153319397392,-0.6794132487565776,1.0,-0.5584949181864052,0.0
