Date,CS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25591480323322907,-0.4475780282022538,-0.12903416130745177,-0.5636025724231518,-0.5538969850728657,0.0
2018-09-25,1.0,-0.25490601725972334,-0.45073294715687434,-0.12613784135240574,-0.5662607873271072,-0.557394491074595,0.0
2018-09-26,1.0,-0.25487646293888166,-0.450762501477716,-0.12613784135240574,-0.566290341647949,-0.5573649367537534,0.0
2018-09-27,1.0,-0.25573015122873344,-0.4479560491493383,-0.12691989603024573,-0.5660444234404537,-0.5570356805293005,0.0
2018-09-28,1.0,-0.2528317511016473,-0.45242953893472926,-0.12752491645225209,-0.5667051134179163,-0.557921509478603,0.0
2018-10-01,1.0,-0.26161055396370586,-0.45681112702960835,-0.1255670964660936,-0.576737106017192,-0.563962511938873,0.0
2018-10-02,1.0,-0.2617547840105084,-0.45833955279577276,-0.125473923037884,-0.5762605606472222,-0.563513150431382,0.0
2018-10-03,1.0,-0.2633122811218534,-0.4676284833428118,-0.12658265736777516,-0.5752940824328774,-0.560417851477147,0.0
2018-10-04,1.0,-0.2639973666098094,-0.46631953795972103,-0.12694137714337014,-0.5757847802016937,-0.5594457910644283,0.0
2018-10-05,1.0,-0.2545622614503817,-0.45983420801526725,-0.11852934160305344,-0.5820610687022901,-0.5668535305343512,0.0
2018-10-08,1.0,-0.2543459462683007,-0.45988013239109043,-0.11819781137251395,-0.5823120732325491,-0.5670453528938187,0.0
2018-10-09,1.0,-0.25570503833189157,-0.4601020195089938,-0.12108104883214511,-0.5811234078095636,-0.5650150642842228,0.0
2018-10-10,1.0,-0.2553851661793663,-0.4605286711617638,-0.12047258189629453,-0.5813294349304852,-0.5657557133480519,0.0
2018-10-11,1.0,-0.21898235894445256,-0.4566554891383584,-0.07493803761481266,-0.5795597025805511,-0.5857413617145357,0.0
2018-10-12,1.0,-0.21962427745664742,-0.4497687861271677,-0.07219653179190752,-0.5719364161849712,-0.5766763005780348,0.0
2018-10-15,1.0,-0.20958481202573645,-0.4644103984535041,-0.05868605556998182,-0.5727805187685738,-0.5797628321648057,0.0
2018-10-16,1.0,-0.2077547131679995,-0.4735109853624736,-0.052227386898403436,-0.5735773883419465,-0.5800155902647458,0.0
2018-10-17,1.0,-0.19594594594594594,-0.445603831679781,-0.0393716501311438,-0.5765480670543961,-0.5934827232295586,0.0
2018-10-18,1.0,-0.1952109464082098,-0.4444697833523375,-0.039880273660205245,-0.5775085518814139,-0.5935575826681869,0.0
2018-10-19,1.0,-0.1924851868732908,-0.44422288058340925,-0.0356369644484959,-0.5804181859617137,-0.5959149954421148,0.0
2018-10-22,1.0,-0.19440567408209192,-0.43996923690432105,-0.031076423505283845,-0.5840430683339505,-0.5989403822599482,0.0
2018-10-23,1.0,-0.19403920674720765,-0.44036357419648964,-0.029917939366309553,-0.5852803738317758,-0.5997264645543652,0.0
2018-10-24,1.0,-0.19324882495371032,-0.44016521862982483,-0.02842899871813132,-0.5862412761714856,-0.6005412334425296,0.0
2018-10-25,1.0,-0.18047138047138048,-0.42160493827160495,-0.026402918069584738,-0.5873456790123457,-0.5900112233445567,0.0
2018-10-26,1.0,-0.17494076655052263,-0.4158606271777003,-0.019540069686411147,-0.5910243902439024,-0.5860627177700348,0.0
2018-10-29,1.0,-0.15976973135324546,-0.4294176539295845,-0.005478613938483787,-0.5879359252461204,-0.5983925691084042,0.0
