Date,IWF,IWM,MTUM,SPY,TEVA,VLUE,VXX
2018-09-24,-0.5283928747170554,-1.2476134238756027,-0.06549552209428205,-1.0163861824623561,1.0,-1.0628875110717448,0.0
2018-09-25,-0.5278092516872752,-1.2504064239617714,-0.06335287452583871,-1.0187693975072665,1.0,-1.0659638405832799,0.0
2018-09-26,-0.5281759762728621,-1.253534354918438,-0.05753830944142362,-1.025061789421651,1.0,-1.078843302026693,0.0
2018-09-27,-0.5316163944282994,-1.291361859905802,-0.05386311253632628,-1.0402845976550756,1.0,-1.0933460266559774,0.0
2018-09-28,-0.528417120936806,-1.311528366646477,-0.05627902281445589,-1.049212598425197,1.0,-1.1020593579648699,0.0
2018-10-01,-0.5281131598888609,-1.3141197272038394,-0.057236675928264716,-1.0493053801465018,1.0,-1.1030058095478656,0.0
2018-10-02,-0.5288888888888889,-1.307171717171717,-0.060252525252525245,-1.050151515151515,1.0,-1.103989898989899,0.0
2018-10-03,-0.5303137651821862,-1.2911943319838055,-0.057641700404858304,-1.0612854251012147,1.0,-1.120344129554656,0.0
2018-10-04,-0.5380913787863438,-1.2818863337047919,-0.059112551919764965,-1.0713706817951574,1.0,-1.1149326309391145,0.0
2018-10-05,-0.516253164556962,-1.2751898734177216,-0.03356962025316455,-1.0950886075949366,1.0,-1.1432405063291138,0.0
2018-10-08,-0.5134397736459175,-1.2711196443007275,-0.029557396928051736,-1.0966046887631367,1.0,-1.1418755052546483,0.0
2018-10-09,-0.5136432541687721,-1.2715512885295603,-0.02986356745831228,-1.0965133906013138,1.0,-1.1414855987872663,0.0
2018-10-10,-0.5140172753447492,-1.270596555033591,-0.030156084255190178,-1.096832853462646,1.0,-1.1396171137040965,0.0
2018-10-11,-0.40113272592957394,-1.2705737503078058,-0.0,-1.0763358778625953,1.0,-1.1768529918739226,0.0
2018-10-12,-0.39868932038834953,-1.2571844660194176,-0.0,-1.049611650485437,1.0,-1.1489320388349515,0.0
2018-10-15,-0.40410825545171336,-1.2550623052959502,-0.0,-1.0554419781931463,1.0,-1.152988707165109,0.0
2018-10-16,-0.3950731707317074,-1.2758048780487805,-0.0,-1.0548780487804879,1.0,-1.1522439024390245,0.0
2018-10-17,-0.36179484723685473,-1.2185614404750504,-0.0,-1.0459726079877407,1.0,-1.1624844363566706,0.0
2018-10-18,-0.3715309730227152,-1.2446360246040586,-0.0,-1.0519203758415268,1.0,-1.175182835278733,0.0
2018-10-19,-0.34220165799113167,-1.2292269134374396,-0.0,-1.0639097744360901,1.0,-1.1844515133988818,0.0
