Date,IWF,IWM,MTUM,SBNY,SPY,VLUE,VXX
2018-09-24,-0.25733830845771144,-0.7326803482587065,-0.1042910447761194,1.0,-0.49748134328358207,-0.5176305970149254,0.0
2018-09-25,-0.2562703787308753,-0.7448896413343365,-0.09606220215701028,1.0,-0.5079633809882117,-0.5299724103335841,0.0
2018-09-26,-0.2575909661229611,-0.7466436637390214,-0.09855708908406524,1.0,-0.5076223337515684,-0.526348808030113,0.0
2018-09-27,-0.25658453695836875,-0.7553415777714843,-0.09679347997105006,1.0,-0.5096447339437993,-0.528367790050033,0.0
2018-09-28,-0.26029124377482193,-0.7544915841896237,-0.09660845993822102,1.0,-0.5111265208346467,-0.5294710962617412,0.0
2018-10-01,-0.25974066946398716,-0.7566646685806229,-0.0970754330062782,1.0,-0.5111524749976338,-0.5302394548379973,0.0
2018-10-02,-0.2597865892158101,-0.7619333249147621,-0.09581386538704381,1.0,-0.5102601338552848,-0.5291703497916403,0.0
2018-10-03,-0.2595971713600202,-0.7529675464073747,-0.09442480111125143,1.0,-0.5142379088268721,-0.535705265816391,0.0
2018-10-04,-0.2583116965360015,-0.7603381673104934,-0.0943575454372744,1.0,-0.5126021151288709,-0.540751060730796,0.0
2018-10-05,-0.24531994822742054,-0.7552167187549326,-0.08211004830002841,1.0,-0.5217665814313225,-0.552451305363513,0.0
2018-10-08,-0.24380634180167687,-0.7530416692933242,-0.07977683918552607,1.0,-0.523450797453193,-0.5519132572653345,0.0
2018-10-09,-0.2410133299639902,-0.7561753743129699,-0.0700296923368501,1.0,-0.5305452018447154,-0.5610272285046434,0.0
2018-10-10,-0.24291536347265663,-0.7548731557830223,-0.07209427226487221,1.0,-0.5318611190092567,-0.557514295643383,0.0
2018-10-11,-0.19729846686449062,-0.7653004451038576,-0.009242087042532147,1.0,-0.5312809099901089,-0.5878461918892186,0.0
2018-10-12,-0.19574089416674337,-0.7640921783423855,-0.0043879836754733195,1.0,-0.5239804842124643,-0.5803185123814785,0.0
2018-10-15,-0.15782497456921799,-0.8132609968866559,-0.0,1.0,-0.5229801794026079,-0.5884528836965568,0.0
2018-10-16,-0.14828579392362723,-0.8364458484313543,-0.0,1.0,-0.523614853355632,-0.5886834525689864,0.0
2018-10-17,-0.12823881691517966,-0.8029210461989733,-0.0,1.0,-0.5228856025421658,-0.6014421901735516,0.0
2018-10-18,-0.12725493793187792,-0.8011068305509692,-0.0,1.0,-0.5266006237387635,-0.6025805662569559,0.0
2018-10-19,-0.10543565642198999,-0.8030115639107044,-0.0,1.0,-0.5564281738915343,-0.6270793395584688,0.0
2018-10-22,-0.10911013654318683,-0.820223321203073,-0.0,1.0,-0.5550682715934185,-0.6259525364685391,0.0
2018-10-23,-0.10114702815432743,-0.8355610326413246,-0.0,1.0,-0.5789174329320316,-0.6442316807280312,0.0
2018-10-24,-0.0988597959634882,-0.8314014086731311,-0.0,1.0,-0.5804301822431382,-0.6477685480559678,0.0
2018-10-25,-0.06515128244509291,-0.7932729227461218,-0.0,1.0,-0.5903855014590693,-0.6229150668100139,0.0
2018-10-26,-0.054761977278957145,-0.7830840922242865,-0.0,1.0,-0.5920263149879694,-0.615813358511254,0.0
2018-10-29,-0.03212985436893204,-0.7946905339805825,-0.0,1.0,-0.5835254854368932,-0.6236347087378641,0.0
2018-10-30,-0.0,-0.81884621365262,-0.0,1.0,-0.6061887731301508,-0.6849012595241798,0.0
2018-10-31,-0.0,-0.7985118586265696,-0.0,1.0,-0.6148194078437451,-0.6869942644551232,0.0
2018-11-01,-0.0,-0.8145664524541306,-0.0,1.0,-0.6068113377417652,-0.6831827636521686,0.0
2018-11-02,-0.0,-0.7936463832546079,-0.0,1.0,-0.6138124787749684,-0.67984934086629,0.0
2018-11-05,-0.0,-0.7993087059840139,-0.0,1.0,-0.6131222417677377,-0.6737030521865259,0.0
2018-11-06,-0.0,-0.7981060724442917,-0.0,1.0,-0.6309654030065318,-0.696221520767572,0.0
2018-11-07,-0.0,-0.7989875949129769,-0.0,1.0,-0.6295659781895447,-0.696153485610724,0.0
2018-11-08,-0.0,-0.7958360482794997,-0.0,1.0,-0.610102702534984,-0.6968568680381023,0.0
2018-11-09,-0.0,-0.7984192183221309,-0.0,1.0,-0.6150112023898432,-0.6983134179736122,0.0
2018-11-12,-0.0,-0.7823175646351292,-0.0,1.0,-0.6217992435984873,-0.6958893917787836,0.0
2018-11-13,-0.0,-0.7740973119271699,-0.0,1.0,-0.6133665497939349,-0.6881343421295442,0.0
2018-11-14,-0.0,-0.7755781683626273,-0.0,1.0,-0.6178230033919211,-0.690163428923836,0.0
2018-11-15,-0.0,-0.7755196304849885,-0.0,1.0,-0.6184757505773673,-0.6852963818321787,0.0
2018-11-16,-0.0,-0.7708551054281675,-0.0,1.0,-0.6167086740025819,-0.6861744636380401,0.0
