Date,BHB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2366439011935916,-0.8878534499265973,-0.03804174379268526,-0.5018510244462884,-0.5270313397587285,0.0
2018-09-25,1.0,-0.23545803971812945,-0.89375400384369,-0.03331197950032031,-0.5070787956438181,-0.5335041639974376,0.0
2018-09-26,1.0,-0.2353129604715228,-0.8937471971298608,-0.03289768723172529,-0.5072394131590748,-0.5340829008905118,0.0
2018-09-27,1.0,-0.23499054396256047,-0.8958233163445202,-0.032535179664711346,-0.5076129114979004,-0.5344744686989134,0.0
2018-09-28,1.0,-0.23183613189071176,-0.9008251195941823,-0.0333579477959354,-0.5087488361639965,-0.5358140430860114,0.0
2018-10-01,1.0,-0.2313786107622452,-0.9064502624545133,-0.034102985218819444,-0.5099990339097672,-0.5383376807393812,0.0
2018-10-02,1.0,-0.231523914025689,-0.9201574904795713,-0.030562189375847152,-0.5085845220422126,-0.536435809720519,0.0
2018-10-03,1.0,-0.23215554550739614,-0.9232930689231962,-0.031264130224145724,-0.508042116142368,-0.535042955881403,0.0
2018-10-04,1.0,-0.2323147490147942,-0.9231539505135989,-0.03165579171781122,-0.5078493442728857,-0.5351766910007106,0.0
2018-10-05,1.0,-0.22158926330018344,-0.9208586785105082,-0.021402594058768626,-0.5127289112033729,-0.5418235653825111,0.0
2018-10-08,1.0,-0.22267728723918864,-0.9240865555161406,-0.02202586345899578,-0.5128833564449031,-0.5431971363152633,0.0
2018-10-09,1.0,-0.21959207497000552,-0.9311261714063362,-0.006939265216122442,-0.5259249651415415,-0.5590972469924446,0.0
2018-10-10,1.0,-0.2203637070893708,-0.9301760186715938,-0.007974326558397355,-0.5263379688158449,-0.5567441408149374,0.0
2018-10-11,1.0,-0.1522990323192714,-0.9314717601669723,-0.0,-0.5071785465814939,-0.5714059831762697,0.0
2018-10-12,1.0,-0.1559481006721901,-0.9295607315929341,-0.0,-0.4890104736595278,-0.5519774894481788,0.0
2018-10-15,1.0,-0.09642281662906864,-1.0384144376409925,-0.0,-0.5048984853367708,-0.5829519819529487,0.0
2018-10-16,1.0,-0.09326157713254489,-1.0434726563758823,-0.0,-0.5039154393993104,-0.5819341948374207,0.0
2018-10-17,1.0,-0.07350839869177278,-1.0105102721239643,-0.0,-0.5003969135998476,-0.590893214365097,0.0
2018-10-18,1.0,-0.07289583134901736,-1.0096199638060768,-0.0,-0.5013810839127536,-0.5910086674921421,0.0
2018-10-19,1.0,-0.05394583346470347,-1.0023016048176057,-0.0,-0.5041145127218841,-0.5924898319513194,0.0
2018-10-22,1.0,-0.05908353738035424,-1.0248354374026138,-0.0,-0.5037364454478964,-0.5922981524469743,0.0
2018-10-23,1.0,-0.05649141801738687,-1.0260484667070027,-0.0,-0.5072445307773142,-0.5946247173836895,0.0
2018-10-24,1.0,-0.05393966395112016,-1.0227533095723014,-0.0,-0.5080829938900203,-0.5975050916496945,0.0
2018-10-25,1.0,-0.02866103589616197,-0.9946279965221712,-0.0,-0.5063967209042355,-0.5755185691218483,0.0
2018-10-26,1.0,-0.015848104382077795,-0.983259478089611,-0.0,-0.5100935499753815,-0.568100689315608,0.0
2018-10-29,1.0,-0.0,-0.9961347321921591,-0.0,-0.4969936805939014,-0.5745444505797902,0.0
2018-10-30,1.0,-0.0,-0.9978345604157645,-0.0,-0.4952360329146817,-0.6004145270061252,0.0
2018-10-31,1.0,-0.0,-0.9799581950079921,-0.0,-0.49618836837575314,-0.5977499077831059,0.0
2018-11-01,1.0,-0.0,-0.9801764145434428,-0.0,-0.49574330761901836,-0.5974736453883271,0.0
2018-11-02,1.0,-0.0,-0.955122130170279,-0.0,-0.5069854177493809,-0.5949680535599645,0.0
2018-11-05,1.0,-0.0,-0.9730242812088552,-0.0,-0.5080988395235617,-0.5808199883646162,0.0
2018-11-06,1.0,-0.0,-0.9900070719183346,-0.0,-0.5096393321649294,-0.5751006979675922,0.0
2018-11-07,1.0,-0.0,-0.9897673846910242,-0.0,-0.5085271794241465,-0.5745628860277172,0.0
2018-11-08,1.0,-0.0,-0.9860018298261664,-0.0,-0.49133882281183283,-0.5723696248856358,0.0
2018-11-09,1.0,-0.0,-0.9872899480598839,-0.0,-0.49489764741827075,-0.573113351665139,0.0
2018-11-12,1.0,-0.0,-0.9779848360281357,-0.0,-0.4966048536889864,-0.5703845802502969,0.0
2018-11-13,1.0,-0.0,-0.9735601619628935,-0.0,-0.4868254064180818,-0.5613404242460869,0.0
2018-11-14,1.0,-0.0,-0.9732499093217264,-0.0,-0.4879095635352436,-0.5614496433321242,0.0
2018-11-15,1.0,-0.0,-0.9750408917428971,-0.0,-0.48785363785060887,-0.5661234627733689,0.0
2018-11-16,1.0,-0.0,-0.9715634075508228,-0.0,-0.48681026137463695,-0.5668259922555663,0.0
2018-11-19,1.0,-0.0,-0.9723526027314295,-0.0,-0.4875389879780759,-0.5683008812040093,0.0
2018-11-20,1.0,-0.0,-0.9587663022198125,-0.0,-0.4759796391674949,-0.5772115297731996,0.0
2018-11-21,1.0,-0.0,-0.9573084873723,-0.0,-0.4722729860091675,-0.5663141496150275,0.0
2018-11-23,1.0,-0.0,-0.9414550795887167,-0.0,-0.48466680655894956,-0.5715698911837885,0.0
2018-11-26,1.0,-0.0,-0.9460180439408927,-0.0,-0.4822108323592003,-0.5691034978868807,0.0
2018-11-27,1.0,-0.0,-0.9529936267616169,-0.0,-0.4756590167858532,-0.5634780527213428,0.0
2018-11-28,1.0,-0.0,-0.9422263551009389,-0.0,-0.48672646008939013,-0.5707172211056785,0.0
