Date,AHH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23288751231873855,-0.7345347036463465,-0.0,-0.4467971279740954,-0.40149232718569616,0.0
2018-09-25,1.0,-0.2297954655363696,-0.7462236508975052,-0.0,-0.4559212584985634,-0.4127670469092254,0.0
2018-09-26,1.0,-0.23450027104910268,-0.7520328682701359,-0.0,-0.45801592056834717,-0.4086279209107249,0.0
2018-09-27,1.0,-0.24068203238797017,-0.7440379287693143,-0.0,-0.46077171336360784,-0.4105903521549139,0.0
2018-09-28,1.0,-0.24233330475292236,-0.7433764897539227,-0.0,-0.4612878333190431,-0.4110434708051102,0.0
2018-10-01,1.0,-0.24387707948243995,-0.7578269408502774,-0.0,-0.46747920517560076,-0.41892906654343814,0.0
2018-10-02,1.0,-0.24364161849710986,-0.761878612716763,-0.0,-0.4665895953757226,-0.41806358381502895,0.0
2018-10-03,1.0,-0.2429706689784713,-0.7536483167172373,-0.0,-0.4696431151567692,-0.423493714781101,0.0
2018-10-04,1.0,-0.2466264050625596,-0.7482879186291792,-0.0,-0.4742971075215997,-0.42040627618689863,0.0
2018-10-05,1.0,-0.23491342115860323,-0.7434274866248634,-0.0,-0.47552206178450207,-0.4225104987631594,0.0
2018-10-08,1.0,-0.23258217310176546,-0.7406344194057701,-0.0,-0.4763025692550596,-0.421156882445816,0.0
2018-10-09,1.0,-0.22812562857389157,-0.7411281285020546,-0.0,-0.4788655498405218,-0.4253900749978449,0.0
2018-10-10,1.0,-0.23152808536339844,-0.7407460668986741,-0.0,-0.4815784175558688,-0.42224395294659034,0.0
2018-10-11,1.0,-0.16599111061415034,-0.7363374612137645,-0.0,-0.46140944287591207,-0.43166634053615854,0.0
2018-10-12,1.0,-0.16411886662059433,-0.7323289564616448,-0.0,-0.44975812024879064,-0.41813407049067036,0.0
2018-10-15,1.0,-0.13528907567672188,-0.763126607128045,-0.0,-0.44593137390438803,-0.4206044183924572,0.0
