Date,IWF,IWM,LOVE,MTUM,SPY,VLUE,VXX
2019-02-25,-0.0,-1.393998063891578,1.0,-0.0,-2.5223769454166356,-2.530270310522005,0.0
2019-02-26,-0.0,-1.3969894405751517,1.0,-0.0,-2.5377817718864675,-2.554182580693477,0.0
2019-02-27,-0.0,-1.4337532250720897,1.0,-0.0,-2.567081499468811,-2.587494308696312,0.0
2019-02-28,-0.0,-1.4332549138650679,1.0,-0.0,-2.5670486453669272,-2.5886772406465814,0.0
2019-03-01,-0.0,-1.433270034181542,1.0,-0.0,-2.5685529813900496,-2.593999240410179,0.0
2019-03-04,-0.0,-1.4361685940353013,1.0,-0.0,-2.575015216068168,-2.596850273889227,0.0
2019-03-05,-0.0,-1.4285171391654634,1.0,-0.0,-2.577259253629247,-2.5948164475184314,0.0
2019-03-06,-0.0,-1.42657448909823,1.0,-0.0,-2.5782116538782955,-2.592266200714123,0.0
2019-03-07,-0.0,-1.3824373301117487,1.0,-0.0,-2.594533373603141,-2.573618242222893,0.0
2019-03-08,-0.0,-1.3897389053817464,1.0,-0.0,-2.622364314531476,-2.5999086549440515,0.0
2019-03-11,-0.0,-1.3897389053817464,1.0,-0.0,-2.622364314531476,-2.5999847758240087,0.0
2019-03-12,-0.0,-1.3482815797407297,1.0,-0.0,-2.6054416641543563,-2.583283087126922,0.0
2019-03-13,-0.0,-1.3486812358703841,1.0,-0.0,-2.6043707611152977,-2.5827430293896003,0.0
2019-03-14,-0.0,-1.35284381582907,1.0,-0.0,-2.5943424616310558,-2.576136021667168,0.0
2019-03-15,-0.0,-1.3599728322390765,1.0,-0.0,-2.5993509923779343,-2.587276431967399,0.0
2019-03-18,-0.0,-1.3688023545392802,1.0,-0.0,-2.6000301864010265,-2.5778431816466685,0.0
2019-03-19,-0.0,-1.3609113617440012,1.0,-0.0,-2.6230414048898645,-2.585496934372871,0.0
2019-03-20,-0.0,-1.373984973818016,1.0,-0.0,-2.62874705926994,-2.586324656598619,0.0
2019-03-21,-0.0,-1.3699356304430141,1.0,-0.0,-2.6608102991291176,-2.5421431276031807,0.0
