Date,CPK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23751604246879013,-0.7719344300548361,-0.0,-0.5050752537626881,-0.4023159491307899,0.0
2018-09-25,1.0,-0.24277421138311267,-0.8286697177258345,-0.0,-0.5497742420984735,-0.45031790398378224,0.0
2018-09-26,1.0,-0.24344994931965472,-0.8293147403016248,-0.0,-0.5497435267377215,-0.44899714347145003,0.0
2018-09-27,1.0,-0.2425373134328358,-0.8378561736770691,-0.0,-0.5519921055877636,-0.45136918712224,0.0
2018-09-28,1.0,-0.24414478353442154,-0.8372573826642392,-0.0,-0.5524732310920479,-0.45184682321720615,0.0
2018-10-01,1.0,-0.24397478680014834,-0.8398838215300952,-0.0,-0.5529291805710048,-0.45309603262884685,0.0
2018-10-02,1.0,-0.24326683291770576,-0.870916458852868,-0.0,-0.5517456359102244,-0.45130922693266834,0.0
2018-10-03,1.0,-0.24261886204208888,-0.8613873733437256,-0.0,-0.5556352299298519,-0.4580514419329696,0.0
2018-10-04,1.0,-0.24391611877979624,-0.8586919265883526,-0.0,-0.5567569251861777,-0.4565793163618234,0.0
2018-10-05,1.0,-0.22660052705006975,-0.8513098744380716,-0.0,-0.5607192683304913,-0.4616958611068051,0.0
2018-10-08,1.0,-0.2232004464008928,-0.8485336970673942,-0.0,-0.5664331328662657,-0.4618389236778474,0.0
2018-10-09,1.0,-0.216094962145995,-0.85257189145403,-0.0,-0.5741969654484843,-0.4726609963547996,0.0
2018-10-10,1.0,-0.2169350066955249,-0.8518264769082246,-0.0,-0.5747251720594189,-0.47067982934197,0.0
2018-10-11,1.0,-0.14268924783027964,-0.8435691899710703,-0.0,-0.5506569431051108,-0.47655496624879456,0.0
2018-10-12,1.0,-0.13688019618398228,-0.8422154435073868,-0.0,-0.5440516777319218,-0.4674621687899994,0.0
2018-10-15,1.0,-0.09901733930342278,-0.8889623463653575,-0.0,-0.5427171920545723,-0.4743817050815879,0.0
2018-10-16,1.0,-0.09531109107303878,-0.8953110910730389,-0.0,-0.5417192666065525,-0.4733694018635407,0.0
2018-10-17,1.0,-0.08239611696460282,-0.8701018112939504,-0.0,-0.5343613117082987,-0.47274180182313247,0.0
2018-10-18,1.0,-0.08196963868256739,-0.8696179682182701,-0.0,-0.5348740863492439,-0.4727310389725683,0.0
2018-10-19,1.0,-0.06756439593968197,-0.8624068532535352,-0.0,-0.5343836179076454,-0.46937158950888924,0.0
2018-10-22,1.0,-0.06777272059903097,-0.8525033034796653,-0.0,-0.5407722801350755,-0.4753487006313316,0.0
2018-10-23,1.0,-0.06751637250007342,-0.8526034477695223,-0.0,-0.5411001145340812,-0.47555137881413173,0.0
2018-10-24,1.0,-0.08000493096646943,-0.8830744575936884,-0.0,-0.5894354043392506,-0.5293392504930966,0.0
2018-10-25,1.0,-0.042789977980122594,-0.8379456049514967,-0.0,-0.5976313753496398,-0.4972921502112717,0.0
2018-10-26,1.0,-0.015023673667597428,-0.8532839626077455,-0.0,-0.6518149811824694,-0.514932621099915,0.0
2018-10-29,1.0,-0.00196256038647343,-0.8563405797101449,-0.0,-0.6463768115942029,-0.5146135265700483,0.0
2018-10-30,1.0,-0.0,-0.8554915039386713,-0.0,-0.6453083029004316,-0.5173693900341049,0.0
2018-10-31,1.0,-0.0007779772591262717,-0.8373728306403351,-0.0,-0.6422202274087373,-0.5118491921005386,0.0
2018-11-01,1.0,-0.0,-0.8704566071968551,-0.0,-0.6391895978228002,-0.5142727547626248,0.0
2018-11-02,1.0,-0.0,-0.837002271006813,-0.0,-0.6710976532929599,-0.5199091597274792,0.0
2018-11-05,1.0,-0.0,-0.8584707919438623,-0.0,-0.673714268355661,-0.5055742884048726,0.0
2018-11-06,1.0,-0.0,-0.8568472306755933,-0.0,-0.6764759586122946,-0.5098904443091905,0.0
2018-11-07,1.0,-0.0,-0.8582446727433467,-0.0,-0.6788098649513764,-0.5114776087552968,0.0
2018-11-08,1.0,-0.0,-0.8557855240861777,-0.0,-0.6579823287339628,-0.5121641249092229,0.0
2018-11-09,1.0,-0.0,-0.8567446370136953,-0.0,-0.6604956974912132,-0.5126954308568659,0.0
2018-11-12,1.0,-0.0,-0.8388790008748378,-0.0,-0.6682252858306434,-0.509577966152825,0.0
