Date,IWF,IWM,LBRDA,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4362012115635304,-0.9485852311939268,1.0,-0.0,-0.7491756767119085,-0.7000613449888813,0.0
2018-09-25,-0.4355098595872017,-0.9496278677204021,1.0,-0.0,-0.7499808179237321,-0.7012967083557123,0.0
2018-09-26,-0.43515960712093316,-0.9495089011663598,1.0,-0.0,-0.7501151012891345,-0.701926028238183,0.0
2018-09-27,-0.4391581045851863,-0.9416117159944793,1.0,-0.0,-0.7508434289219444,-0.7021545775187854,0.0
2018-09-28,-0.44017946161515453,-0.9410997775903059,1.0,-0.0,-0.7510161822225631,-0.7023544750364291,0.0
2018-10-01,-0.44007979131502223,-0.9422280190271597,1.0,-0.0,-0.7510357526469233,-0.7028157127512659,0.0
2018-10-02,-0.43926526534219723,-0.953502670714368,1.0,-0.0,-0.7491449871267725,-0.700841563232525,0.0
2018-10-03,-0.4391192208492128,-0.9400623628594525,1.0,-0.0,-0.7571698040574354,-0.713207837702583,0.0
2018-10-04,-0.44359339517339597,-0.9334128786420847,1.0,-0.0,-0.7626727223740426,-0.7092875562911358,0.0
2018-10-05,-0.42575281587617814,-0.9240288100528695,1.0,-0.0,-0.7663780553214313,-0.7149643705463183,0.0
2018-10-08,-0.42441059399877523,-0.9225734843845682,1.0,-0.0,-0.7662278015921616,-0.7140615431720759,0.0
2018-10-09,-0.4197403194300816,-0.9229767513118082,1.0,-0.0,-0.7688919529664101,-0.7184878777433069,0.0
2018-10-10,-0.42428774109436707,-0.9227347674374017,1.0,-0.0,-0.7726139805974155,-0.7148663675754439,0.0
2018-10-11,-0.3537753359566411,-0.902442646076175,1.0,-0.0,-0.7428910832281534,-0.7131190140322221,0.0
2018-10-12,-0.3562852331795886,-0.8924884691412256,1.0,-0.0,-0.7224174536935355,-0.6893989311076946,0.0
2018-10-15,-0.3484887248273089,-0.8972259785826542,1.0,-0.0,-0.7206242461898322,-0.688498227403969,0.0
2018-10-16,-0.33892765332354025,-0.9221814175541683,1.0,-0.0,-0.7218508997429307,-0.6894601542416452,0.0
2018-10-17,-0.31753246753246755,-0.8822871572871573,1.0,-0.0,-0.7139249639249639,-0.6937590187590188,0.0
2018-10-18,-0.3173881673881674,-0.8823593073593073,1.0,-0.0,-0.713961038961039,-0.6937590187590188,0.0
2018-10-19,-0.297133643855249,-0.869473307058402,1.0,-0.0,-0.7201003224650662,-0.6962737370118237,0.0
2018-10-22,-0.29727015102055454,-0.8576963087850199,1.0,-0.0,-0.7283423610862,-0.7038777486817089,0.0
2018-10-23,-0.2970403587443946,-0.8577578475336323,1.0,-0.0,-0.728609865470852,-0.7040358744394619,0.0
