Date,CUZ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27355779100800653,-0.5564309176760418,-0.0,-0.4144682816670088,-0.3217511804557585,0.0
2018-09-25,1.0,-0.2699020089458851,-0.5647025363911369,-0.0,-0.4208185743465108,-0.33011867518163246,0.0
2018-09-26,1.0,-0.2712719184813531,-0.5660787254952672,-0.0,-0.4209382920395179,-0.3279625510784669,0.0
2018-09-27,1.0,-0.26913856897180677,-0.5804627651258534,-0.0,-0.42443587471989164,-0.331596227005055,0.0
2018-09-28,1.0,-0.2682335774031321,-0.5813117231675222,-0.0,-0.42442087708783904,-0.3317612111420903,0.0
2018-10-01,1.0,-0.2681552532955945,-0.5896952066462248,-0.0,-0.42699897790706814,-0.33590166941845534,0.0
2018-10-02,1.0,-0.2675794056705222,-0.5946442153854224,-0.0,-0.42581372780444304,-0.3348021087418365,0.0
2018-10-03,1.0,-0.26692892735378965,-0.5870967741935484,-0.0,-0.42866509310254397,-0.33988985051140835,0.0
2018-10-04,1.0,-0.2737143758544537,-0.5807918813755389,-0.0,-0.43819013566095283,-0.3363918393101273,0.0
2018-10-05,1.0,-0.2654793085385019,-0.5767417496071242,-0.0,-0.43949711891042437,-0.33748035620743844,0.0
2018-10-08,1.0,-0.26330927727225184,-0.5741031272879406,-0.0,-0.44093191088798245,-0.33641878464595754,0.0
2018-10-09,1.0,-0.2539573478502154,-0.5816706746650459,-0.0,-0.45366137258529105,-0.3533733252292487,0.0
2018-10-10,1.0,-0.2558465237956822,-0.5808471844198398,-0.0,-0.4549057949951114,-0.35089712760616226,0.0
2018-10-11,1.0,-0.21136158701532914,-0.5729486023444544,-0.0,-0.43931469792605954,-0.35269869895658895,0.0
2018-10-12,1.0,-0.20560165975103736,-0.5809387966804979,-0.0,-0.4476659751037344,-0.3591545643153527,0.0
2018-10-15,1.0,-0.1854517214600052,-0.5999223401501425,-0.0,-0.4439295884027958,-0.35935801190784367,0.0
2018-10-16,1.0,-0.1806052127053215,-0.6087880201046686,-0.0,-0.44300222809471995,-0.35838644489351784,0.0
2018-10-17,1.0,-0.1684571311643135,-0.5864794352363414,-0.0,-0.44007059545733584,-0.3627736852874975,0.0
2018-10-18,1.0,-0.16877334834450644,-0.5876106647561538,-0.0,-0.4394862084847244,-0.36285246404994626,0.0
2018-10-19,1.0,-0.15897709651999287,-0.5814331833549403,-0.0,-0.44047891405475476,-0.36111746612776124,0.0
2018-10-22,1.0,-0.15883714423786147,-0.5729836966197828,-0.0,-0.4456596383243889,-0.3659740061550983,0.0
2018-10-23,1.0,-0.1563932755985736,-0.5739938869077942,-0.0,-0.44875191034131434,-0.3679826795720835,0.0
2018-10-24,1.0,-0.15494606146957055,-0.5712904538978221,-0.0,-0.44914003663749236,-0.36886830856910235,0.0
2018-10-25,1.0,-0.12779156327543423,-0.5402977667493796,-0.0,-0.4646401985111662,-0.34863523573200994,0.0
2018-10-26,1.0,-0.12657538316785102,-0.5378710971352167,-0.0,-0.4642830613811375,-0.3473147299873722,0.0
2018-10-29,1.0,-0.12028051460602021,-0.5396449119687878,-0.0,-0.4622317702545867,-0.34716151813714596,0.0
2018-10-30,1.0,-0.104393429645755,-0.542029487433208,-0.0,-0.4649960419552741,-0.3623589946566396,0.0
2018-10-31,1.0,-0.10788942993458266,-0.5282819339924254,-0.0,-0.4639466824061778,-0.35918056170380214,0.0
2018-11-01,1.0,-0.08137208900303756,-0.5551329859481885,-0.0,-0.46840194601536067,-0.3646309238633838,0.0
2018-11-02,1.0,-0.0867459810235485,-0.5322009734034708,-0.0,-0.47741015682611476,-0.3617324615308982,0.0
2018-11-05,1.0,-0.08419345325862578,-0.5393443428683771,-0.0,-0.47803007962253025,-0.35591762508601194,0.0
2018-11-06,1.0,-0.08039036892821057,-0.5375212558838751,-0.0,-0.4834265717031816,-0.3631121078443453,0.0
2018-11-07,1.0,-0.08057993884998521,-0.5377502712299044,-0.0,-0.48397277838051095,-0.3634234145379229,0.0
2018-11-08,1.0,-0.06586518449597219,-0.5379643005802992,-0.0,-0.4788325457261086,-0.36583335373766557,0.0
2018-11-09,1.0,-0.06591092720906887,-0.5378400215459197,-0.0,-0.4788825502534094,-0.36576647161080234,0.0
2018-11-12,1.0,-0.06550537949205884,-0.5265559052428701,-0.0,-0.4838371270340823,-0.3638049232720974,0.0
2018-11-13,1.0,-0.04699075194886942,-0.5247905873238755,-0.0,-0.4878710114753305,-0.36130344259913816,0.0
2018-11-14,1.0,-0.04730089566690873,-0.5244977003146938,-0.0,-0.4878237714839022,-0.36109900750423624,0.0
2018-11-15,1.0,-0.04653412663861075,-0.5245973008271659,-0.0,-0.48843902674986694,-0.3590431964398007,0.0
2018-11-16,1.0,-0.0414778921865536,-0.5167777104784979,-0.0,-0.4925015142337977,-0.3720411871592974,0.0
