Date,HELE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3468662688420544,-0.8197371598082164,-0.0,-0.5910799903418302,-0.6916629298747887,0.0
2018-09-25,1.0,-0.3488949419025618,-0.8186394510912663,-0.0,-0.5903182429403855,-0.6900320656483812,0.0
2018-09-26,1.0,-0.349262170735071,-0.8190249620741966,-0.0,-0.5902634119431802,-0.6892497586539788,0.0
2018-09-27,1.0,-0.35232714369380236,-0.8127260826127399,-0.0,-0.5906914252247908,-0.6892892823922556,0.0
2018-09-28,1.0,-0.35016544877981526,-0.8156969529849718,-0.0,-0.5911691713773611,-0.6898180063422032,0.0
2018-10-01,1.0,-0.3501447876447876,-0.81615416436845,-0.0,-0.5911127964699393,-0.6899131274131274,0.0
2018-10-02,1.0,-0.3489842454394694,-0.8298438363736872,-0.0,-0.5888957987838584,-0.6872236042012162,0.0
2018-10-03,1.0,-0.34839957183798903,-0.8242809295259141,-0.0,-0.5902765788474155,-0.6899968923725011,0.0
2018-10-04,1.0,-0.3574347253964956,-0.8168501973820902,-0.0,-0.6027425722002909,-0.6858161922570816,0.0
2018-10-05,1.0,-0.3371655446228206,-0.8073537027446919,-0.0,-0.6101156568272051,-0.6978422233730364,0.0
2018-10-08,1.0,-0.33719002555778127,-0.8081784900186503,-0.0,-0.6101402224217725,-0.6982454928507287,0.0
2018-10-09,1.0,-0.3478245784470197,-0.8146207757962668,-0.0,-0.6114426479772397,-0.6956491568940394,0.0
2018-10-10,1.0,-0.3529105125977411,-0.8146307558644656,-0.0,-0.6157428323197219,-0.6919548218940053,0.0
2018-10-11,1.0,-0.3044687054994237,-0.8007730385841189,-0.0,-0.5930019665016614,-0.6922763951990236,0.0
2018-10-12,1.0,-0.30865065809303727,-0.7935295890686225,-0.0,-0.5738303359121202,-0.6730633979704611,0.0
2018-10-15,1.0,-0.2916513546921458,-0.8070691210369826,-0.0,-0.5693381886212541,-0.6727357765676678,0.0
2018-10-16,1.0,-0.2856139646869984,-0.8185527019796683,-0.0,-0.5682851792402355,-0.6715823970037454,0.0
2018-10-17,1.0,-0.2610821166677677,-0.7783906982889608,-0.0,-0.5713153200766334,-0.6924093281363546,0.0
2018-10-18,1.0,-0.26008197805103794,-0.7765767552558508,-0.0,-0.5752346952267618,-0.6936731455771519,0.0
2018-10-19,1.0,-0.2439384494241937,-0.7653466321073527,-0.0,-0.5767577676432953,-0.6949046884740312,0.0
2018-10-22,1.0,-0.24391523978219506,-0.757560847602178,-0.0,-0.5805615692448993,-0.6981893328085023,0.0
2018-10-23,1.0,-0.2564229411958709,-0.7644866594109694,-0.0,-0.5780482174070777,-0.6990864417400482,0.0
2018-10-24,1.0,-0.25456342668863263,-0.7626359143327842,-0.0,-0.5777594728171335,-0.6999341021416804,0.0
2018-10-25,1.0,-0.2135183094047427,-0.7223745765446039,-0.0,-0.6114857235037909,-0.678915954186159,0.0
2018-10-26,1.0,-0.19322142286171065,-0.7107274180655476,-0.0,-0.622158273381295,-0.6713349320543566,0.0
2018-10-29,1.0,-0.1760045814641596,-0.7163946422321912,-0.0,-0.6138207502147561,-0.6753841748592154,0.0
2018-10-30,1.0,-0.16574409874658014,-0.7168352739072342,-0.0,-0.6145574855252274,-0.6841318317745116,0.0
2018-10-31,1.0,-0.16972013393139176,-0.6979278539389728,-0.0,-0.6120096026280878,-0.6791016488723229,0.0
2018-11-01,1.0,-0.14632912992636135,-0.7189722195885085,-0.0,-0.6134761859612528,-0.6816472298599917,0.0
2018-11-02,1.0,-0.15061262959472196,-0.6955702167766258,-0.0,-0.6188187244737668,-0.676688658498272,0.0
2018-11-05,1.0,-0.14361350099272005,-0.7211244524282248,-0.0,-0.6244366707636066,-0.6623491223094136,0.0
2018-11-06,1.0,-0.13755070993914806,-0.7199860547667343,-0.0,-0.6357441683569979,-0.6760902636916836,0.0
