Date,IWF,IWM,MTUM,MTZ,SPY,VLUE,VXX
2018-09-24,-0.4950121552519071,-1.154162125911644,-0.12356442283510773,1.0,-0.7024897309078716,-0.7162796546231872,0.0
2018-09-25,-0.49543245055313445,-1.1533271873952395,-0.12453905464297688,1.0,-0.7018102581293999,-0.7153452899765337,0.0
2018-09-26,-0.4950312382070527,-1.1534236236320181,-0.12239506897563839,1.0,-0.7031322068011238,-0.7190657889219674,0.0
2018-09-27,-0.4945428595416002,-1.1574175132230713,-0.12173621022584168,1.0,-0.7040550751406264,-0.7200486944840904,0.0
2018-09-28,-0.49638807223855524,-1.156404871902562,-0.12204955900881982,1.0,-0.704619907601848,-0.7204535909281814,0.0
2018-10-01,-0.4960719237070958,-1.1572070747384782,-0.12254757803638198,1.0,-0.7045330420535226,-0.7207494853589883,0.0
2018-10-02,-0.49602490219997475,-1.1678795271947167,-0.12009422454044504,1.0,-0.7032768266520844,-0.7191772178521854,0.0
2018-10-03,-0.49598114716155367,-1.15524134158145,-0.11808273366157472,1.0,-0.7096326221436687,-0.7292429407061398,0.0
2018-10-04,-0.5023580933131211,-1.146749199932626,-0.1190837123126158,1.0,-0.7182499578911908,-0.7243978440289708,0.0
2018-10-05,-0.5058912960851387,-1.158283711305376,-0.1149541788082267,1.0,-0.7197939102158031,-0.7242704506102454,0.0
2018-10-08,-0.5039881831610045,-1.1553914327917283,-0.10858830976999367,1.0,-0.7271576281916017,-0.7251740873602026,0.0
2018-10-09,-0.5008251872540307,-1.1602132791671957,-0.09610257712327029,1.0,-0.7369980110871314,-0.7376327705133088,0.0
2018-10-10,-0.5024964034865025,-1.158796648895659,-0.09790979097909791,1.0,-0.7379622577642381,-0.734027248878734,0.0
2018-10-11,-0.44490704480811244,-1.169751432458057,-0.013314646110721792,1.0,-0.7300795581021476,-0.7641699987633456,0.0
2018-10-12,-0.45848449027840055,-1.1675294501283986,-0.0072962947866139485,1.0,-0.7061916602127746,-0.7366812049076754,0.0
2018-10-15,-0.4385165907612232,-1.188679245283019,-0.0,1.0,-0.7020575797007157,-0.7371096291476903,0.0
2018-10-16,-0.4286879895561358,-1.2115698433420365,-0.0,1.0,-0.7023090731070496,-0.7370675587467362,0.0
2018-10-17,-0.4036354881425304,-1.1672485052766743,-0.0,1.0,-0.6957585971670479,-0.7460374784318446,0.0
2018-10-18,-0.40288087308911447,-1.1659110058981663,-0.0,1.0,-0.6973478313204671,-0.7462584761064077,0.0
2018-10-19,-0.3807053941908714,-1.1546441110756465,-0.0,1.0,-0.7042371528886052,-0.7501994893073732,0.0
2018-10-22,-0.3806294626829949,-1.1447205712234232,-0.0,1.0,-0.7091228210140014,-0.7545574215166141,0.0
2018-10-23,-0.38802811277054555,-1.146673588371536,-0.0,1.0,-0.7054149029630222,-0.7532145994728857,0.0
2018-10-24,-0.3862774072446983,-1.1489276728303845,-0.0,1.0,-0.705419545509006,-0.7531850313510923,0.0
2018-10-25,-0.3558584799409686,-1.1068002640879258,-0.0,1.0,-0.6998330032234261,-0.721154219581343,0.0
2018-10-26,-0.35209960559894826,-1.0994122650993736,-0.0,1.0,-0.6985538628103007,-0.7166112442966514,0.0
2018-10-29,-0.3360153994225217,-1.105794032723773,-0.0,1.0,-0.6896631376323388,-0.7183830606352262,0.0
2018-10-30,-0.3279710591133005,-1.1057958743842362,-0.0,1.0,-0.6898860837438423,-0.7248306650246306,0.0
2018-10-31,-0.32809853733641264,-1.1060046189376445,-0.0,1.0,-0.690030792917629,-0.7249807544264819,0.0
2018-11-01,-0.3179319623294254,-1.1128195271958485,-0.0,1.0,-0.6887180472804152,-0.7244282144916394,0.0
2018-11-02,-0.3196551724137931,-1.101072796934866,-0.0,1.0,-0.689655172413793,-0.7210344827586207,0.0
2018-11-05,-0.3071683044278276,-1.183024703441256,-0.0,1.0,-0.7228203421681086,-0.7019927181615315,0.0
2018-11-06,-0.3030528959347041,-1.1808585779312508,-0.0,1.0,-0.7295165594098257,-0.7106419714330561,0.0
2018-11-07,-0.30213651716283085,-1.1839211373811955,-0.0,1.0,-0.7292043044536957,-0.712159296206111,0.0
2018-11-08,-0.27202274320429937,-1.1862294571228287,-0.0,1.0,-0.7182802398940727,-0.71785185762131,0.0
2018-11-09,-0.2700718464135684,-1.1963801970868833,-0.0,1.0,-0.7335008440972086,-0.7260806407286718,0.0
