Date,EWBC,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.3027852893455922,-0.0,-0.3151433207138994,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9013791238507302,-0.0,-0.0,-0.06809085992428339,-0.0,-0.11676581936181721,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.3181891804340784,-0.0,-0.2748893208076882,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9217147176330851,-0.0,-0.0,-0.07947305906489581,-0.0,-0.10519922254616132,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.33068052623030697,-0.0,-0.2594066374316496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.894104271560825,-0.0,-0.0,-0.09929078014184396,-0.0,-0.12346380813166584,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.3128615813156203,-0.0,-0.27324833940432824,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8882579815727447,-0.0,-0.0,-0.09213627598028712,-0.0,-0.11187593743304049,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.31095879407748533,-0.0,-0.2731532303408391,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8900372165252082,-0.0,-0.0,-0.09151516774210823,-0.0,-0.11178344801734987,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.3174735371554457,-0.0,-0.2779807640642631,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8835366181290635,-0.0,-0.0,-0.09056471978937188,-0.0,-0.11702756434366773,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.32179215127991617,-0.0,-0.28128609417389666,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8864594805125036,-0.0,-0.0,-0.07679497166187649,-0.0,-0.1197453598001558,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.3195475622503954,-0.0,-0.277868610790962,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8895172746522287,-0.0,-0.0,-0.07917660618081429,-0.0,-0.11418156476989466,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.319760896370557,-0.0,-0.2769795743312068,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8895620007505495,-0.0,-0.0,-0.08060365624832466,-0.0,-0.1136278346646652,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.3164506106706664,-0.0,-0.27906042425541033,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8915523891150632,-0.0,-0.0,-0.08206556674523248,-0.0,-0.10925112491964858,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.3130746204832157,-0.0,-0.28535920461834513,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8903944836433612,-0.0,-0.0,-0.07916399401325637,-0.0,-0.1046878340816763,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.3110580534392102,-0.0,-0.27929498873269665,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9142611868226205,-0.0,-0.0,-0.057731516257109136,-0.0,-0.12034553063633437,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.3083063241636086,-0.0,-0.27313636728899365,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9174456914793881,-0.0,-0.0,-0.059786248091500814,-0.0,-0.11986714167090777,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.31352694434796546,-0.0,-0.2610008282347912,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9169360656175692,-0.0,-0.0,-0.055224558497421784,-0.0,-0.12501001896924843,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.3096841430174764,-0.0,-0.2536208647319758,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9233605900272568,-0.0,-0.0,-0.040617818395596174,-0.0,-0.1449414782748116,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.3097894427054071,-0.0,-0.25074243518741474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9233485833533991,-0.0,-0.0,-0.04545576156459855,-0.0,-0.14607913957781524,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.3635941680773222,-0.0,-0.19349642330584832,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9462949817069842,-0.0,-0.0,-0.0,-0.0,-0.22691530606672858,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.3629289868130068,-0.0,-0.19256286346138093,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9470063068228357,-0.0,-0.0,-0.0,-0.0,-0.22772817866601142,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.358601856908793,-0.0,-0.20030038230475147,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9473511742217368,-0.0,-0.0,-0.0,-0.0,-0.22449481157837248,-0.0,-0.0
