Date,GLDD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5362562491704641,-1.2022740344202096,-0.10790603017298588,-0.8563465026766358,-0.7213644206521258,0.0
2018-09-25,1.0,-0.5365357395612173,-1.201610049539986,-0.1085898796886058,-0.8558032554847842,-0.7207183297947629,0.0
2018-09-26,1.0,-0.536556238666018,-1.2017338228139236,-0.10876199743464991,-0.8557211729842098,-0.7202441505595117,0.0
2018-09-27,1.0,-0.5463012240553485,-1.1897285790313996,-0.11375731772219265,-0.8609189285080716,-0.7242327479155579,0.0
2018-09-28,1.0,-0.5444587343119429,-1.1910062530489158,-0.11450618652711872,-0.860570313539403,-0.7242893254689786,0.0
2018-10-01,1.0,-0.5460799642617825,-1.205807460352915,-0.11610453428635246,-0.8666964485146303,-0.7325887871342417,0.0
2018-10-02,1.0,-0.5468024294390853,-1.1975259021078957,-0.11932833154698107,-0.8678992497320472,-0.7343247588424436,0.0
2018-10-03,1.0,-0.546241742545974,-1.187645063381539,-0.11810391001606857,-0.8711837171933583,-0.7403588644884842,0.0
2018-10-04,1.0,-0.5514886399142972,-1.1794402535374726,-0.11918046690175423,-0.8780074097219123,-0.735615765745659,0.0
2018-10-05,1.0,-0.5351029300609133,-1.1723800631363657,-0.1010181850517985,-0.8896892090169402,-0.7480325463518741,0.0
2018-10-08,1.0,-0.534275178817362,-1.1714869607712468,-0.09969345595095296,-0.8898662757119374,-0.7473455062419476,0.0
2018-10-09,1.0,-0.5328771992180558,-1.1721610094188732,-0.09596587879864937,-0.8919051004087436,-0.7499999999999999,0.0
2018-10-10,1.0,-0.5335968379446641,-1.1710263356575032,-0.09681573921925656,-0.8922591819514145,-0.7474352711284807,0.0
2018-10-11,1.0,-0.46464559097002983,-1.1848376075768716,-0.0,-0.8902391558188817,-0.7850192449076676,0.0
2018-10-12,1.0,-0.4670671438309475,-1.1739093387866393,-0.0,-0.8650732788002726,-0.7543456032719836,0.0
2018-10-15,1.0,-0.41557215211606147,-1.2440552837153402,-0.0,-0.8655249377628981,-0.7670615503476694,0.0
2018-10-16,1.0,-0.41849576908208413,-1.241140844465444,-0.0,-0.8670589751299344,-0.7686095958077402,0.0
2018-10-17,1.0,-0.3918810797153325,-1.191855813365899,-0.0,-0.8557712553164611,-0.7715922011201416,0.0
2018-10-18,1.0,-0.39489476798241907,-1.2007015467838729,-0.0,-0.8557180289071085,-0.774871101343927,0.0
2018-10-19,1.0,-0.37586929199832425,-1.1886049434436532,-0.0,-0.8547968160871386,-0.7701298701298701,0.0
2018-10-22,1.0,-0.3781061114842176,-1.1960627938213566,-0.0,-0.8536769644056413,-0.7695601074546675,0.0
2018-10-23,1.0,-0.39149869275533444,-1.2033397992746901,-0.0,-0.8512692924011133,-0.7708526608754322,0.0
2018-10-24,1.0,-0.39325030815658607,-1.2031708250095634,-0.0,-0.8651761805585073,-0.7888808602881795,0.0
2018-10-25,1.0,-0.3452346792375487,-1.1405205984832956,-0.0,-0.8697274031563845,-0.743717974994876,0.0
2018-10-26,1.0,-0.32139529230644576,-1.1221488473848398,-0.0,-0.8763116314872584,-0.7315561317505976,0.0
2018-10-29,1.0,-0.28963734754866327,-1.1411033034488327,-0.0,-0.8649543655601325,-0.7427509894192714,0.0
