Date,IWF,IWM,MDB,MTUM,SPY,VLUE,VXX
2018-09-24,-1.142719249862107,-1.9283645890788748,1.0,-0.5099972421400992,-1.3178433535576393,-0.9957253171538886,0.0
2018-09-25,-1.146470912599945,-1.924731182795699,1.0,-0.5161979597463469,-1.314722911497105,-0.9906258615936036,0.0
2018-09-26,-1.1488481169816527,-1.9279210925644916,1.0,-0.5200717340322802,-1.3148020416609187,-0.9859290936680922,0.0
2018-09-27,-1.1501584240253477,-1.9187215869954537,1.0,-0.5221104835376774,-1.3129907700785233,-0.9840887174541948,0.0
2018-09-28,-1.149495652173913,-1.9499826086956524,1.0,-0.525495652173913,-1.3299478260869566,-1.0016,0.0
2018-10-01,-1.1492973424238209,-1.950048699039933,1.0,-0.5259496312786976,-1.3297620704048978,-1.001878391540281,0.0
2018-10-02,-1.1515130337549795,-1.9830176811796771,1.0,-0.519672933119016,-1.3311901600391363,-1.003284646026976,0.0
2018-10-03,-1.1540724140345962,-1.992996708452973,1.0,-0.5218152531689895,-1.3319560193290847,-1.0024511520414594,0.0
2018-10-04,-1.160725541004272,-1.9818614748932,1.0,-0.5233559773093355,-1.3407801666783388,-0.9965683871419568,0.0
2018-10-05,-1.1424295161851723,-1.9719457013574662,1.0,-0.5026105116602854,-1.3452140619561435,-0.9991646362687086,0.0
2018-10-08,-1.1378113940739714,-1.9640552355839291,1.0,-0.4970508639233919,-1.3456387481784748,-0.9945874679064605,0.0
2018-10-09,-1.1434431928799889,-1.968293700458907,1.0,-0.5048671951049923,-1.3452231956612433,-0.9913085801696565,0.0
2018-10-10,-1.1463039373382753,-1.9846842436534022,1.0,-0.5001049024407301,-1.354500314707322,-1.0079026505350024,0.0
2018-10-11,-1.0489946380697053,-1.9621983914209116,1.0,-0.3795576407506702,-1.308378016085791,-1.00328418230563,0.0
2018-10-12,-1.0628254993737227,-1.9476564045091964,1.0,-0.37075614740589363,-1.2646845540246556,-0.9464697738809414,0.0
2018-10-15,-1.0383174498849819,-1.9883667433453829,1.0,-0.333946763062767,-1.2632928031547814,-0.9484719027275714,0.0
