Date,DE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.40619326909649495,-0.617965367965368,-0.17350928641251223,-0.6662477307638599,-0.6271819578271192,0.0
2018-09-25,1.0,-0.40622818042172887,-0.617965367965368,-0.17357910906298005,-0.666212819438626,-0.6271819578271192,0.0
2018-09-26,1.0,-0.40629800307219666,-0.6180701019410697,-0.17378857701438347,-0.6661429967881581,-0.6267979332495462,0.0
2018-09-27,1.0,-0.4109268633269332,-0.6087275266189562,-0.1767149589806249,-0.6672717751789143,-0.6273346133705708,0.0
2018-09-28,1.0,-0.4090147336079883,-0.6106068012010334,-0.17729208854130296,-0.6670623559807276,-0.6274003212066196,0.0
2018-10-01,1.0,-0.41023223328094993,-0.6095687096210931,-0.17712589488388336,-0.6678540247948315,-0.62744892613934,0.0
2018-10-02,1.0,-0.4111033519553073,-0.6015712290502794,-0.18016759776536315,-0.6694483240223464,-0.6293645251396648,0.0
2018-10-03,1.0,-0.41382702171011027,-0.5856460338649616,-0.17582378978430405,-0.6857654746012787,-0.6519005128925736,0.0
2018-10-04,1.0,-0.4122247666020786,-0.5940109212612296,-0.17569138629557865,-0.6837414127179848,-0.6573190065175268,0.0
2018-10-05,1.0,-0.3986294148655772,-0.5856615709014232,-0.16186961869618693,-0.6961869618696186,-0.671973291161483,0.0
2018-10-08,1.0,-0.3974237478501983,-0.5835176020497701,-0.1598750482608543,-0.6975185146186514,-0.6715103014987188,0.0
2018-10-09,1.0,-0.40101933216168717,-0.584780316344464,-0.16643233743409494,-0.6953602811950792,-0.6673813708260107,0.0
2018-10-10,1.0,-0.4002467830072272,-0.5903402080028203,-0.1629472942005993,-0.697373523708796,-0.6745284681826194,0.0
2018-10-11,1.0,-0.35614737132606594,-0.5912791499931005,-0.09997240237339587,-0.6978749827514833,-0.7044294190699599,0.0
2018-10-12,1.0,-0.3680776194868641,-0.5845717604454921,-0.09722933961941853,-0.681630282532199,-0.6848416521471763,0.0
2018-10-15,1.0,-0.35795900269449843,-0.5996452812169583,-0.08277908523483066,-0.6824243664517889,-0.6879497936491694,0.0
2018-10-16,1.0,-0.35612418969634935,-0.6079153872398498,-0.0767997270556124,-0.6829409757761855,-0.6879904469464346,0.0
2018-10-17,1.0,-0.3443976411120472,-0.579882055602359,-0.06574557708508845,-0.6826958719460825,-0.6971187868576242,0.0
2018-10-18,1.0,-0.34395848776871757,-0.579183233371521,-0.06597479614529281,-0.683267066513916,-0.6971157086057012,0.0
2018-10-19,1.0,-0.3386040890321281,-0.5741095108604424,-0.05895189176486386,-0.6864739651525833,-0.6989962063987645,0.0
2018-10-22,1.0,-0.33890623426326916,-0.5736730788599053,-0.05925403699600496,-0.6863732500755362,-0.6989290630140664,0.0
2018-10-23,1.0,-0.3395200537002853,-0.5732505453935225,-0.06094982379593891,-0.6846786373552609,-0.6978687699278403,0.0
2018-10-24,1.0,-0.33947127915242187,-0.5891412517347595,-0.06532850421419625,-0.6903496598178924,-0.7006058964898622,0.0
