Date,BTT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.09017842527418563,-0.2406285807824521,-0.0,-0.17105909314126697,-0.135079391062367,0.0
2018-09-25,1.0,-0.09071864617600366,-0.2403561316508731,-0.0,-0.17086463396671084,-0.13467864683065742,0.0
2018-09-26,1.0,-0.09072907290729074,-0.24037312822191312,-0.0,-0.17083708370837083,-0.13458800425497094,0.0
2018-09-27,1.0,-0.09097751742644893,-0.2398795693294499,-0.0,-0.17086101384298197,-0.1345845469123278,0.0
2018-09-28,1.0,-0.09467056812204104,-0.24002169910573384,-0.0,-0.17291885849552868,-0.13626052077853762,0.0
2018-10-01,1.0,-0.09555146091076598,-0.2394873650960779,-0.0,-0.17366412213740456,-0.1364668333772045,0.0
2018-10-02,1.0,-0.09676145339652448,-0.23515666140073724,-0.0,-0.17540481832543445,-0.13828001579778829,0.0
2018-10-03,1.0,-0.09743353058499678,-0.23861407354904643,-0.0,-0.17510343349761814,-0.1371750704666458,0.0
2018-10-04,1.0,-0.10299036328112063,-0.23460939828459781,-0.0,-0.18327979600622576,-0.13493062224724311,0.0
2018-10-05,1.0,-0.098238683127572,-0.23068312757201642,-0.0,-0.18268312757201643,-0.1344855967078189,0.0
2018-10-08,1.0,-0.09786345170150824,-0.23018470698531224,-0.0,-0.18258523988881395,-0.13413049556736129,0.0
2018-10-09,1.0,-0.09866938600963832,-0.23034918337472657,-0.0,-0.1822891823878682,-0.13345614237076267,0.0
2018-10-10,1.0,-0.0989478875554825,-0.22991944764096667,-0.0,-0.18236067729738617,-0.13269768206477067,0.0
2018-10-11,1.0,-0.07239559247978825,-0.22059925690867632,-0.0,-0.16977882668112454,-0.13184289837508573,0.0
2018-10-12,1.0,-0.07266512294630058,-0.21582155852747978,-0.0,-0.16292550761621222,-0.123828426507884,0.0
2018-10-15,1.0,-0.06609506760258162,-0.22042681490554483,-0.0,-0.16086430803536378,-0.12294090859125956,0.0
2018-10-16,1.0,-0.06610025755386645,-0.2204912368867391,-0.0,-0.1608769395062504,-0.12296626672529681,0.0
2018-10-17,1.0,-0.05991899064202244,-0.20823439949097566,-0.0,-0.15886835203376942,-0.12488166736502321,0.0
2018-10-18,1.0,-0.05981659347991373,-0.20804692227722005,-0.0,-0.15896783403416762,-0.12484677331760982,0.0
2018-10-19,1.0,-0.053863772616174505,-0.20166633360490677,-0.0,-0.15860913409066452,-0.12306888229597406,0.0
2018-10-22,1.0,-0.0539854849621748,-0.20118088443323698,-0.0,-0.15895811550525862,-0.12347007811058489,0.0
2018-10-23,1.0,-0.05572041390550285,-0.20130998324082472,-0.0,-0.15767462599363458,-0.12283399191254478,0.0
