Date,ABCB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.19903339191564148,-0.7429994141769186,-0.1325717633274751,-0.39132981839484476,-0.4631810193321617,0.0
2018-09-25,1.0,-0.19774858184169536,-0.7483173147576639,-0.12806042970931428,-0.3960262175587103,-0.4690356523528202,0.0
2018-09-26,1.0,-0.19727050795611636,-0.7481984764257772,-0.1260037059913527,-0.3971881525927233,-0.4726021353569222,0.0
2018-09-27,1.0,-0.1965232763700648,-0.7531231585150265,-0.12495580436063644,-0.3981732469063053,-0.4735710076605775,0.0
2018-09-28,1.0,-0.19291140737237283,-0.7607969493629726,-0.12560229388985783,-0.4006621537733897,-0.4760708268054037,0.0
2018-10-01,1.0,-0.19240214207520934,-0.762774046569425,-0.1260096452557768,-0.4007219148495518,-0.4767596674457824,0.0
2018-10-02,1.0,-0.1924981467753892,-0.7762194217939214,-0.12225352112676058,-0.3993773165307635,-0.47481097108969605,0.0
2018-10-03,1.0,-0.19223473621813872,-0.7709839952578541,-0.12160640189685833,-0.40109662122110257,-0.47788974510966215,0.0
2018-10-04,1.0,-0.19264834799431696,-0.8046915147667846,-0.11970617575043077,-0.40437108914482633,-0.5014660983646202,0.0
2018-10-05,1.0,-0.18086516447764794,-0.8012411133871551,-0.11001325460898903,-0.4100192794312568,-0.5102421978551633,0.0
2018-10-08,1.0,-0.1805421686746988,-0.8015963855421686,-0.10966867469879517,-0.41,-0.5103012048192771,0.0
2018-10-09,1.0,-0.17895339378784683,-0.802337842316151,-0.10571506040430212,-0.4122254692254391,-0.5134516313680595,0.0
2018-10-10,1.0,-0.1791705568773906,-0.801915489564196,-0.10616510556275034,-0.41228202270879144,-0.5122729873806584,0.0
2018-10-11,1.0,-0.1401065740277328,-0.8084905938116406,-0.060588217976271085,-0.4042452969058203,-0.5305737922100862,0.0
2018-10-12,1.0,-0.140962485790072,-0.8070656134316613,-0.05844288337657038,-0.3905033958084356,-0.5178826478561227,0.0
2018-10-15,1.0,-0.12030514716628184,-0.8513430567328208,-0.026101189606290008,-0.3959313711162424,-0.5291555841346857,0.0
2018-10-16,1.0,-0.11793820471518525,-0.8665104700541808,-0.015668472689998537,-0.39818421437985063,-0.5303851222726608,0.0
2018-10-17,1.0,-0.10445255051820972,-0.8374442707428639,-0.0,-0.4039140756180881,-0.5491864975971281,0.0
2018-10-18,1.0,-0.10352416529117074,-0.8358092259577794,-0.0,-0.4065097153447427,-0.5498219094778907,0.0
2018-10-19,1.0,-0.09260059333506149,-0.8329444972493447,-0.0,-0.4050807914974509,-0.5496126040496557,0.0
2018-10-22,1.0,-0.09272611905860637,-0.8217293493308723,-0.0,-0.41309990770650673,-0.556645131518228,0.0
2018-10-23,1.0,-0.08845742064295842,-0.8244162157469834,-0.0,-0.419601261610579,-0.5610984114123673,0.0
2018-10-24,1.0,-0.08658547169265485,-0.8256718835883936,-0.0,-0.4192727167529725,-0.5613735643822143,0.0
2018-10-25,1.0,-0.07938562429890414,-0.8218425518451405,-0.0,-0.41755112606782296,-0.5575401961630282,0.0
2018-10-26,1.0,-0.09939058497953895,-0.843024111637766,-0.0,-0.4266493950010304,-0.5749698236523685,0.0
2018-10-29,1.0,-0.08374138689341738,-0.850520451546694,-0.0,-0.41870693446708696,-0.5791232957044421,0.0
2018-10-30,1.0,-0.06368846436443791,-0.8538427626745041,-0.0,-0.4227185892725937,-0.5987362233651727,0.0
2018-10-31,1.0,-0.06756480317952016,-0.8380139688477163,-0.0,-0.4215202080715392,-0.595254098600193,0.0
2018-11-01,1.0,-0.060312363158662965,-0.843146985841483,-0.0,-0.42084367245657567,-0.5950080280251058,0.0
2018-11-02,1.0,-0.06458829682143065,-0.8223603928177118,-0.0,-0.427131152304027,-0.5914056598291592,0.0
2018-11-05,1.0,-0.06019473913675337,-0.8358087487283824,-0.0,-0.4289492806278157,-0.5816015114082255,0.0
2018-11-06,1.0,-0.06597272700840287,-0.8405780245980287,-0.0,-0.4254354083679819,-0.575553164888204,0.0
2018-11-07,1.0,-0.06580821439990699,-0.8405080952242536,-0.0,-0.42502107374356884,-0.5753858675115542,0.0
2018-11-08,1.0,-0.04358744912392114,-0.8434893051987414,-0.0,-0.41797765782409146,-0.5815316225500101,0.0
2018-11-09,1.0,-0.041825976132545475,-0.8467153284671534,-0.0,-0.424284555671417,-0.583709882979956,0.0
2018-11-12,1.0,-0.04116509338644958,-0.8336941774198204,-0.0,-0.430039548511879,-0.5818538725787361,0.0
2018-11-13,1.0,-0.01540182412665634,-0.8356565135088625,-0.0,-0.4341478804566053,-0.5829174554006769,0.0
2018-11-14,1.0,-0.01629094246543911,-0.8349968450639591,-0.0,-0.4342912866402799,-0.5825445993231229,0.0
2018-11-15,1.0,-0.015269366550902672,-0.8359978186619212,-0.0,-0.434143681295026,-0.5847708159926523,0.0
2018-11-16,1.0,-0.01613551536032156,-0.836060867068619,-0.0,-0.4343669250645995,-0.5844961240310078,0.0
2018-11-19,1.0,-0.017253753624436596,-0.8356156518244194,-0.0,-0.43372663853242616,-0.5842161169006402,0.0
2018-11-20,1.0,-0.0,-0.8309331961826391,-0.0,-0.43213897937024975,-0.5942625292873879,0.0
2018-11-21,1.0,-0.0,-0.8306219550414542,-0.0,-0.4293284708966067,-0.5891620843898686,0.0
2018-11-23,1.0,-0.0,-0.8198252056822387,-0.0,-0.4356762604264526,-0.591311526745808,0.0
2018-11-26,1.0,-0.0,-0.8229217064632723,-0.0,-0.4337023650283177,-0.5893787175911432,0.0
