Date,HIW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23935983995999002,-0.5415353838459616,-0.0,-0.409627406851713,-0.31012753188297076,0.0
2018-09-25,1.0,-0.23624562904077884,-0.5480365273829589,-0.0,-0.41458076526376697,-0.3167970617091394,0.0
2018-09-26,1.0,-0.23622047244094488,-0.5480616839827929,-0.0,-0.41460592186360096,-0.3167719051093055,0.0
2018-09-27,1.0,-0.23453139217470428,-0.5575017692852088,-0.0,-0.41659084015771913,-0.31892629663330296,0.0
2018-09-28,1.0,-0.23609459972176555,-0.556898950297205,-0.0,-0.4170481851523966,-0.31936259011002915,0.0
2018-10-01,1.0,-0.2360510655612634,-0.5645440211586389,-0.0,-0.41938355119271653,-0.323127002695692,0.0
2018-10-02,1.0,-0.23587329856252384,-0.5669762116779036,-0.0,-0.4187253530085231,-0.32263070856125176,0.0
2018-10-03,1.0,-0.23532553407934895,-0.5612665310274669,-0.0,-0.4205493387589013,-0.3260935910478128,0.0
2018-10-04,1.0,-0.24089971215324657,-0.5554423414932369,-0.0,-0.42817841404080803,-0.32279593448302213,0.0
2018-10-05,1.0,-0.2323811456694911,-0.5511441473438531,-0.0,-0.4295245826779644,-0.3238621949363235,0.0
2018-10-08,1.0,-0.2301575241857874,-0.5484728764625437,-0.0,-0.4310641746441777,-0.3228232791369093,0.0
2018-10-09,1.0,-0.22380625651190564,-0.5504815633656069,-0.0,-0.43632944524916767,-0.3306142156489034,0.0
2018-10-10,1.0,-0.2249263286251397,-0.5497154760695051,-0.0,-0.43699827253327916,-0.3287521593334011,0.0
2018-10-11,1.0,-0.17914914667326243,-0.5417017066534752,-0.0,-0.4215186742517932,-0.3310413059609201,0.0
2018-10-12,1.0,-0.1734196117471379,-0.5491040318566451,-0.0,-0.42939273270283723,-0.3368840219014435,0.0
2018-10-15,1.0,-0.15350408665192655,-0.567858296276054,-0.0,-0.42580677216604973,-0.3371177303555014,0.0
2018-10-16,1.0,-0.14836094115306175,-0.5776252300651644,-0.0,-0.42496144854001894,-0.33624334676416456,0.0
2018-10-17,1.0,-0.1378141351610288,-0.55801213550495,-0.0,-0.42172107991254576,-0.3390571646154224,0.0
2018-10-18,1.0,-0.13817341722375145,-0.5592803775068816,-0.0,-0.4211069602831301,-0.3391663389697208,0.0
2018-10-19,1.0,-0.1263877028181042,-0.5515920458704404,-0.0,-0.42356959863364646,-0.33836769549835305,0.0
2018-10-22,1.0,-0.12633890447724777,-0.5451750640478223,-0.0,-0.4268634866414542,-0.34153958765401976,0.0
