Date,CARG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9282203828246249,-1.777353854112778,-0.2371960682876358,-1.3301862390067252,-1.1936756337299534,0.0
2018-09-25,1.0,-0.9513566525008172,-1.7920235371036286,-0.2557698594311867,-1.3414841451454724,-1.1975155279503105,0.0
2018-09-26,1.0,-0.952072708251602,-1.7930561004315417,-0.25742121093239184,-1.341048777298287,-1.1949130377925985,0.0
2018-09-27,1.0,-0.9643981117230528,-1.7794387621295567,-0.2640309467610805,-1.3482166273275638,-1.200432730133753,0.0
2018-09-28,1.0,-0.962962962962963,-1.7797443461160278,-0.26483120288430023,-1.3475581776466734,-1.2001311045558833,0.0
2018-10-01,1.0,-0.9647868852459017,-1.778295081967213,-0.26504918032786884,-1.3487868852459017,-1.2005245901639343,0.0
2018-10-02,1.0,-0.9650170648464164,-1.7870832239432923,-0.26398004725649776,-1.347794696770806,-1.1995930690469938,0.0
2018-10-03,1.0,-0.9777674542075921,-1.8276479957525884,-0.27090522962569685,-1.3573798778869126,-1.2028802760817625,0.0
2018-10-04,1.0,-0.9802439671174754,-1.8194112967382658,-0.2720100769026783,-1.3599177936886768,-1.19795810129939,0.0
2018-10-05,1.0,-0.9581300276935251,-1.8080574970328367,-0.2462086245549255,-1.370829487010418,-1.210470789924832,0.0
2018-10-08,1.0,-0.9566620562471184,-1.805901337021669,-0.2446156885990911,-1.3702825528551672,-1.208917868668906,0.0
2018-10-09,1.0,-0.9706213939916439,-1.8188871941110154,-0.2611579017176205,-1.3739637907023012,-1.2072418595397574,0.0
2018-10-10,1.0,-0.9718487954212697,-1.8287634766404897,-0.25775322773858644,-1.3792093704245973,-1.2175562358578464,0.0
2018-10-11,1.0,-0.8778032619775741,-1.799566768603466,-0.14258409785932724,-1.3351172273190623,-1.2159785932721714,0.0
2018-10-12,1.0,-0.8875524650754871,-1.7834993422289045,-0.1300507423416651,-1.2956211238489006,-1.1678255966923512,0.0
2018-10-15,1.0,-0.8651888854199188,-1.8174211676553231,-0.09634717452388386,-1.2944739306899782,-1.170777396191071,0.0
2018-10-16,1.0,-0.8729392590735284,-1.8094402306776156,-0.10813013226352411,-1.3005704256252741,-1.1773334169121794,0.0
2018-10-17,1.0,-0.8390157311623921,-1.7344065617922508,-0.0805533451674114,-1.285425720756565,-1.1816122911183204,0.0
2018-10-18,1.0,-0.8373545621555419,-1.731843233312921,-0.08218003674219228,-1.2895284751990201,-1.1827311696264544,0.0
2018-10-19,1.0,-0.8188155422197976,-1.7146753955264593,-0.061526338122082795,-1.289749651451779,-1.176941262047645,0.0
2018-10-22,1.0,-0.818947751242575,-1.7134198084616317,-0.06370469147775489,-1.2887622742150564,-1.1765062431809916,0.0
2018-10-23,1.0,-0.8230158248954103,-1.7131510337719034,-0.07203055841872309,-1.2822409507063603,-1.1727399502819378,0.0
2018-10-24,1.0,-0.825947256744468,-1.7097302212791754,-0.05819945438011518,-1.2883904213397999,-1.1801758108517733,0.0
2018-10-25,1.0,-0.7627108681596425,-1.6307529536236995,-0.03085875506965262,-1.32386998177864,-1.129665549873626,0.0
2018-10-26,1.0,-0.7395157553290084,-1.6047265987025026,-0.005734476367006488,-1.3297613531047268,-1.1127201112140872,0.0
2018-10-29,1.0,-0.7045742597073396,-1.6219610554211314,-0.0,-1.3137458232515264,-1.120693628298191,0.0
2018-10-30,1.0,-0.706909468103498,-1.6223131447012045,-0.0,-1.31406673197718,-1.1194606119979253,0.0
2018-10-31,1.0,-0.7081478945566587,-1.5900376583361862,-0.0,-1.3026360835330366,-1.10498687664042,0.0
2018-11-01,1.0,-0.7064795801962126,-1.590691307323751,-0.0,-1.3021902806297057,-1.104551676933607,0.0
2018-11-02,1.0,-0.7127906318945522,-1.5421734457204277,-0.0,-1.3096679300786331,-1.0924364994060078,0.0
2018-11-05,1.0,-0.7109741618137615,-1.5457115395488212,-0.0,-1.3090405382484311,-1.088143834454684,0.0
2018-11-06,1.0,-0.7377714285714286,-1.5827428571428572,-0.0,-1.3125714285714285,-1.0811428571428572,0.0
2018-11-07,1.0,-0.7368933150183151,-1.5884844322344325,-0.0,-1.3135302197802199,-1.0845352564102564,0.0
2018-11-08,1.0,-0.6671340929009641,-1.661817119485831,-0.0,-1.3490505404615836,-1.1647093193105462,0.0
2018-11-09,1.0,-0.6668434075645104,-1.6775067750677506,-0.0,-1.369329562860846,-1.177742429598209,0.0
2018-11-12,1.0,-0.6667646021859208,-1.6447878716652955,-0.0,-1.3888823598542719,-1.175696321541897,0.0
2018-11-13,1.0,-0.6233600371531406,-1.6340415650760478,-0.0,-1.386218506908162,-1.1615000580517822,0.0
2018-11-14,1.0,-0.6267511480555717,-1.6344242283322676,-0.0,-1.3891181770621404,-1.1626460501075395,0.0
2018-11-15,1.0,-0.6380112078216288,-1.6746750924049123,-0.0,-1.4249433647311316,-1.2239775843567424,0.0
2018-11-16,1.0,-0.6322787439900279,-1.6583367958687008,-0.0,-1.4187689202825429,-1.22644981302309,0.0
2018-11-19,1.0,-0.6324786324786326,-1.6581790123456792,-0.0,-1.4185066476733144,-1.226198955365622,0.0
2018-11-20,1.0,-0.5601742816768724,-1.6425459255770136,-0.0,-1.4248704663212435,-1.2602449364107395,0.0
2018-11-21,1.0,-0.5776579533466182,-1.6420114875161178,-0.0,-1.4333020747860743,-1.2080647051928262,0.0
2018-11-23,1.0,-0.5810383218094457,-1.6169576936599084,-0.0,-1.447849525372085,-1.213816945974452,0.0
2018-11-26,1.0,-0.5799613515254436,-1.6204836915149028,-0.0,-1.4446916905779703,-1.210634186332494,0.0
2018-11-27,1.0,-0.5652426620168556,-1.6181923859343212,-0.0,-1.431676838128451,-1.19709386806161,0.0
2018-11-28,1.0,-0.5651921176538975,-1.6211125966401212,-0.0,-1.4301575306632566,-1.1964773586002444,0.0
2018-11-29,1.0,-0.5199177001771732,-1.5904440761273364,-0.0,-1.4125278619191863,-1.1924329885123164,0.0
2018-11-30,1.0,-0.5189127324749643,-1.592675250357654,-0.0,-1.414134477825465,-1.1967381974248927,0.0
2018-12-03,1.0,-0.5130309988518944,-1.6025258323765788,-0.0,-1.4221010332950632,-1.202870264064294,0.0
2018-12-04,1.0,-0.493216831455507,-1.6234766613014486,-0.0,-1.423603127155668,-1.2081512991492296,0.0
2018-12-06,1.0,-0.4750705550329256,-1.5115931603121022,-0.0,-1.4025787172818327,-1.1444856399756516,0.0
2018-12-07,1.0,-0.49263029089493293,-1.5180488347516548,-0.0,-1.4115913009622338,-1.1397741809889315,0.0
2018-12-10,1.0,-0.46050032916392364,-1.5131116962914197,-0.0,-1.401086240947992,-1.1113122668422208,0.0
2018-12-11,1.0,-0.4540163619392742,-1.5168286388843135,-0.0,-1.4001537363421734,-1.1196398177126228,0.0
2018-12-12,1.0,-0.4542908911217262,-1.516663921374842,-0.0,-1.3998792071597213,-1.1197496293856037,0.0
2018-12-13,1.0,-0.45494481357421335,-1.516720663335347,-0.0,-1.399483828455329,-1.120037340069189,0.0
2018-12-14,1.0,-0.45978272797103037,-1.5033468671129158,-0.0,-1.404367387248985,-1.1191704158893887,0.0
2018-12-17,1.0,-0.437090790048014,-1.5000545613269316,-0.0,-1.3854757747708424,-1.1335115670013094,0.0
2018-12-18,1.0,-0.4223051544161393,-1.4832603169452105,-0.0,-1.3750338038833902,-1.1280220671750771,0.0
2018-12-19,1.0,-0.43330082358040745,-1.4829865626354573,-0.0,-1.373374512353706,-1.1286302557433898,0.0
2018-12-20,1.0,-0.43013182674199624,-1.4584880279795536,-0.0,-1.3753564702717247,-1.1167070217917676,0.0
2018-12-21,1.0,-0.42200363519726286,-1.4585159841762003,-0.0,-1.3778466802095586,-1.0875120282262376,0.0
2018-12-24,1.0,-0.40293758947982394,-1.4357601145341747,-0.0,-1.3679410361100799,-1.095869346200753,0.0
2018-12-26,1.0,-0.4035180113756056,-1.4630292816515693,-0.0,-1.3274699810406574,-1.0724668211502002,0.0
2018-12-27,1.0,-0.3353062145759142,-1.3947935998394945,-0.0,-1.2176355519887647,-1.0680644028690374,0.0
2018-12-28,1.0,-0.33044349787020794,-1.3995489852167375,-0.0,-1.2165372087196191,-1.0647957905286896,0.0
2018-12-31,1.0,-0.3298752067358292,-1.4009923319801534,-0.0,-1.2163584423394977,-1.0645516964867436,0.0
2019-01-02,1.0,-0.3248560700876095,-1.4006007509386733,-0.0,-1.2139173967459325,-1.066883604505632,0.0
2019-01-03,1.0,-0.34465288924558585,-1.3976223916532904,-0.0,-1.2333968699839486,-1.0403290529695024,0.0
2019-01-04,1.0,-0.29849035922475214,-1.4127846146181056,-0.0,-1.2186737083354093,-1.0523641074186636,0.0
2019-01-07,1.0,-0.2649080891316008,-1.3698376322590085,-0.0,-1.2172217075430298,-1.0239407089570431,0.0
2019-01-08,1.0,-0.2676522077416845,-1.3555242170783894,-0.0,-1.2208227971211827,-1.018867924528302,0.0
2019-01-09,1.0,-0.26704241776395704,-1.3520237111899325,-0.0,-1.2200573344346728,-1.019726932607745,0.0
2019-01-10,1.0,-0.2679161002136337,-1.349194018255972,-0.0,-1.2204311516799378,-1.0178189939794136,0.0
2019-01-11,1.0,-0.27098624410635297,-1.3278568998201525,-0.0,-1.2260244009138193,-1.0359208671559812,0.0
2019-01-14,1.0,-0.28163126427842317,-1.3256695669080834,-0.0,-1.2256841491274972,-1.0277062168862101,0.0
